id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-pre-unweighted-nimp,walktrap-pre-unweighted-imp,louvain-pre-unweighted-nimp,louvain-pre-unweighted-imp,infomap-pre-unweighted-nimp,infomap-pre-unweighted-imp
0,1,100 idees conran octopus,100 idees conran octopus,1--85029,1993,1993,1,2140,2140,1,1,2004,2066
1,1,12 story library,12 story library,1--63235,2016,2017,2,437,437,2,2,377,487
2627,1,peterson publishing company,peterson publishing company,1--63235,2016,2016,1,437,437,2,2,377,487
2,1,13 press,13 press,1--5084,2015,2015,1,251,251,3,3,312,316
2321,1,nel ashley,nel ashley,1--5084,2012,2012,1,251,251,3,3,312,316
2434,1,ogee zakamora publications,ogee zakamora publications,1--5084,2015,2015,1,251,251,3,3,312,316
3,1,13th and joan,13th and joan,1--7324712,2018,2018,1,1174,1174,4,4,1852,2067
4,1,1984 publishing,1984 publishing,1--948221,2018,2018,1,299,299,5,5,376,377
5,1,1984 whiz kids,1984 whiz kids,1--948221,2018,2018,1,299,299,5,5,376,377
6,1,1st books library,1st books library,1--58500;1--58721,2000,2000,2,440,440,6,6,606,601
7,1,1stbook library,1stbook library,1--4033,2003,2003,1,2133,2133,7,7,766,681
9,1,3dogart press,3dogart press,0--9896385,2013,2013,1,1583,1583,8,8,798,2221
10,1,3g e learning,3g e learning,1--68095,2017,2017,1,1362,1362,9,9,710,836
16,1,a m kelly,a m kelly,0--678,1973,1973,1,1889,1889,10,10,762,727
19,1,a s barnes and co,a s barnes and co,0--498,1979,1979,1,1468,1468,11,11,661,828
20,1,aa publishing,aa publishing,0--7495,2016,2016,1,438,438,12,12,379,379
300,1,automobile association,automobile association,0--7495,2009,2009,1,438,438,12,12,379,379
21,1,aapc publishing,aapc publishing,1--942197,2015,2015,1,1277,1277,13,13,735,1924
22,1,aardvaark creative publishing,aardvaark creative publishing,0--557,2010,2010,1,502,502,14,14,482,607
2068,1,lulu,lulu,0--557,2009,2009,1,502,502,14,14,482,607
23,1,aashto,aashto,1--56051,1997,1997,1,1097,1097,15,15,848,2214
24,1,abacus,abacus,0--349,1973,2018,2,1003,1003,16,16,736,767
25,1,abaddon books,abaddon books,1--84997,2009,2009,1,918,918,17,17,655,765
26,1,abaris books,abaris books,0--89835,1999,1999,1,829,829,18,18,737,814
27,1,abbeville press,abbeville press,0--89659;1--55859,1980,1994,3,478,478,19,19,597,383
28,1,abbeville press publishers,abbeville press publishers,0--7893;0--7892,2012,2012,1,144,144,20,20,240,227
2880,1,rizzoli international publications,rizzoli international publications,0--7893,2014,2014,1,144,144,20,20,240,227
3453,1,universe pub,universe pub,0--7893,2004,2004,1,144,144,20,20,240,227
33,1,abc garden llc,abc garden llc,1--938763,2012,2012,1,1524,1524,21,21,1331,2150
34,1,abdo and daughters,abdo and daughters,1--56239,2002,2002,1,1466,1466,22,22,776,796
35,1,abdo kids,abdo kids,1--68080,2017,2017,1,1415,1415,23,23,2180,715
37,1,abdo pub co,abdo pub co,1--61758,2012,2012,1,1310,1310,24,24,1332,650
36,1,abdo kids jumbo,abdo kids jumbo,1--5321,2019,2019,1,127,127,25,25,93,92
38,1,abdo publishing,abdo publishing,1--68078;1--5321;1--62969;1--68077,2015,2018,6,127,127,25,25,93,92
40,1,abdo zoom,abdo zoom,1--5321,2018,2018,2,127,127,25,25,93,92
829,1,core library,core library,1--68078;1--5321;1--62969;1--68077,2015,2018,5,127,127,25,25,93,92
3247,1,super sandcastle,super sandcastle,1--5321,2018,2018,1,127,127,25,25,93,92
39,1,abdo publishing company,abdo publishing company,1--61783,2013,2013,1,1095,1095,26,26,2005,716
41,1,abelard schuman,abelard schuman,0--200,1968,1968,1,1002,1002,27,27,868,2161
45,1,abrams and company publishers inc,abrams and company publishers inc,0--7665,2000,2000,1,794,794,28,28,871,781
52,1,academic studies press,academic studies press,1--61811,2014,2016,2,331,331,29,29,467,488
3381,1,touro college press,touro college press,1--61811,2018,2018,1,331,331,29,29,467,488
53,1,academy chicago,academy chicago,0--89733,2008,2008,1,55,55,30,30,174,189
54,1,academy chicago pub,academy chicago pub,0--89733,2004,2004,1,55,55,30,30,174,189
55,1,academy chicago publishers,academy chicago publishers,0--89733;1--61373,1990,1990,1,55,55,30,30,174,189
722,1,chicago review press,chicago review press,1--61373,2018,2018,1,55,55,30,30,174,189
56,1,academy of nutrition and dietetics,academy of nutrition and dietetics,0--88091,2013,2013,1,1821,1821,31,31,1818,829
57,1,accent press,accent press,0--7505;1--78375,2013,2013,1,187,187,32,32,261,264
2108,1,magna large print books,magna large print books,0--7505,1993,2016,9,187,187,32,32,261,264
58,1,accord pub,accord pub,0--7407,2010,2010,1,314,314,33,33,374,381
191,1,andrews mcmeel publishing llc,andrews mcmeel publishing llc,0--7407,2008,2008,1,314,314,33,33,374,381
64,1,acsi purposeful design publications,acsi purposeful design publications,1--58331,2005,2005,1,1445,1445,34,34,673,667
65,1,act human rights commission,act human rights commission,0--6482883,2018,2018,1,1414,1414,35,35,809,1871
66,1,acumen,acumen,1--84465;1--908049,2014,2014,1,424,424,36,36,601,616
67,1,adams and dart,adams and dart,0--239,1967,1967,1,1337,1337,37,37,803,710
68,1,adams media corp,adams media corp,1--55850,1994,1996,2,503,503,38,38,610,603
488,1,bob adams,bob adams,1--55850,1997,1997,1,503,503,38,38,610,603
73,1,adjoa sarfo bonsu,adjoa sarfo bonsu,1--5201,2016,2016,1,1149,1149,39,39,851,2018
75,1,adler and adler,adler and adler,0--917561,1985,1988,2,1118,1118,40,40,1927,2019
77,1,adonis and abbey publishers ltd,adonis and abbey publishers ltd,1--909112;1--912234,2014,2017,2,458,458,41,41,483,372
79,1,advantage,advantage,1--59932,2018,2018,1,954,954,42,42,847,720
80,1,adventure publications inc,adventure publications inc,1--59193,2015,2015,1,935,935,43,43,2038,850
82,1,aerospace press,aerospace press,1--884989,2013,2013,1,888,888,44,44,2058,1880
83,1,africa world books,africa world books,0--9943631,2015,2015,1,871,871,45,45,2047,2222
84,1,africana pub co,africana pub co,0--8419,1978,1978,1,852,852,46,46,849,696
85,1,afrikan world infosystems,afrikan world infosystems,1--879164,2003,2003,1,830,830,47,47,2182,668
86,1,after ever after publishing,after ever after publishing,1--9867,2018,2018,1,822,822,48,48,800,1357
87,1,aftershock comics,aftershock comics,1--935002,2017,2017,1,795,795,49,49,2198,2089
89,1,aguilar,aguilar,1--945540;1--941999,2016,2016,1,475,475,50,50,608,384
90,1,ahf publishing,ahf publishing,0--9861672,2015,2015,1,731,731,51,51,700,697
91,1,ahima,ahima,1--58426,2019,2019,1,718,718,52,52,2192,691
92,1,aicpa,aicpa,1--945498,2017,2017,1,694,694,53,53,2227,1358
93,1,aiha press,aiha press,0--932627,1997,1997,1,676,676,54,54,813,2225
94,1,ak press,ak press,1--84935,2011,2015,3,656,656,55,55,804,1872
96,1,akashic books,akashic books,1--61775,2015,2015,1,482,482,56,56,484,489
2578,1,peekash press,peekash press,1--61775,2016,2016,1,482,482,56,56,484,489
97,1,al anon family group headquarters,al anon family group headquarters,0--910034,1990,1990,1,609,609,57,57,850,2062
98,1,ala editions,ala editions,0--8389,2013,2013,1,287,287,58,58,289,292
99,1,ala neal schuman,ala neal schuman,0--8389,2017,2017,1,287,287,58,58,289,292
148,1,american library association,american library association,0--8389,2017,2017,1,287,287,58,58,289,292
104,1,alaska northwest books,alaska northwest books,0--88240,2014,2014,1,1940,1940,59,59,883,721
106,1,aldine,aldine,0--202,1979,1979,1,368,368,60,60,613,608
107,1,aldinetransaction,aldinetransaction,0--202,2008,2008,1,368,368,60,60,613,608
109,1,alfred pfingstl winter haven publishing,alfred pfingstl winter haven publishing,0--615,2008,2008,1,222,222,61,61,32,35
1162,1,equator,equator,0--615,2013,2013,1,222,222,61,61,32,35
1168,1,erstwhile publications,erstwhile publications,0--615,2013,2013,1,222,222,61,61,32,35
1268,1,flight risk books,flight risk books,0--615,2013,2013,1,222,222,61,61,32,35
1326,1,g s fields,g s fields,0--615,2013,2013,1,222,222,61,61,32,35
1895,1,karen anna vogel,karen anna vogel,0--615,2013,2013,1,222,222,61,61,32,35
2201,1,memento pub,memento pub,0--615,2011,2011,1,222,222,61,61,32,35
2769,1,quail creek publishing lcc,quail creek publishing lcc,0--615,2012,2012,1,222,222,61,61,32,35
2808,1,rambling star publishing,rambling star publishing,0--615,2013,2013,1,222,222,61,61,32,35
2874,1,river point press,river point press,0--615,2012,2012,1,222,222,61,61,32,35
2895,1,roguegiraffe books,roguegiraffe books,0--615,2013,2013,1,222,222,61,61,32,35
3228,1,strong hold publishing,strong hold publishing,0--615,2012,2012,1,222,222,61,61,32,35
3280,1,tarkus press,tarkus press,0--615,2011,2011,1,222,222,61,61,32,35
3637,1,well bred book,well bred book,0--615,2012,2012,1,222,222,61,61,32,35
3647,1,western shugden society,western shugden society,0--615,2010,2010,1,222,222,61,61,32,35
3746,1,write wing publishing,write wing publishing,0--615,2012,2012,1,222,222,61,61,32,35
110,1,alfred publishing co,alfred publishing co,0--7390,2004,2004,1,1669,1669,62,62,2194,1990
111,1,alfred publishing co inc,alfred publishing co inc,1--4574,2016,2016,1,1643,1643,63,63,2207,793
112,1,algonquin books of chapel hill,algonquin books of chapel hill,1--61620,2017,2017,1,515,515,64,64,612,378
113,1,algonquin young readers,algonquin young readers,1--61620,2015,2015,1,515,515,64,64,612,378
114,1,algora publishing,algora publishing,1--62894,2015,2015,1,1582,1582,65,65,2181,655
118,1,allison and busby,allison and busby,0--7490,2019,2019,1,1506,1506,66,66,2078,2080
120,1,alpha books,alpha books,1--61564,2014,2014,1,1482,1482,67,67,2218,2175
121,1,alpha science international ltd,alpha science international ltd,1--78332,2016,2019,2,1467,1467,68,68,2189,702
125,1,amacom,amacom,0--8144,1981,2005,2,1394,1394,69,69,1958,2068
126,1,amazon children's pub,amazon children's pub,0--7614,2012,2012,1,24,24,70,70,97,96
127,1,amazon publishing,amazon publishing,0--7614;1--4778,2012,2014,2,24,24,70,70,97,96
128,1,amazoncrossing,amazoncrossing,1--5039,2018,2018,1,24,24,70,70,97,96
2138,1,marshall cavendish,marshall cavendish,0--7614,1997,2006,3,24,24,70,70,97,96
3322,1,thomas and mercer,thomas and mercer,1--4778,2014,2014,1,24,24,70,70,97,96
3425,1,two lions,two lions,1--5039;1--4778,2016,2017,2,24,24,70,70,97,96
129,1,amber books,amber books,1--78274,2017,2017,1,1335,1335,71,71,852,2151
130,1,ameco pub corp,ameco pub corp,0--912146,1987,1987,1,1319,1319,72,72,2020,732
81,1,aeonian press,aeonian press,0--88411,1976,1976,1,182,182,73,73,342,342
131,1,amereon house,amereon house,0--88411;0--8488,1981,1999,2,182,182,73,73,342,342
132,1,american academy of pediatrics,american academy of pediatrics,1--61002,2019,2019,1,1286,1286,74,74,2229,1359
133,1,american association of blood banks,american association of blood banks,1--56395,2009,2009,1,1283,1283,75,75,833,1360
135,1,american bar association,american bar association,1--62722;1--64105;1--61438,2012,2018,7,284,284,76,76,290,317
136,1,american bar association section of dispute resolution,american bar association section of dispute resolution,1--61632,2011,2011,1,1213,1213,77,77,653,1361
137,1,american chemical society,american chemical society,0--8412,2013,2014,2,1205,1205,78,78,639,1925
138,1,american college of obstetricians and gynecologists women's health care physicians,american college of obstetricians and gynecologists women's health care physicians,1--934984,2014,2014,1,1187,1187,79,79,2165,851
139,1,american college of physicians,american college of physicians,1--938921,2015,2015,1,1171,1171,80,80,682,760
140,1,american concrete institute,american concrete institute,1--5108,2015,2015,1,247,247,81,81,313,318
149,1,american marketing association,american marketing association,1--5108,2017,2017,1,247,247,81,81,313,318
2160,1,materials research society,materials research society,1--5108,2015,2015,1,247,247,81,81,313,318
141,1,american cooking guild,american cooking guild,0--942320,1991,1991,1,1150,1150,82,82,667,2197
142,1,american enterprise institute for public policy research,american enterprise institute for public policy research,0--8447,1977,1977,1,1141,1141,83,83,2076,794
146,1,american institute of physics,american institute of physics,1--56396,1993,1993,1,1019,1019,84,84,1966,1362
150,1,american mathematical society,american mathematical society,0--8218;1--4704,1970,2018,18,170,170,85,85,262,263
178,1,ams chelsea pub,ams chelsea pub,0--8218,2007,2007,1,170,170,85,85,262,263
152,1,american national red cross,american national red cross,0--86536,1983,1983,1,460,460,86,86,378,614
157,1,american red cross,american red cross,0--86536,1989,1989,1,460,460,86,86,378,614
153,1,american planning association,american planning association,1--884829;1--932364,2004,2008,2,461,461,87,87,615,374
154,1,american planning association planners press,american planning association planners press,1--61190,2014,2014,1,917,917,88,88,2200,2223
155,1,american political science association c 2018,american political science association c 2018,1--878147,2018,2018,1,900,900,89,89,718,2020
156,1,american psychological association,american psychological association,1--55798;1--4338,1996,2018,8,473,473,90,90,381,385
158,1,american school of needlework,american school of needlework,0--88195,1988,1988,1,859,859,91,91,722,2163
159,1,american society for engineering management,american society for engineering management,1--61738,2010,2010,1,849,849,92,92,2190,2198
160,1,american society of civil engineers,american society of civil engineers,0--87262;0--7844,1990,2017,6,483,483,93,93,372,490
161,1,american society of plumbing engineers,american society of plumbing engineers,1--68015;1--891255;1--61344,2012,2012,1,264,264,94,94,291,293
163,1,american trust publications,american trust publications,0--89259,1999,1999,1,775,775,95,95,674,2126
165,1,american university in cairo press,american university in cairo press,1--61797,2014,2014,1,751,751,96,96,2092,2168
166,1,american water works association,american water works association,1--62576,2018,2018,1,742,742,97,97,1333,852
167,1,amherst media,amherst media,1--60895,2015,2015,1,737,737,98,98,2109,728
169,1,amicus high interest,amicus high interest,1--60753,2013,2013,1,723,723,99,99,753,2086
168,1,amicus amicus ink,amicus amicus ink,1--68151,2018,2018,1,91,91,100,100,205,205
