id,length,text,publisher_pro,isbn_new,year_min,year_max,record,walktrap-npre-unweighted-nimp,walktrap-npre-unweighted-imp,louvain-npre-unweighted-nimp,louvain-npre-unweighted-imp,infomap-npre-unweighted-nimp,infomap-npre-unweighted-imp
102,1,alan sutton,alan sutton,0--7509;0--86299,1994,1994,1,1,1,875,875,94,91
214,1,arcadia,arcadia,0--7385,1999,1999,1,1,1,875,875,94,91
216,1,arcadia publishing,arcadia publishing,1--4671;0--7385,2010,2015,4,1,1,875,875,94,91
1554,1,history press,history press,0--7509;1--62619;1--4671,2014,2018,3,1,1,875,875,94,91
205,1,apple academic press,apple academic press,1--77188;1--351;1--926895;1--315,2014,2017,5,2,2,501,501,627,625
251,1,ashgate,ashgate,1--351;0--7546;1--306;1--85972;1--4094;1--317;1--315;1--4724;1--322,1999,2016,37,2,2,501,501,43,1
252,2,ashgate pub limited;;ashgate publishing limited,ashgate pub limited;;ashgate publishing limited,1--4094;1--351;1--4724;0--7546,2013,2014,2,2,2,501,501,43,1
253,1,ashgate publishing company,ashgate publishing company,1--4094;1--306;1--4724,2014,2014,2,2,2,501,501,43,1
254,1,ashgate publishing group,ashgate publishing group,1--4724,2014,2014,2,2,2,501,501,43,1
255,1,ashgate variorum,ashgate variorum,0--86078,2003,2003,1,2,2,501,501,364,363
407,1,best business books,best business books,0--7890,2005,2005,1,2,2,501,501,625,623
556,1,brunner routledge,brunner routledge,0--415,2002,2002,1,2,2,501,501,1,1
563,1,burleigh dodds science publishing,burleigh dodds science publishing,1--78676;1--351,2017,2017,2,2,2,501,501,1,2218
840,1,crc press,crc press,1--351;1--138;1--4665;1--4987;1--4200;0--429;0--203;0--8493;1--315;1--4398;1--4822;1--4441,1989,2019,50,2,2,501,501,1,1
841,1,crc press taylor and francis group,crc press taylor and francis group,1--138;1--4665;1--4987;0--429;1--315;1--4398;1--4822,2014,2019,15,2,2,501,501,1,1
877,1,curzon press,curzon press,0--7007,1979,1979,1,2,2,501,501,2218,2216
1037,2,e and f n spon;;e and fn spon,e and f n spon;;e and fn spon,0--419;0--203,1971,2003,3,2,2,501,501,2220,2217
1048,1,earthscan,earthscan,1--317;1--138;1--315,1988,2016,3,2,2,501,501,1,1
1165,1,f cass,f cass,0--7146,2006,2006,1,2,2,501,501,2219,2215
1245,1,focal press,focal press,0--415;1--136;0--240;1--315,1978,2016,4,2,2,501,501,1,1
1313,1,garland,garland,0--8153,1999,1999,1,2,2,501,501,1,1
1315,1,garland science taylor and francis group,garland science taylor and francis group,0--8153,2015,2015,1,2,2,501,501,1,1
1357,1,gordon and breach science publishers,gordon and breach science publishers,0--203;2--88124,1991,1994,3,2,2,501,501,2221,1
1361,1,gower,gower,0--566;1--317;1--4724;0--86078,1979,2015,8,2,2,501,501,364,363
1390,1,greenleaf publishing,greenleaf publishing,1--78353,2014,2016,2,2,2,501,501,626,624
1391,1,greenleaf publishing limited,greenleaf publishing limited,1--78353,2006,2006,1,2,2,501,501,626,624
1496,1,haworth hospitality press,haworth hospitality press,0--7890,2006,2006,1,2,2,501,501,625,623
1498,1,haworth press inc,haworth press inc,1--315,2002,2002,1,2,2,501,501,1,1
1605,1,humanities press,humanities press,0--391;0--415,1976,2001,2,2,2,501,501,619,616
1606,1,humanities press international,humanities press international,0--391,1989,1989,1,2,2,501,501,619,616
1671,1,informa law,informa law,1--315,2015,2015,1,2,2,501,501,1,1
1928,1,legenda,legenda,1--351,2017,2017,1,2,2,501,501,1,1
2274,1,new york,new york,0--304;0--415,1999,2015,2,2,2,1688,1688,607,37
2429,1,oxford university press for the international institute for strategic studies,oxford university press for the international institute for strategic studies,1--136,1995,1995,1,2,2,501,501,1,1
2563,1,pickering and chatto,pickering and chatto,1--78144;1--84893,2007,2015,5,2,2,501,501,616,615
2657,1,psychology press,psychology press,1--84169;1--351;1--138;0--89859;1--84872;1--317;1--315,1983,2015,9,2,2,501,501,1,1
2658,1,psychology press taylor and francis group,psychology press taylor and francis group,1--315,1994,1994,1,2,2,501,501,1,1
2713,1,radcliffe medical press,radcliffe medical press,1--4987,2016,2016,1,2,2,501,501,1,1
2820,1,routledge,routledge,92--3;0--429;0--7656;1--62159;0--203;0--7007;0--7146;0--7890;1--351;1--912282;0--8153;1--317;1--315;1--280;1--85743;1--138;0--415;1--299;0--582;1--56324;1--4724;1--134;0--7546;1--306;1--135;1--903240;1--4987;1--4106;0--367;1--59451;1--78353;1--136;1--84893;2--940222;1--4822;1--322,1973,2019,469,2,2,501,501,1,1
2823,1,routledge productivity press,routledge productivity press,1--351;1--138,2018,2019,2,2,2,501,501,1,1
2824,1,routledge taylor and francis,routledge taylor and francis,0--8153;1--317;0--415;1--315,2014,2018,3,2,2,501,501,1,1
2825,1,routledge taylor and francis group,routledge taylor and francis group,1--351;1--138;1--135;0--367;0--415;0--429;0--8153;1--317;0--203;1--4724;1--84893;1--315;0--205;1--4822,2006,2019,65,2,2,501,501,1,1
2826,1,routledgecurzon,routledgecurzon,0--415,2006,2006,1,2,2,501,501,1,1
2827,1,routledgefalmer,routledgefalmer,0--415;0--7494;0--203;1--135,2002,2005,3,2,2,501,501,1,1
2828,1,routledgw,routledgw,1--351,2017,2017,1,2,2,501,501,1,1
2829,1,routlege taylor and francis group,routlege taylor and francis group,1--138,2018,2018,1,2,2,501,501,1,1
3070,1,spon press,spon press,0--415,2011,2011,1,2,2,501,501,1,1
3189,1,taylor and francis,taylor and francis,1--351;0--415;0--429;1--317;0--203;1--315;1--4822,1998,2018,9,2,2,501,501,1,1
3190,1,taylor and francis group,taylor and francis group,1--351;1--4987;0--415;1--317;0--203;1--315,2000,2018,5,2,2,501,501,1,1
3191,1,taylor and francis group an informa business,taylor and francis group an informa business,1--138,2017,2017,1,2,2,501,501,1,1
3202,1,technomic pub,technomic pub,1--4822,2002,2002,1,2,2,501,501,1,1
3219,1,theatre arts books routledge,theatre arts books routledge,1--315,1998,1998,1,2,2,501,501,1,1
73,1,adlard coles nautical,adlard coles nautical,1--4729,2016,2016,1,3,3,268,268,117,111
183,1,and c black,and c black,0--7136;0--393;1--4081,1986,2008,3,3,3,268,268,144,143
447,1,bloomsbury,bloomsbury,0--567;1--4411;1--4742;1--59990;1--4729;1--63286;1--4725;0--7475;1--4088,2002,2016,20,3,3,268,268,5,6
448,1,bloomsbury academic,bloomsbury academic,1--62892;1--350;1--306;1--4742;1--4965;1--78093;1--84966;0--8264;1--5013;1--62403;1--4725;1--4411,2003,2019,46,3,3,268,268,5,6
449,1,bloomsbury academic bloomsbury publishing plc,bloomsbury academic bloomsbury publishing plc,1--350,2019,2019,7,3,3,268,268,5,6
450,1,bloomsbury academic publishing plc,bloomsbury academic publishing plc,1--4725,2016,2016,1,3,3,268,268,5,6
451,1,bloomsbury arden shakespeare,bloomsbury arden shakespeare,1--4725;1--904271;1--4742,2016,2017,3,3,3,268,268,5,6
453,1,bloomsbury bloomsbury academic,bloomsbury bloomsbury academic,1--4725;1--4742,2017,2017,1,3,3,268,268,5,6
455,1,bloomsbury circus,bloomsbury circus,1--62040;1--4088,2015,2015,1,3,3,268,268,252,250
456,1,bloomsbury education,bloomsbury education,1--4729;1--4081,2011,2016,2,3,3,268,268,117,111
457,1,bloomsbury methuen drama,bloomsbury methuen drama,1--4725;1--350;1--4081,2015,2017,3,3,3,268,268,5,6
458,1,bloomsbury natural history,bloomsbury natural history,1--4729,2017,2017,1,3,3,268,268,117,111
459,1,bloomsbury press,bloomsbury press,1--4088;1--60819,2010,2015,2,3,3,268,268,252,250
460,1,bloomsbury publishing,bloomsbury publishing,1--63286,2018,2018,1,3,3,268,268,5,6
461,1,bloomsbury publishing inc,bloomsbury publishing inc,1--62892;1--5013;1--63557,2014,2019,5,3,3,268,268,254,252
462,1,bloomsbury publishing plc,bloomsbury publishing plc,1--5099;0--567;1--350;1--4742;1--4965;1--78093;1--4081;1--84966;1--4729;1--904271;1--62403;1--4725;1--4088,2014,2018,31,3,3,268,268,5,6
464,1,bloomsbury sigma,bloomsbury sigma,1--4729,2017,2017,1,3,3,268,268,117,111
465,1,bloomsbury sport,bloomsbury sport,1--4729,2018,2018,1,3,3,268,268,117,111
466,2,bloomsbury t and t clark;;bloomsbury tandt clark,bloomsbury t and t clark;;bloomsbury tandt clark,0--567,2013,2018,7,3,3,268,268,5,6
467,1,bloomsbury visual arts,bloomsbury visual arts,1--4725;1--4742,2017,2019,3,3,3,268,268,5,6
468,1,bloomsbury visual arts bloomsbury publishing plc,bloomsbury visual arts bloomsbury publishing plc,1--350,2018,2019,2,3,3,268,268,5,6
469,1,bloomsbury wildlife,bloomsbury wildlife,1--4729,2018,2018,1,3,3,268,268,117,111
515,1,bpp,bpp,0--7636,2017,2017,1,3,3,268,268,38,38
603,1,candlewick press,candlewick press,1--4965;0--7636;0--329;1--56402;1--5362;1--4131,1994,2019,27,3,3,268,268,38,38
732,1,christopher helm,christopher helm,1--4081,2013,2013,1,3,3,268,268,5,6
807,1,continuum,continuum,0--8044;0--8264;1--4411,1981,2012,11,3,3,268,268,5,6
1181,1,fairchild books,fairchild books,1--62892;1--5013,2014,2016,3,3,3,268,268,254,252
1210,1,featherstone,featherstone,1--4729,2017,2017,1,3,3,268,268,117,111
1211,1,featherstone education,featherstone education,1--4729,2014,2015,2,3,3,268,268,117,111
1272,1,frederick ungar publishing co,frederick ungar publishing co,0--8044,1952,1952,1,3,3,268,268,5,6
2318,1,nosy crow,nosy crow,0--85763;1--78800;0--7636,2015,2018,4,3,3,268,268,38,38
2738,1,rare bird books,rare bird books,1--945572;1--4965,2017,2017,2,3,3,268,268,38,38
3126,1,stone arch books,stone arch books,1--4965,2019,2019,2,3,3,268,268,38,38
3170,1,t and t clark,t and t clark,0--567;1--4411,1997,2010,7,3,3,268,268,5,6
3171,1,t and t clark international,t and t clark international,0--567;0--8264,2005,2005,1,3,3,268,268,5,6
3206,1,templar books,templar books,0--7636;1--4965,2015,2019,2,3,3,268,268,38,38
3461,1,vireo book,vireo book,1--945572;1--4965,2017,2017,2,3,3,268,268,38,38
87,1,agu american geophysical union,agu american geophysical union,1--118,2015,2015,1,4,4,955,955,3,3
140,1,american geophysical union,american geophysical union,1--118,1990,1990,1,4,4,955,955,3,3
443,2,blackwell pub;;blackwell publishing,blackwell pub;;blackwell publishing,0--470,2005,2006,3,4,4,955,955,3,3
446,1,blackwell science,blackwell science,0--470;1--4443;0--86542,1996,2003,3,4,4,955,955,3,3
657,1,ccps,ccps,1--118,2014,2014,1,4,4,955,955,3,3
760,1,cliff notes,cliff notes,0--8220,1993,1993,1,4,4,955,955,623,620
761,1,cliffs notes,cliffs notes,0--8220,1990,1990,1,4,4,955,955,623,620
1043,1,e horwood,e horwood,0--85312;0--470,1982,1984,2,4,4,955,955,2215,2213
1280,1,frommer's,frommer's,0--470;1--118,2008,2008,1,4,4,955,955,3,3
1499,1,hawthorn books,hawthorn books,0--470,2004,2004,1,4,4,955,955,3,3
1610,1,hungry minds,hungry minds,0--7645,2001,2001,2,4,4,955,955,3,3
1611,1,hunter house,hunter house,1--63026;0--89793,2014,2014,1,4,4,955,955,345,346
1637,1,ieee press,ieee press,1--283;1--119;1--118,2013,2016,2,4,4,955,955,3,3
1638,1,ieee press standards information network,ieee press standards information network,1--118,2008,2008,1,4,4,955,955,3,3
1664,1,indiana university press,indiana university press,1--282;0--253,1973,2019,15,4,4,955,955,3,3
1685,1,institute of electrical and electronics engineers,institute of electrical and electronics engineers,0--471;0--7381,1991,2014,2,4,4,955,955,2217,2214
1728,1,israel program for scientific translations,israel program for scientific translations,0--470,1973,1973,1,4,4,955,955,3,3
1729,1,iste,iste,1--118;1--84821;0--470;1--282;1--119,2008,2014,10,4,4,955,955,3,3
1732,1,iste ltd,iste ltd,1--78630;1--84821;1--119;1--118,2014,2019,7,4,4,955,955,3,3
1767,2,j wiley;;john wiley,j wiley;;john wiley,0--7303;0--471;0--470;1--119;0--7645,1974,2019,12,4,4,955,955,3,3
1768,2,j wiley and sons;;john wiley and sons,j wiley and sons;;john wiley and sons,0--8220;1--118;0--471;0--470;1--4443;1--63026;1--119,1983,2019,27,4,4,955,955,3,3
1803,1,john wiley and son ltd,john wiley and son ltd,1--119,2018,2018,1,4,4,955,955,3,3
1804,2,john wiley and sons inc;;john wiley and sons incorporated,john wiley and sons inc;;john wiley and sons incorporated,0--471;0--470;1--119;1--118,1999,2019,31,4,4,955,955,3,3
1805,1,john wiley and sons ltd,john wiley and sons ltd,0--470;1--4443;1--119;1--118,2010,2017,15,4,4,955,955,3,3
1806,1,john wiley dunod,john wiley dunod,0--470,2007,2007,1,4,4,955,955,3,3
1817,1,jossey bass,jossey bass,0--470;0--7879,2006,2009,2,4,4,955,955,2216,3
1874,1,kodansha,kodansha,0--470,1974,1974,1,4,4,955,955,3,3
3163,1,sybex wiley,sybex wiley,1--119,2017,2017,1,4,4,955,955,3,3
