cluster_id,isbn,record
0,1--85029,1
1,1--63235,2
2,1--5084,1
3,1--7324712,1
4,1--948221,1
5,1--948221,1
6,1--58500,1
6,1--58721,1
7,1--4033,1
8,1--5011,1
9,0--9896385,1
10,1--68095,1
11,1--337,1
12,0--00,1
13,0--394,1
14,0--665,1
15,1--84614,1
15,0--7139,2
16,0--678,1
17,0--665,1
18,0--665,1
19,0--498,1
20,0--7495,1
21,1--942197,1
22,0--557,1
23,1--56051,1
24,0--349,2
25,1--84997,1
26,0--89835,1
27,0--89659,2
27,1--55859,1
28,1--4976,1
29,1--86147,1
30,1--4408,10
30,1--59884,1
30,0--87436,1
31,1--4408,8
31,1--61069,1
31,0--06,1
32,1--938763,1
33,1--56239,1
34,1--68080,1
35,1--5321,1
36,1--61758,1
37,1--68078,2
37,1--5321,2
37,1--68077,1
37,1--62969,1
38,1--61783,1
39,1--5321,2
40,0--200,1
41,1--84569,1
42,0--8109,1
43,0--8109,5
43,1--4197,6
44,0--7665,1
45,1--4197,3
46,1--4197,1
47,1--4832,17
47,0--08,1
47,0--12,44
47,1--5225,1
48,1--4832,5
49,1--4832,1
50,1--61811,2
51,0--89733,3
52,0--89733,2
53,0--88091,1
54,0--7407,1
55,1--101,1
56,0--425,2
56,0--441,4
57,0--441,2
58,1--338,1
59,0--8478,1
60,1--58331,1
61,0--6482883,1
62,0--239,1
63,1--55850,2
64,0--201,13
64,0--13,3
64,0--321,5
65,0--582,1
66,0--321,1
67,0--201,5
68,1--5201,1
69,1--4729,1
70,0--917561,2
71,0--13,1
72,1--909112,1
72,1--912234,1
73,1--59932,1
74,1--59193,1
75,0--88411,1
76,1--884989,1
77,0--9943631,1
78,0--8419,1
79,1--879164,1
80,1--9867,1
81,1--935002,1
82,1--118,1
83,0--9861672,1
84,1--58426,1
85,1--945498,1
86,0--932627,1
87,1--84935,3
88,3--11,1
89,1--61775,1
90,0--910034,1
91,0--8389,1
92,0--8389,1
93,1--4424,2
93,1--4814,4
93,0--689,4
93,0--02,1
94,0--689,2
95,0--689,1
95,0--7587,1
95,1--4169,3
96,0--88240,1
97,0--8075,3
98,0--202,2
99,0--202,1
100,0--679,2
100,0--307,3
100,0--394,4
100,0--553,2
100,0--525,1
100,0--375,2
100,1--4000,1
100,1--9848,1
101,0--615,1
102,0--7390,1
103,1--4574,1
104,1--61620,1
105,1--61620,1
106,1--62894,1
107,1--5025,1
108,0--04,6
108,1--74331,1
109,0--7139,1
110,0--7490,1
111,0--205,1
112,1--61564,1
113,1--78332,2
114,1--4422,1
114,0--7591,1
115,1--55583,1
116,1--55583,1
117,0--8144,2
118,0--7614,1
119,0--7614,1
119,1--4778,1
120,1--5039,1
121,1--78274,1
122,0--912146,1
123,0--88411,1
123,0--8488,1
124,1--61002,1
125,1--56395,1
126,1--61438,2
126,1--64105,2
126,1--62722,3
127,1--61632,1
128,0--8412,2
129,1--934984,1
130,1--938921,1
131,1--5108,1
132,0--942320,1
133,0--8447,1
134,1--118,2
135,1--56396,1
136,0--517,1
137,0--8389,1
138,1--5108,1
139,1--4704,15
139,0--8218,3
140,0--665,1
141,0--86536,1
142,1--884829,1
142,1--932364,1
143,1--61190,1
144,1--878147,1
145,1--4338,5
145,1--55798,3
146,0--86536,1
147,0--88195,1
148,1--61738,1
149,0--87262,1
149,0--7844,5
150,0--665,1
151,0--89259,1
152,1--321,1
152,1--339,2
152,1--303,1
153,1--61797,1
154,1--62576,1
155,1--60895,1
156,1--68151,1
157,1--60753,1
158,1--68152,1
159,1--937484,1
160,1--886212,1
161,0--9837025,1
162,0--692,1
163,0--8174,1
164,1--64089,1
165,0--8218,1
166,0--87720,1
167,90--8964,1
168,1--4197,1
169,1--5237,1
170,0--88236,1
171,0--385,3
171,0--307,3
172,0--385,1
173,1--4081,1
174,1--84270,1
174,1--78344,3
174,1--84939,1
174,0--86264,1
175,1--78344,1
176,1--4494,1
177,1--4494,3
178,0--7407,1
179,1--941987,1
180,1--62138,1
181,0--85766,2
182,0--207,3
183,0--207,1
184,0--250,1
185,1--940364,1
186,1--4991,1
187,1--55451,1
188,1--55037,1
189,1--78308,3
189,0--85728,1
190,0--88010,1
191,1--85149,1
192,1--888460,1
193,1--59711,1
194,1--55783,1
195,1--926895,1
195,1--77188,4
196,1--940743,1
197,1--935328,1
198,1--59059,1
198,1--4842,11
198,1--4302,7
199,0--9924032,1
200,0--87795,1
201,1--60718,1
202,0--668,1
203,1--62872,2
204,0--7385,2
205,1--900850,1
206,0--7385,1
206,1--4671,3
207,1--4073,6
207,1--78491,5
208,1--78491,4
209,1--68255,3
210,1--68255,2
211,1--907896,1
212,0--208,1
213,1--4814,1
214,0--668,1
215,1--84837,1
216,1--84858,1
217,0--89804,1
218,1--908343,1
219,0--916179,1
220,0--14,3
221,1--85132,1
222,0--87000,1
223,1--86147,1
223,1--84322,1
224,1--85409,1
225,0--405,14
226,0--405,1
227,0--405,12
227,87--85176,1
228,0--340,1
228,0--7131,8
229,0--09,6
229,0--7493,1
230,0--09,5
231,1--5185,1
232,1--63081,1
232,1--60807,2
233,1--338,1
233,0--545,1
234,1--908967,1
235,0--9835723,1
236,0--87846,1
237,1--4166,3
238,1--63530,1
239,1--85972,1
239,1--4094,16
239,1--351,3
239,1--4724,26
239,0--7546,7
240,1--4724,2
241,1--4724,2
242,1--4094,1
243,0--86078,1
244,1--85398,1
245,0--87848,1
246,1--888582,1
247,0--87170,1
248,1--55581,3
249,0--446,1
250,0--7355,3
251,0--89443,1
252,0--87389,2
253,0--926508,1
254,1--4503,1
254,0--89871,1
255,0--317,1
256,1--5238,1
257,1--59407,1
258,1--68221,1
259,0--9645867,1
260,0--6481864,1
261,1--56286,1
262,1--886529,1
263,0--689,4
264,1--4424,2
264,1--4169,1
265,1--78239,2
266,1--61977,1
267,0--8021,3
267,0--87113,1
268,0--7434,1
