"Publisher","ID","ISBN","group","walktrap","louvain","infomap"
"1 brick publishing",868058184,"0--9834486",0,1884,1,1283
"12 story library",941714742,"1--63235",1,1885,2,1284
"12 story library",1086412591,"1--63235",1,1885,2,1284
"2013 the rise of the creative district project",949824789,"89--5592",2,1882,3,1285
"365 consejos para el cuidado",1022284956,"1--365",3,1012,4,556
"5 continents",880133589,"88--7439",4,277,5,300
"5 continents editions",1008911419,"88--7439",5,277,5,300
"6th books",872964646,"1--78099",6,113,1235,158
"83 press",1023592753,"1--940772",7,751,6,557
"a and c black",144596994,"0--7136",9,118,1218,182
"a and c black",693780668,"0--397",9,118,1218,182
"a and c black",440798158,"0--7136",9,118,1218,182
"a c mcclurg",71763182,"0--665",12,3,1166,4
"a d f randolph",77468264,"0--665",13,3,1166,4
"a hilger",1086879332,"0--7503",10,282,8,301
"a m kelley",427269769,"0--7190",14,124,9,206
"a mcmeel",907783145,"0--7407",11,122,1390,276
"a r e press",50218861,"0--87604",15,1886,10,546
"a r editions",859274671,"0--89579",8,1883,7,558
"a s barnes",3683627,"0--498",16,309,11,405
"aardvark global publishing llc",907678214,"1--4276",17,1621,12,559
"aba publishing",1030584412,"1--62722",18,1524,13,560
"abacus",276704732,"0--349",19,365,14,406
"abacus",1023592936,"0--349",19,365,14,406
"abbeville press publishers",960190114,"1--55859",20,293,15,324
"abc clio",908064906,"1--61069",22,2,1727,75
"abc clio",1034887310,"1--61069",22,2,1727,75
"abc clio",964510130,"1--4408",22,2,1727,75
"abc clio",490721727,"0--87436",22,2,1727,75
"abc garden llc",861517948,"1--938763",21,1198,16,561
"abc garden llc",861223912,"1--938763",21,1198,16,561
"abdo and daughters",1043552581,"1--56239",23,1026,17,1286
"abdo kids",891122822,"1--62970",24,46,1766,60
"abdo kids",1083781909,"1--5321",24,46,1766,60
"abdo kids",1022851829,"1--5321",24,46,1766,60
"abdo kids",941790262,"1--68080",24,46,1766,60
"abdo kids",1083781443,"1--5321",24,46,1766,60
"abdo kids",880240489,"1--62970",24,46,1766,60
"abdo kids jumbo",1050620954,"1--5321",25,46,1766,60
"abdo publishing company",862400616,"1--62403",26,312,18,302
"abdo publishing company",663953168,"1--61714",26,312,18,302
"abelard schuman",89216,"0--200",27,1669,19,562
"abingdon press",960871029,"1--4267",28,1622,20,563
"able muse press",1026197080,"1--77349",29,1571,21,564
"abrams books for young people",752551375,"0--8109",30,211,22,245
"abrams image",950909501,"1--61312",31,152,23,212
"abrams image",904565211,"1--4197",31,152,23,212
"academic press",911062651,"0--12",32,30,573,36
"academic press",1019998248,"0--12",32,30,573,36
"academic press",1084407658,"0--12",32,30,573,36
"academic press",1085663407,"0--12",32,30,573,36
"academic press",491377434,"0--12",32,30,573,36
"academic press",491701506,"0--12",32,30,573,36
"academic press",882252977,"0--12",32,30,573,36
"academic press",896847954,"1--4832",32,30,573,36
"academic press",489767432,"0--12",32,30,573,36
"academic press",492409881,"0--12",32,30,573,36
"academic press",1038381162,"1--4832",32,30,573,36
"academic press",867257681,"0--12",32,30,573,36
"academic press",492617186,"0--12",32,30,573,36
"academic press",894490217,"0--12",32,30,573,36
"academic press",782708988,"0--12",32,30,573,36
"academic press",1097111644,"1--4832",32,30,573,36
"academic press",900887637,"1--4832",32,30,573,36
"academic press",893684588,"0--12",32,30,573,36
"academic press",491850567,"0--12",32,30,573,36
"academic press",864925887,"0--12",32,30,573,36
"academic press",1011116418,"0--12",32,30,573,36
"academic press",899000446,"1--4832",32,30,573,36
"academic press",1097115112,"1--4832",32,30,573,36
"academic press inc",911070902,"1--4832",33,30,573,36
"academic press inc",900888385,"1--4832",33,30,573,36
"academic press inc",912311920,"1--4832",33,30,573,36
"academic press inc",899003791,"1--4832",33,30,573,36
"academic press inc",900885615,"1--4832",33,30,573,36
"academic press inc",903961979,"1--4832",33,30,573,36
"academic press inc",891395694,"1--4832",33,30,573,36
"academic press inc",899002782,"1--4832",33,30,573,36
"academic studies press",959667458,"1--61811",34,1137,24,565
"academic studies press",948445022,"1--61811",34,1137,24,565
"academic studies press",965766236,"1--61811",34,1137,24,565
"academy chicago",854754811,"0--89733",35,278,25,303
"academy chicago",21549881,"0--89733",35,278,25,303
"academy chicago publishers",320805599,"0--89733",36,278,25,303
"academy chicago publishers",693333538,"0--89733",36,278,25,303
"accord publishing",67346263,"1--57939",37,1010,26,566
"ace books",1023816262,"0--441",38,17,1409,113
"ace books",962099211,"0--441",38,17,1409,113
"ace books",18177609,"0--441",38,17,1409,113
"ace books",58558308,"0--441",38,17,1409,113
"ace books",19224125,"0--441",38,17,1409,113
"ace books",880762001,"1--937007",38,17,1409,113
"ace books",69669743,"0--441",38,17,1409,113
"ace science fiction books",15122112,"0--441",39,17,1409,113
"acm",905369852,"1--4503",40,1,821,68
"acm press",913077116,"0--89791",41,1,821,166
"acm press",491071938,"1--58113",41,1,821,166
"acm press",490233503,"0--89791",41,1,821,166
"acquavella galleries",947740561,"0--8478",42,196,27,243
"actar",1026743120,"1--945150",43,747,28,1287
"actex publications",864643105,"1--56698",44,711,29,567
"action books",1036283588,"0--900575",45,673,30,568
"action lab entertainment",1035485470,"1--63229",46,623,31,1288
"adam and charles black",1078815504,"0--7136",47,118,1218,182
"adam hilger ltd",907642579,"0--85274",48,548,32,1289
"adams media",937665513,"1--4405",49,327,33,304
"adams media",896849352,"1--4405",49,327,33,304
