"id","length","text","isbn_new","year_min","year_max","record","group"
0,1,"1 brick publishing","0--9834486","2013","2013",1,1880
1,1,"12-story library","1--63235","2017","2019",2,447
2,1,"2013 the rise of the creative district project","89--5592","2013","2013",1,1878
3,1,"365 consejos para el cuidado","1--365","2017","2017",1,1006
4,1,"5 continents","88--7439","2013","2013",1,392
5,1,"5 continents editions","88--7439","2017","2017",1,392
6,1,"6th books","1--78099","2012","2012",1,101
7,1,"83 press","1--940772","2018","2018",1,741
8,1,"a-r editions","0--89579","2013","2013",1,1879
9,1,"a. and c. black","0--7136;0--397","1972","2007",3,118
10,1,"a. hilger","0--7503","1995","1995",1,394
11,1,"a. mcmeel","0--7407","2007","2007",1,122
12,1,"a.c. mcclurg","0--665","1981","1981",1,2
13,1,"a.d.f. randolph","0--665","1983","1983",1,2
14,1,"a.m. kelley","0--7190","1970","1970",1,124
15,1,"a.r.e. press","0--87604","2002","2002",1,1881
16,1,"a.s. barnes","0--498","1971","1971",1,304
17,1,"aardvark global publishing llc","1--4276","2008","2008",1,1627
18,1,"aba publishing","1--62722","2014","2014",1,1523
19,1,"abacus","0--349","2001","2018",2,314
20,1,"abbeville press publishers","1--55859","1991","1991",1,380
21,1,"abc garden llc","1--938763","2012","2012",2,1185
22,1,"abc-clio","1--4408;1--61069;0--87436;1--322","1996","2016",4,1
23,1,"abdo and daughters","1--56239","1994","1994",1,810
24,1,"abdo kids","1--62970;1--64185;1--68080;1--5321","2014","2019",6,46
25,1,"abdo kids jumbo","1--5321","2019","2019",1,46
26,1,"abdo publishing company","1--62403;1--61714","2011","2015",2,446
27,1,"abelard schuman","0--200","1970","1970",1,1669
28,1,"abingdon press","1--4267","2002","2002",1,1622
29,1,"able muse press","1--77349","2018","2018",1,1571
30,1,"abrams books for young people","0--8109","2010","2010",1,196
31,1,"abrams image","1--4197;1--61312","2015","2016",2,151
32,1,"academic press","1--4832;0--12","1961","2018",24,30
33,1,"academic press inc","1--4832;0--12","1964","1989",8,30
34,1,"academic studies press","1--61811","2016","2017",3,1130
35,1,"academy chicago","0--89733","1979","1990",2,398
36,1,"academy chicago publishers","0--89733","2009","2010",2,398
37,1,"accord publishing","1--57939","2006","2006",1,1003
38,1,"ace books","1--937007;0--441","1982","2013",7,16
39,1,"ace science fiction books","0--441","1984","1984",1,16
40,1,"acm","1--4503","2014","2014",1,12
41,1,"acm press","1--58113;0--89791","1989","2001",3,12
42,1,"acquavella galleries","0--8478","2016","2016",1,210
43,1,"actar","1--945150","2017","2017",1,739
44,1,"actex publications","1--56698","2012","2012",1,702
45,1,"action books","0--900575","2018","2018",1,664
46,1,"action lab entertainment","1--63229","2018","2018",1,619
47,1,"adam and charles black","0--7136","1971","1971",1,118
48,1,"adam hilger ltd","0--85274","1982","1982",1,550
49,1,"adams media","1--4405","2015","2015",2,427
50,1,"addicus books","1--943886","2017","2017",1,477
51,1,"addison wesley professional","0--321","2008","2008",1,12
52,1,"addison-wesley","0--321;0--201","1981","2015",6,12
53,1,"addison-wesley pub. co","0--201","1973","1973",1,12
54,1,"adm","0--9622558","1990","1990",1,1709
55,1,"adobe","0--321","2013","2013",1,12
56,2,"adobe press;;adobepress","0--321;0--201;0--13","1999","2012",4,12
57,1,"adonisandabbey publishers ltd","1--909112","2018","2018",1,1623
58,1,"advanced marketing","607--618","2017","2017",1,1573
59,1,"adventure publications","1--59193","2004","2004",1,1537
60,1,"adventure publications inc","0--934860","1989","1989",1,1522
61,1,"advocacy press","0--911655","1988","1988",1,1478
62,1,"aeon","1--911597","2019","2019",1,1452
63,1,"aftershock comics","1--935002","2017","2017",1,1416
