"id","isbn"
0,"0--9834486"
1,"1--63235"
2,"89--5592"
3,"1--365"
4,"88--7439"
5,"88--7439"
6,"1--78099"
7,"1--940772"
8,"0--89579"
9,"0--7136"
9,"0--397"
10,"0--7503"
11,"0--7407"
12,"0--665"
13,"0--665"
14,"0--7190"
15,"0--87604"
16,"0--498"
17,"1--4276"
18,"1--62722"
19,"0--349"
20,"1--55859"
21,"1--938763"
22,"1--4408"
22,"1--61069"
22,"0--87436"
22,"1--322"
23,"1--56239"
24,"1--62970"
24,"1--64185"
24,"1--68080"
24,"1--5321"
25,"1--5321"
26,"1--62403"
26,"1--61714"
27,"0--200"
28,"1--4267"
29,"1--77349"
30,"0--8109"
31,"1--4197"
31,"1--61312"
32,"1--4832"
32,"0--12"
33,"1--4832"
33,"0--12"
34,"1--61811"
35,"0--89733"
36,"0--89733"
37,"1--57939"
38,"1--937007"
38,"0--441"
39,"0--441"
40,"1--4503"
41,"1--58113"
41,"0--89791"
42,"0--8478"
43,"1--945150"
44,"1--56698"
45,"0--900575"
46,"1--63229"
47,"0--7136"
48,"0--85274"
49,"1--4405"
50,"1--943886"
51,"0--321"
52,"0--321"
52,"0--201"
53,"0--201"
54,"0--9622558"
55,"0--321"
56,"0--321"
56,"0--201"
56,"0--13"
57,"1--909112"
58,"607--618"
59,"1--59193"
60,"0--934860"
61,"0--911655"
62,"1--911597"
63,"1--935002"
64,"0--87586"
65,"0--9861672"
66,"1--58426"
67,"0--321"
68,"0--692"
69,"1--56396"
70,"0--7354"
71,"0--9991953"
72,"1--61775"
73,"0--910034"
74,"1--5364"
74,"1--4242"
74,"1--4301"
74,"1--4424"
74,"1--4814"
74,"0--329"
75,"1--4352"
75,"0--689"
75,"0--88103"
75,"0--02"
76,"1--4352"
76,"1--4169"
76,"0--689"
76,"1--4287"
76,"0--8335"
76,"1--4177"
76,"0--88103"
76,"0--439"
76,"1--4131"
76,"0--7569"
76,"0--329"
76,"0--02"
77,"1--4814"
78,"0--9842883"
79,"1--4937"
80,"0--8451"
81,"0--8075"
81,"1--4806"
82,"0--916856"
83,"0--88200"
84,"0--86604"
85,"1--941999"
86,"1--101"
86,"0--679"
86,"0--345"
86,"0--525"
86,"1--5247"
86,"0--385"
86,"0--307"
87,"1--61620"
88,"0--87586"
89,"1--4071"
90,"0--692"
91,"0--9829430"
92,"0--04"
92,"1--925266"
92,"1--74343"
92,"1--76063"
92,"1--76011"
93,"1--84614"
94,"0--7490"
95,"0--205"
96,"1--78332"
97,"0--88168"
98,"1--882483"
