ID,ISBN,Publisher
957391635,0--9935471,tim haigh publishing
1013208492,1--5348,karl a minner
906697223,1--85423,ifs
925537399,0--9910147,praetorius publishers llc
5677169,0--521,cambridge university press
950880541,1--119,john wiley and sons inc
1076545326,1--4182,pearson
909320922,1--137,palgrave macmillan
946531029,1--84611,mantra lingua
2633241,0--07,mcgraw hill
1030490882,1--4722,headline
911211231,1--315,routledge
911211231,1--56324,routledge
244576034,1--4263,national geographic
858959772,1--61197,society for industrial and applied mathematics
944972687,0--13,pearson
824700507,0--00,collins
824700507,0--06,collins
953426808,3--7913,delmonico books
493327237,0--8176,birkha user
1008976800,1--138,routledge
909899016,1--5040,peanuts
1048444003,0--316,little brown and company
1033782506,1--63557,bloomsbury publishing inc
1058906169,1--4529,university of minnesota press
864081948,1--906364,confraternity of saint james
897882236,1--119,john wiley and sons inc
15083991,0--8161,g k hall
874150590,1--304,sheba blake publishing
921869581,1--5040,open road integrated media inc
909311063,0--19,oxford university press
961117649,0--8222,dramatists play service inc
8084418,0--902030,new park publications
1040695068,1--948338,encircle publications
959398435,0--316,little brown and company
1016956025,1--78416,black swan
490422769,0--387,springer
758350150,0--87584,harvard business school
881843077,0--415,routledge taylor and francis group
1029693519,0--06,harper
913451582,0--9677480,notramour press
868953845,3--11,w de gruyter
907294053,1--107,cambridge university press
29667695,0--679,knopf
44272418,0--439,scholastic inc
6433892,0--674,harvard university press
1088438296,1--946633,forbesbooks
1097149222,0--19,oxford university press
959801152,1--78068,intersentia
904315368,0--87389,asq quality press
1059477181,0--89145,collector books
942006171,1--339,proquest llc
77052740,0--88214,collins
758840598,0--06,harper collins
25024692,0--590,scholastic
48379002,1--56027,aviation supplies and academics
1084324808,1--4987,crc press taylor and francis group
64713713,0--439,scholastic
951020238,1--62286,urban books
492469983,0--444,elsevier
893676459,1--4649,scholarlyeditions
908747870,1--78374,open book publishers
22014340,0--14,penguin books
1022640312,0--19,oxford university press
1022833690,90--04,brill
24415203,0--440,dell
960953383,1--284,jones and bartlett learning
794489189,0--8047,stanford university press
1086728160,0--7494,kogan page
957731198,0--241,hamish hamilton
1058714761,1--315,routledge
1058714761,1--351,routledge
1079831198,1--4842,apress
1051740182,1--55447,gaspereau press limited printers and publishers
223026884,0--7145,marion boyars
893675821,0--300,yale university press
966318963,1--4422,rowman and littlefield
491850588,0--12,academic press
316034337,0--679,dell laurel leaf
704145241,0--567,t and t clark
900913152,1--61250,harvard education press
40615271,0--7538,phoenix illustrated
449945577,0--571,faber and faber
926754101,1--941541,pen name publishing
162157166,0--7879,jossey bass
1090374805,1--949017,or books llc
1083393025,0--486,dover publications
915344326,1--4522,corwin a sage company
1090217079,0--06,william morrow
