id,length,text,publisher_pro,isbn_new,year_min,year_max,record
0,1,100 idees conran octopus,100 idees conran octopus,1--85029,1993,1993,1.0
1,1,12 story library,12 story library,1--63235,2016,2017,2.0
2,1,13 press,13 press,1--5084,2015,2015,1.0
3,1,13th and joan,13th and joan,1--7324712,2018,2018,1.0
4,1,1984 publishing,1984 publishing,1--948221,2018,2018,1.0
5,1,1984 whiz kids,1984 whiz kids,1--948221,2018,2018,1.0
6,1,1st books library,1st books library,1--58500;1--58721,2000,2000,2.0
7,1,1stbook library,1stbook library,1--4033,2003,2003,1.0
8,1,37 ink atria,37 ink atria,1--5011,2018,2018,1.0
9,1,3dogart press,3dogart press,0--9896385,2013,2013,1.0
10,1,3g e learning,3g e learning,1--68095,2017,2017,1.0
11,1,4ltr press cengage learning,4ltr press cengage learning,1--337,2019,2019,1.0
12,1,4th estate,4th estate,0--00,2018,2018,1.0
13,2,a a knopf;;alfred a knopf,a a knopf;;alfred a knopf,0--679;0--525;0--307;0--553;0--375;0--394;1--9848;1--4000;0--440,1980,2019,16.0
14,1,a constable,a constable,0--665,1982,1982,1.0
15,2,a lane;;allen lane,a lane;;allen lane,1--84614;0--7139,1973,2013,4.0
16,1,a m kelly,a m kelly,0--678,1973,1973,1.0
17,1,a m thayer,a m thayer,0--665,1981,1981,1.0
18,1,a s barnes,a s barnes,0--665,1983,1983,1.0
19,1,a s barnes and co,a s barnes and co,0--498,1979,1979,1.0
20,1,aa publishing,aa publishing,0--7495,2016,2016,1.0
21,1,aapc publishing,aapc publishing,1--942197,2015,2015,1.0
22,1,aardvaark creative publishing,aardvaark creative publishing,0--557,2010,2010,1.0
23,1,aashto,aashto,1--56051,1997,1997,1.0
24,1,abacus,abacus,0--349,1973,2018,2.0
25,1,abaddon books,abaddon books,1--84997,2009,2009,1.0
26,1,abaris books,abaris books,0--89835,1999,1999,1.0
27,1,abbeville press,abbeville press,0--89659;1--55859,1980,1994,3.0
28,1,abbeville press publishers,abbeville press publishers,0--7893;0--7892,2012,2012,1.0
29,1,abbey press,abbey press,1--4976,2002,2002,1.0
30,1,abbeydale press,abbeydale press,1--86147,1999,1999,1.0
31,1,abc clio,abc clio,1--4408;1--59884;0--87436,1996,2017,4.0
32,1,abc clio llc,abc clio llc,1--4408;1--61069;0--06,2015,2018,10.0
33,1,abc garden llc,abc garden llc,1--938763,2012,2012,1.0
34,1,abdo and daughters,abdo and daughters,1--56239,2002,2002,1.0
35,1,abdo kids,abdo kids,1--68080,2017,2017,1.0
36,1,abdo kids jumbo,abdo kids jumbo,1--5321,2019,2019,1.0
37,2,abdo pub co;;abdo publishing company,abdo pub co;;abdo publishing company,1--61758;1--61783,2012,2013,2.0
38,1,abdo publishing,abdo publishing,1--68078;1--5321;1--62969;1--68077,2015,2018,6.0
39,1,abdo zoom,abdo zoom,1--5321,2018,2018,2.0
40,1,abelard schuman,abelard schuman,0--200,1968,1968,1.0
41,1,abington publishing,abington publishing,1--84569,1994,1994,1.0
42,1,abradale press,abradale press,0--8109,2000,2000,1.0
43,1,abrams,abrams,0--8109;1--4197,2011,2019,3.0
44,1,abrams and company publishers inc,abrams and company publishers inc,0--7665,2000,2000,1.0
45,1,abrams appleseed,abrams appleseed,1--4197,2013,2018,3.0
46,1,abrams books for young readers,abrams books for young readers,0--8109;0--7587,1999,1999,1.0
47,1,abrams noterie,abrams noterie,1--4197,2019,2019,1.0
48,1,academic press,academic press,1--4832;0--08;1--5225;0--12,1962,2019,51.0
49,1,academic press inc,academic press inc,1--4831;1--4832,1950,1973,5.0
50,1,academic press limited,academic press limited,1--4832,1991,1991,1.0
51,1,academic studies press,academic studies press,1--61811,2014,2016,2.0
52,1,academy chicago,academy chicago,0--89733,2008,2008,1.0
53,1,academy chicago pub,academy chicago pub,0--89733,2004,2004,1.0
54,1,academy chicago publishers,academy chicago publishers,0--89733;1--61373,1990,1990,1.0
