"text","id.x","id.y"
"100 idees conran octopus",0,0
"12 story library",1,1
"13 press",2,2
"13th and joan",3,3
"1984 publishing",4,4
"1984 whiz kids",5,5
"1st books library",6,6
"1stbook library",7,7
"37 ink atria",8,8
"3dogart press",9,9
"3g e learning",10,10
"4ltr press cengage learning",11,11
"4th estate",12,12
"a a knopf",13,NA
"a a knopf;;alfred a knopf",NA,13
"a constable",14,14
"a lane",15,NA
"a lane;;allen lane",NA,15
"a m kelly",16,16
"a m thayer",17,17
"a s barnes",18,18
"a s barnes and co",19,19
"aa publishing",20,20
"aapc publishing",21,21
"aardvaark creative publishing",22,22
"aashto",23,23
"abacus",24,24
"abaddon books",25,25
"abaris books",26,26
"abbeville press",27,27
"abbeville press publishers",28,28
"abbey press",29,29
"abbeydale press",30,30
"abc clio",31,31
"abc clio llc",32,32
"abc garden llc",33,33
"abdo and daughters",34,34
"abdo kids",35,35
"abdo kids jumbo",36,36
"abdo pub co",37,NA
"abdo pub co;;abdo publishing company",NA,37
"abdo publishing",38,38
"abdo publishing company",39,NA
"abdo zoom",40,39
"abelard schuman",41,40
"abington publishing",42,41
"abradale press",43,42
"abrams",44,43
"abrams and company publishers inc",45,44
"abrams appleseed",46,45
"abrams books for young readers",47,46
"abrams noterie",48,47
"academic press",49,48
"academic press inc",50,49
"academic press limited",51,50
"academic studies press",52,51
"academy chicago",53,52
"academy chicago pub",54,53
"academy chicago publishers",55,54
"academy of nutrition and dietetics",56,55
"accent press",57,56
"accord pub",58,57
"ace",59,58
"ace books",60,59
"ace fantasy books",61,60
"acorn scholastic inc",62,61
"acquavella galleries",63,62
"acsi purposeful design publications",64,63
"act human rights commission",65,64
"acumen",66,65
"adams and dart",67,66
"adams media corp",68,67
"addison wesley",69,68
"addison wesley longman",70,69
"addison wesley professional",71,70
"addison wesley pub co",72,71
"adjoa sarfo bonsu",73,72
"adlard coles nautical",74,73
"adler and adler",75,74
"adobe press",76,75
"adonis and abbey publishers ltd",77,76
"advance publishers",78,77
"advantage",79,78
"adventure publications inc",80,79
"aeonian press",81,80
"aerospace press",82,81
"africa world books",83,82
"africana pub co",84,83
"afrikan world infosystems",85,84
"after ever after publishing",86,85
"aftershock comics",87,86
"agu american geophysical union",88,87
"aguilar",89,88
"ahf publishing",90,89
"ahima",91,90
"aicpa",92,91
"aiha press",93,92
"ak press",94,93
"akademie verlag",95,94
"akashic books",96,95
"al anon family group headquarters",97,96
"ala editions",98,97
"ala neal schuman",99,98
"aladdin",100,99
"aladdin books",101,100
"aladdin paperbacks",102,101
"alan sutton",103,102
"alaska northwest books",104,103
"albert whitman and company",105,104
"aldine",106,105
"aldinetransaction",107,106
"alfred a knopf",108,NA
"alfred pfingstl winter haven publishing",109,107
"alfred publishing co",110,108
"alfred publishing co inc",111,109
"algonquin books of chapel hill",112,110
"algonquin young readers",113,111
"algora publishing",114,112
"all due respect books",115,113
