cluster_id,isbn,record,type
0,1--85029,1,1
1,1--63235,2,1
2,1--5084,1,1
3,1--7324712,1,1
4,1--948221,1,1
5,1--948221,1,1
6,1--58500,1,1
6,1--58721,1,1
7,1--4033,1,1
8,1--5011,1,1
9,0--9896385,1,1
10,1--68095,1,1
11,1--337,1,1
12,0--00,1,1
13,0--679,2,1
13,0--525,1,1
13,0--307,3,1
13,0--553,2,1
13,0--375,2,1
13,0--394,5,1
13,1--9848,1,1
13,1--4000,1,1
13,0--440,1,1
14,0--665,1,1
15,1--84614,1,1
15,0--7139,3,1
16,0--678,1,1
17,0--665,1,1
18,0--665,1,1
19,0--498,1,1
20,0--7495,1,1
21,1--942197,1,1
22,0--557,1,1
23,1--56051,1,1
24,0--349,2,1
25,1--84997,1,1
26,0--89835,1,1
27,0--89659,2,1
27,1--55859,1,1
28,0--7893,1,1
28,0--7892,1,1
29,1--4976,1,1
30,1--86147,1,1
31,1--4408,10,1
31,1--59884,1,1
31,0--87436,1,1
32,1--4408,8,1
32,1--61069,1,1
32,0--06,1,1
33,1--938763,1,1
34,1--56239,1,1
35,1--68080,1,1
36,1--5321,1,1
37,1--61758,1,1
37,1--61783,1,1
38,1--68078,2,1
38,1--5321,2,1
38,1--62969,1,1
38,1--68077,1,1
39,1--5321,2,1
40,0--200,1,1
41,1--84569,1,1
42,0--8109,1,1
43,0--8109,5,1
43,1--4197,6,1
44,0--7665,1,1
45,1--4197,3,1
46,0--8109,1,1
46,0--7587,1,1
47,1--4197,1,1
48,1--4832,17,1
48,0--08,1,1
48,1--5225,1,1
48,0--12,44,1
49,1--4831,1,1
49,1--4832,5,1
50,1--4832,1,1
51,1--61811,2,1
52,0--89733,3,1
53,0--89733,2,1
54,0--89733,1,1
54,1--61373,1,1
55,0--88091,1,1
56,0--7505,1,1
56,1--78375,1,1
57,0--7407,1,1
58,1--101,1,1
59,0--88103,1,1
59,0--441,4,1
59,0--425,2,1
60,0--441,2,1
61,1--338,1,1
62,0--8478,1,1
63,1--58331,1,1
64,0--6482883,1,1
65,1--84465,1,1
65,1--908049,1,1
66,0--239,1,1
67,1--55850,2,1
68,0--13,3,1
68,0--321,5,1
68,0--201,13,1
69,0--582,1,1
70,0--321,1,1
71,0--201,5,1
72,1--5201,1,1
73,1--4729,1,1
74,0--917561,2,1
75,0--13,1,1
76,1--909112,1,1
76,1--912234,1,1
77,1--57973,1,1
77,1--59961,1,1
77,1--4169,1,1
78,1--59932,1,1
79,1--59193,1,1
80,0--88411,1,1
81,1--884989,1,1
82,0--9943631,1,1
83,0--8419,1,1
84,1--879164,1,1
85,1--9867,1,1
86,1--935002,1,1
87,1--118,1,1
88,1--945540,1,1
88,1--941999,1,1
89,0--9861672,1,1
90,1--58426,1,1
91,1--945498,1,1
92,0--932627,1,1
93,1--84935,3,1
94,3--11,1,1
95,1--61775,1,1
96,0--910034,1,1
97,0--8389,1,1
98,0--8389,1,1
99,0--689,4,1
99,1--4424,2,1
99,0--02,1,1
99,1--4814,4,1
100,0--689,2,1
101,0--689,1,1
101,0--7587,1,1
101,0--671,1,1
101,1--4169,3,1
101,1--4156,1,1
101,0--7857,1,1
102,0--7509,1,1
102,0--86299,1,1
103,0--88240,1,1
104,0--8075,3,1
104,1--4976,1,1
105,0--202,2,1
106,0--202,1,1
107,0--615,1,1
108,0--7390,1,1
109,1--4574,1,1
110,1--61620,1,1
111,1--61620,1,1
112,1--62894,1,1
113,1--5025,1,1
114,1--74331,1,1
114,0--04,6,1
115,0--7490,1,1
116,0--205,1,1
117,1--61564,1,1
118,1--78332,2,1
119,1--4422,1,1
119,0--7591,1,1
120,1--55583,1,1
121,1--55583,1,1
122,0--8144,2,1
123,0--7614,1,1
124,0--7614,1,1
124,1--4778,1,1
125,1--5039,1,1
126,1--78274,1,1
127,0--912146,1,1
128,0--88411,1,1
128,0--8488,1,1
129,1--61002,1,1
130,1--56395,1,1
131,0--252,1,1
131,1--306,1,1
132,1--62722,3,1
132,1--64105,2,1
132,1--61438,2,1
133,1--61632,1,1
134,0--8412,2,1
135,1--934984,1,1
136,1--938921,1,1
137,1--5108,1,1
138,0--942320,1,1
139,0--8447,1,1
140,1--118,2,1
141,0--606,1,1
141,1--60744,1,1
141,1--4287,1,1
141,1--60958,1,1
141,1--59369,1,1
141,1--4395,1,1
141,1--5182,1,1
142,1--62410,1,1
142,1--5231,1,1
143,1--56396,1,1
144,0--517,1,1
145,0--8389,1,1
146,1--5108,1,1
147,0--8218,3,1
147,1--4704,15,1
148,0--665,1,1
149,0--86536,1,1
150,1--884829,1,1
150,1--932364,1,1
151,1--61190,1,1
152,1--878147,1,1
153,1--55798,3,1
153,1--4338,5,1
154,0--86536,1,1
155,0--88195,1,1
156,1--61738,1,1
157,0--87262,1,1
157,0--7844,5,1
158,1--68015,1,1
158,1--891255,1,1
158,1--61344,1,1
159,0--665,1,1
160,0--89259,1,1
161,1--321,1,1
161,1--303,1,1
161,1--339,2,1
162,1--61797,1,1
163,1--62576,1,1
164,1--60895,1,1
165,1--68151,1,1
166,1--60753,1,1
167,1--68152,1,1
167,1--68151,1,1
168,1--68152,1,1
169,1--937484,1,1
170,1--886212,1,1
171,0--9837025,1,1
172,0--692,1,1
173,0--8174,1,1
174,1--64089,1,1
175,0--8218,1,1
176,0--87720,1,1
177,90--8964,1,1
178,1--4197,1,1
179,1--5237,1,1
180,0--88236,1,1
181,0--307,3,1
181,0--385,3,1
181,1--299,1,1
182,0--385,1,1
183,0--7136,2,1
183,0--393,2,1
183,1--4081,1,1
184,1--84939,1,1
184,0--86264,1,1
184,1--78344,3,1
184,1--84270,1,1
185,1--78344,1,1
186,1--4494,1,1
187,1--4494,3,1
