publisher,isbn_tag,publisher_pro,year,record,source,cluster_original,cluster_pre
100 idees conran octopus,1--85029,100 idees conran octopus,1993,1.0,1.0,0.0,0
12 story library,1--63235,12 story library,2016;2017,2.0,2.0,1.0,1
13 press,1--5084,13 press,2015,1.0,1.0,2.0,2
13th and joan,1--7324712,13th and joan,2018,1.0,1.0,3.0,3
1984 publishing,1--948221,1984 publishing,2018,1.0,2.0,4.0,4
1984 whiz kids,1--948221,1984 whiz kids,2018,1.0,2.0,5.0,5
1st books library,1--58500;1--58721,1st books library,2000,2.0,1.0,6.0,6
1stbook library,1--4033,1stbook library,2003,1.0,1.0,7.0,7
37 ink atria,1--5011,37 ink atria,2018,1.0,1.0,8.0,8
3dogart press,0--9896385,3dogart press,2013,1.0,1.0,9.0,9
3g e learning,1--68095,3g e learning,2017,1.0,1.0,10.0,10
4ltr press cengage learning,1--337,4ltr press cengage learning,2019,1.0,1.0,11.0,11
4th estate,0--00,4th estate,2018,1.0,2.0,12.0,12
a a knopf,0--394,a a knopf,1988,1.0,1.0,13.0,13
a constable,0--665,a constable,1982,1.0,1.0,14.0,14
a lane,1--84614;0--7139,a lane,1984;2013;1975,3.0,1.0,15.0,15
a m kelly,0--678,a m kelly,1973,1.0,1.0,16.0,16
a m thayer,0--665,a m thayer,1981,1.0,1.0,17.0,17
a s barnes,0--665,a s barnes,1983,1.0,1.0,18.0,18
a s barnes and co,0--498,a s barnes and co,1979,1.0,1.0,19.0,19
aa publishing,0--7495,aa publishing,2016,1.0,1.0,20.0,20
aapc publishing,1--942197,aapc publishing,2015,1.0,1.0,21.0,21
aardvaark creative publishing,0--557,aardvaark creative publishing,2010,1.0,1.0,22.0,22
aashto,1--56051,aashto,1997,1.0,1.0,23.0,23
abacus,0--349,abacus,1973;2018,2.0,1.0,24.0,24
abaddon books,1--84997,abaddon books,2009,1.0,1.0,25.0,25
abaris books,0--89835,abaris books,1999,1.0,1.0,26.0,26
abbeville press,0--89659;1--55859,abbeville press,1994;1980;1985,3.0,1.0,27.0,27
abbeville press publishers,0--7893;0--7892,abbeville press publishers,2012,1.0,1.0,28.0,28
abbey press,1--4976,abbey press,2002,1.0,1.0,29.0,29
abbeydale press,1--86147,abbeydale press,1999,1.0,1.0,30.0,30
abc clio,1--4408;1--59884;0--87436,abc clio,2016;1996;2013;2017,4.0,2.0,31.0,31
abc clio llc,1--4408;1--61069;0--06,abc clio llc,2016;2015;2018;2017,10.0,2.0,32.0,32
abc garden llc,1--938763,abc garden llc,2012,1.0,1.0,33.0,33
abdo and daughters,1--56239,abdo and daughters,2002,1.0,1.0,34.0,34
abdo kids,1--68080,abdo kids,2017,1.0,1.0,35.0,35
abdo kids jumbo,1--5321,abdo kids jumbo,2019,1.0,1.0,36.0,36
abdo pub co,1--61758,abdo pub co,2012,1.0,1.0,37.0,37
abdo publishing,1--68078;1--5321;1--62969;1--68077,abdo publishing,2016;2015;2018;2017,6.0,2.0,38.0,38
abdo publishing company,1--61783,abdo publishing company,2013,1.0,1.0,39.0,37
abdo zoom,1--5321,abdo zoom,2018,2.0,1.0,40.0,39
abelard schuman,0--200,abelard schuman,1968,1.0,1.0,41.0,40
abington publishing,1--84569,abington publishing,1994,1.0,1.0,42.0,41
abradale press,0--8109,abradale press,2000,1.0,1.0,43.0,42
abrams,0--8109;1--4197,abrams,2018;2019;2011,3.0,2.0,44.0,43
abrams and company publishers inc,0--7665,abrams and company publishers inc,2000,1.0,1.0,45.0,44
abrams appleseed,1--4197,abrams appleseed,2018;2013,3.0,2.0,46.0,45
abrams books for young readers,0--8109;0--7587,abrams books for young readers,1999,1.0,1.0,47.0,46
abrams noterie,1--4197,abrams noterie,2019,1.0,2.0,48.0,47
academic press,1--5225;0--08;0--12;1--4832,academic press,1973;2019;1997;2018;2017;1992;1976;1980;1967;1978;1994;2002;1983;2013;1975;1970;2008;2016;2015;1977;1962;1971;2014;1987;1981;1974,51.0,2.0,49.0,48
academic press inc,1--4831;1--4832,academic press inc,1963;1973;1950;1967;1958,5.0,1.0,50.0,49
academic press limited,1--4832,academic press limited,1991,1.0,1.0,51.0,50
academic studies press,1--61811,academic studies press,2016;2014,2.0,1.0,52.0,51
academy chicago,0--89733,academy chicago,2008,1.0,1.0,53.0,52
academy chicago pub,0--89733,academy chicago pub,2004,1.0,1.0,54.0,53
academy chicago publishers,0--89733;1--61373,academy chicago publishers,1990,1.0,1.0,55.0,54
academy of nutrition and dietetics,0--88091,academy of nutrition and dietetics,2013,1.0,1.0,56.0,55
accent press,0--7505;1--78375,accent press,2013,1.0,1.0,57.0,56
accord pub,0--7407,accord pub,2010,1.0,1.0,58.0,57
ace,1--101,ace,2018,1.0,1.0,59.0,58
ace books,0--88103;0--441;0--425,ace books,1978;2014;1990;1982;2015,6.0,1.0,60.0,59
ace fantasy books,0--441,ace fantasy books,1984;1986,2.0,1.0,61.0,60
acorn scholastic inc,1--338,acorn scholastic inc,2019,1.0,1.0,62.0,61
acquavella galleries,0--8478,acquavella galleries,2016,1.0,1.0,63.0,62
acsi purposeful design publications,1--58331,acsi purposeful design publications,2005,1.0,1.0,64.0,63
act human rights commission,0--6482883,act human rights commission,2018,1.0,1.0,65.0,64
acumen,1--84465;1--908049,acumen,2014,1.0,1.0,66.0,65
adams and dart,0--239,adams and dart,1967,1.0,1.0,67.0,66
adams media corp,1--55850,adams media corp,1994;1996,2.0,1.0,68.0,67
addison wesley,0--13;0--321;0--201,addison wesley,1991;1999;2006;1995;2012;1990;1998;2011;2015;2003;1983;2013,14.0,1.0,69.0,68
addison wesley longman,0--582,addison wesley longman,1997,1.0,1.0,70.0,69
addison wesley professional,0--321,addison wesley professional,2008,1.0,1.0,71.0,70
addison wesley pub co,0--201,addison wesley pub co,1978;1988;1989;1974;1996,5.0,1.0,72.0,71
adjoa sarfo bonsu,1--5201,adjoa sarfo bonsu,2016,1.0,1.0,73.0,72
adlard coles nautical,1--4729,adlard coles nautical,2016,1.0,1.0,74.0,73
adler and adler,0--917561,adler and adler,1988;1985,2.0,1.0,75.0,74
adobe press,0--13,adobe press,2016,1.0,1.0,76.0,75
adonis and abbey publishers ltd,1--909112;1--912234,adonis and abbey publishers ltd,2014;2017,2.0,1.0,77.0,76
advance publishers,1--57973;1--59961;1--4169,advance publishers,2009,1.0,1.0,78.0,77
advantage,1--59932,advantage,2018,1.0,1.0,79.0,78
adventure publications inc,1--59193,adventure publications inc,2015,1.0,1.0,80.0,79
aeonian press,0--88411,aeonian press,1976,1.0,1.0,81.0,80
aerospace press,1--884989,aerospace press,2013,1.0,1.0,82.0,81
africa world books,0--9943631,africa world books,2015,1.0,1.0,83.0,82
africana pub co,0--8419,africana pub co,1978,1.0,1.0,84.0,83
afrikan world infosystems,1--879164,afrikan world infosystems,2003,1.0,1.0,85.0,84
after ever after publishing,1--9867,after ever after publishing,2018,1.0,1.0,86.0,85
aftershock comics,1--935002,aftershock comics,2017,1.0,1.0,87.0,86
agu american geophysical union,1--118,agu american geophysical union,2015,1.0,1.0,88.0,87
aguilar,1--945540;1--941999,aguilar,2016,1.0,1.0,89.0,88
ahf publishing,0--9861672,ahf publishing,2015,1.0,1.0,90.0,89
ahima,1--58426,ahima,2019,1.0,1.0,91.0,90
aicpa,1--945498,aicpa,2017,1.0,1.0,92.0,91
aiha press,0--932627,aiha press,1997,1.0,1.0,93.0,92
ak press,1--84935,ak press,2015;2012;2011,3.0,1.0,94.0,93
akademie verlag,3--11,akademie verlag,2014,1.0,1.0,95.0,94
akashic books,1--61775,akashic books,2015,1.0,1.0,96.0,95
al anon family group headquarters,0--910034,al anon family group headquarters,1990,1.0,1.0,97.0,96
ala editions,0--8389,ala editions,2013,1.0,1.0,98.0,97
ala neal schuman,0--8389,ala neal schuman,2017,1.0,2.0,99.0,98
aladdin,0--689;1--4424;0--02;1--4814,aladdin,2012;2018;1986;2011;2015;1993,8.0,1.0,100.0,99
aladdin books,0--689,aladdin books,1987,2.0,1.0,101.0,100
aladdin paperbacks,0--689;0--7587;0--671;1--4169;1--4156;0--7857,aladdin paperbacks,2008;2007;2000;2001;1987;2005,6.0,1.0,102.0,101
alan sutton,0--7509;0--86299,alan sutton,1994,1.0,1.0,103.0,102
alaska northwest books,0--88240,alaska northwest books,2014,1.0,1.0,104.0,103
albert whitman and company,0--8075;1--4976,albert whitman and company,2015;2018,3.0,1.0,105.0,104
aldine,0--202,aldine,1979,1.0,1.0,106.0,105
aldinetransaction,0--202,aldinetransaction,2008,1.0,1.0,107.0,106
alfred a knopf,0--679;0--525;0--307;0--553;0--375;0--394;1--9848;1--4000;0--440,alfred a knopf,1980;2008;2019;2006;2016;2007;1990;2017;2004;2010;2013,15.0,1.0,108.0,13
alfred pfingstl winter haven publishing,0--615,alfred pfingstl winter haven publishing,2008,1.0,1.0,109.0,107
alfred publishing co,0--7390,alfred publishing co,2004,1.0,1.0,110.0,108
alfred publishing co inc,1--4574,alfred publishing co inc,2016,1.0,1.0,111.0,109
algonquin books of chapel hill,1--61620,algonquin books of chapel hill,2017,1.0,1.0,112.0,110
algonquin young readers,1--61620,algonquin young readers,2015,1.0,1.0,113.0,111
algora publishing,1--62894,algora publishing,2015,1.0,1.0,114.0,112
all due respect books,1--5025,all due respect books,2014,1.0,1.0,115.0,113
allen and unwin,1--74331;0--04,allen and unwin,1971;1982;1987;1985;2013,5.0,1.0,116.0,114
allen lane,0--7139,allen lane,1973,1.0,1.0,117.0,15
allison and busby,0--7490,allison and busby,2019,1.0,1.0,118.0,115
allyn and bacon,0--205,allyn and bacon,1985,1.0,1.0,119.0,116
alpha books,1--61564,alpha books,2014,1.0,1.0,120.0,117
alpha science international ltd,1--78332,alpha science international ltd,2016;2019,2.0,1.0,121.0,118
altamira press,1--4422;0--7591,altamira press,2005,2.0,1.0,122.0,119
alyson publications inc,1--55583,alyson publications inc,1991,1.0,1.0,123.0,120
alyson wonderland,1--55583,alyson wonderland,1991,1.0,1.0,124.0,121
amacom,0--8144,amacom,2005;1981,2.0,1.0,125.0,122
amazon children's pub,0--7614,amazon children's pub,2012,1.0,1.0,126.0,123
amazon publishing,0--7614;1--4778,amazon publishing,2012;2014,2.0,1.0,127.0,124
amazoncrossing,1--5039,amazoncrossing,2018,1.0,1.0,128.0,125
amber books,1--78274,amber books,2017,1.0,1.0,129.0,126
ameco pub corp,0--912146,ameco pub corp,1987,1.0,1.0,130.0,127
amereon house,0--88411;0--8488,amereon house,1999;1981,2.0,1.0,131.0,128
american academy of pediatrics,1--61002,american academy of pediatrics,2019,1.0,1.0,132.0,129
american association of blood banks,1--56395,american association of blood banks,2009,1.0,1.0,133.0,130
american association of university professors,0--252;1--306,american association of university professors,2014,1.0,1.0,134.0,131
american bar association,1--62722;1--64105;1--61438,american bar association,2012;2014;2018,7.0,1.0,135.0,132
american bar association section of dispute resolution,1--61632,american bar association section of dispute resolution,2011,1.0,1.0,136.0,133
american chemical society,0--8412,american chemical society,2014;2013,2.0,1.0,137.0,134
american college of obstetricians and gynecologists women's health care physicians,1--934984,american college of obstetricians and gynecologists women's health care physicians,2014,1.0,1.0,138.0,135
american college of physicians,1--938921,american college of physicians,2015,1.0,1.0,139.0,136
american concrete institute,1--5108,american concrete institute,2015,1.0,1.0,140.0,137
american cooking guild,0--942320,american cooking guild,1991,1.0,1.0,141.0,138
american enterprise institute for public policy research,0--8447,american enterprise institute for public policy research,1977,1.0,1.0,142.0,139
american geophysical union,1--118,american geophysical union,1990,1.0,1.0,143.0,140
american girl,0--606;1--60744;1--4287;1--60958;1--59369;1--4395;1--5182,american girl,2007;2017,2.0,1.0,144.0,141
american institute of aeronautics and astronautics,1--62410;1--5231,american institute of aeronautics and astronautics,2015,1.0,1.0,145.0,142
american institute of physics,1--56396,american institute of physics,1993,1.0,1.0,146.0,143
american legacy,0--517,american legacy,1988,1.0,1.0,147.0,144
american library association,0--8389,american library association,2017,1.0,2.0,148.0,145
american marketing association,1--5108,american marketing association,2017,1.0,1.0,149.0,146
american mathematical society,0--8218;1--4704,american mathematical society,1973;1970;2008;2014;1977;2016;2018;2017;1992;2009;1989;2015;1983;2005,18.0,1.0,150.0,147
american medical association,0--665,american medical association,1980,1.0,1.0,151.0,148
american national red cross,0--86536,american national red cross,1983,1.0,1.0,152.0,149
american planning association,1--932364;1--884829,american planning association,2004;2008,2.0,1.0,153.0,150
american planning association planners press,1--61190,american planning association planners press,2014,1.0,1.0,154.0,151
american political science association c 2018,1--878147,american political science association c 2018,2018,1.0,1.0,155.0,152
american psychological association,1--55798;1--4338,american psychological association,1999;2007;1997;2018;2017;1996;2010,8.0,1.0,156.0,153
american red cross,0--86536,american red cross,1989,1.0,1.0,157.0,154
american school of needlework,0--88195,american school of needlework,1988,1.0,1.0,158.0,155
american society for engineering management,1--61738,american society for engineering management,2010,1.0,1.0,159.0,156
american society of civil engineers,0--87262;0--7844,american society of civil engineers,2014;2012;1990;2017;2015;2013,6.0,1.0,160.0,157
american society of plumbing engineers,1--68015;1--891255;1--61344,american society of plumbing engineers,2012,1.0,1.0,161.0,158
american sunday school union,0--665,american sunday school union,1981,1.0,1.0,162.0,159
american trust publications,0--89259,american trust publications,1999,1.0,1.0,163.0,160
american university,1--321;1--303;1--339,american university,2015;2013,4.0,1.0,164.0,161
american university in cairo press,1--61797,american university in cairo press,2014,1.0,1.0,165.0,162
american water works association,1--62576,american water works association,2018,1.0,1.0,166.0,163
amherst media,1--60895,amherst media,2015,1.0,1.0,167.0,164
amicus amicus ink,1--68151,amicus amicus ink,2018,1.0,1.0,168.0,165
amicus high interest,1--60753,amicus high interest,2013,1.0,1.0,169.0,166
amicus illustrated,1--68152;1--68151,amicus illustrated,2019,1.0,1.0,170.0,167
amicus ink,1--68152,amicus ink,2018,1.0,1.0,171.0,168
amika press,1--937484,amika press,2015,1.0,1.0,172.0,169
amilus,1--886212,amilus,2013,1.0,1.0,173.0,170
aminso,0--9837025,aminso,2012,1.0,1.0,174.0,171
ampersand,0--692,ampersand,2015,1.0,1.0,175.0,172
amphoto,0--8174,amphoto,1978,1.0,1.0,176.0,173
amplify,1--64089,amplify,2018,1.0,1.0,177.0,174
ams chelsea pub,0--8218,ams chelsea pub,2007,1.0,1.0,178.0,175
amsco,0--87720,amsco,1980,1.0,1.0,179.0,176
amsterdam university press,90--8964,amsterdam university press,2016,1.0,1.0,180.0,177
amulet books,1--4197,amulet books,2016,1.0,1.0,181.0,178
amy linnabary,1--5237,amy linnabary,2017,1.0,1.0,182.0,179
anaheim pub co,0--88236,anaheim pub co,1979,1.0,1.0,183.0,180
anchor books,0--307;0--385;1--299,anchor books,1999;1990;2011;2009;2004;1962,6.0,1.0,184.0,181
anchor press doubleday,0--385,anchor press doubleday,1977,1.0,1.0,185.0,182
and c black,0--393;1--4081;0--7136,and c black,1989;2008;1986,3.0,1.0,186.0,183
andersen press,1--84939;0--86264;1--78344;1--84270,andersen press,2007;2018;2017;2009;1996,5.0,1.0,187.0,184
andersen press ltd,1--78344,andersen press ltd,2018,1.0,1.0,188.0,185
andrew mcmeel publishing,1--4494,andrew mcmeel publishing,2018,1.0,1.0,189.0,186
andrews mcmeel publishing,1--4494,andrews mcmeel publishing,2015;2018;2014,3.0,1.0,190.0,187
andrews mcmeel publishing llc,0--7407,andrews mcmeel publishing llc,2008,1.0,1.0,191.0,188
angelic knight press,1--941987,angelic knight press,2015,1.0,2.0,192.0,189
angelico press,1--62138,angelico press,2015,1.0,1.0,193.0,190
angry robot,0--85766,angry robot,2014;2017,2.0,1.0,194.0,191
angus and robertson,0--207,angus and robertson,1982;1981,2.0,1.0,195.0,192
angus and robertson publishers,0--207,angus and robertson publishers,1982,1.0,1.0,196.0,193
ann arbor science publishers,0--250,ann arbor science publishers,1974,1.0,1.0,197.0,194
ann charles,1--940364,ann charles,2016,1.0,1.0,198.0,195
ann m hess,1--4991,ann m hess,2014,1.0,1.0,199.0,196
annick press,1--55451,annick press,2015,1.0,1.0,200.0,197
annick press ltd,1--55037,annick press ltd,2001,1.0,1.0,201.0,198
anthem press,0--85728;1--78308,anthem press,2016;2013,4.0,1.0,202.0,199
anthroposophic press,0--88010,anthroposophic press,1984,1.0,1.0,203.0,200
antique collectors' club,1--85149,antique collectors' club,2003,1.0,1.0,204.0,201
aorn,1--888460,aorn,2015,1.0,1.0,205.0,202
aperture,1--59711,aperture,2017,1.0,1.0,206.0,203
applause theatre books,1--55783,applause theatre books,2000,1.0,1.0,207.0,204
apple academic press,1--77188;1--351;1--926895;1--315,apple academic press,2016;2014;2017,5.0,1.0,208.0,205
applied research and design,1--940743,applied research and design,2017,1.0,1.0,209.0,206
appraisal institute,1--935328,appraisal institute,2013,1.0,1.0,210.0,207
apress,1--4302;1--4842;1--59059,apress,2008;2014;2019;2016;2012;2018;2017;2015;2013,19.0,1.0,211.0,208
april barker,0--9924032,april barker,2011,1.0,1.0,212.0,209
arbor house,0--87795,arbor house,1985,1.0,1.0,213.0,210
arbordale publishing,1--60718,arbordale publishing,2018,1.0,1.0,214.0,211
arc books,0--668,arc books,1971,1.0,1.0,215.0,212
