F001_a,leader_18,isbn_tag,isbn_tag1,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,source
957391635,i,0--9935471,0--9935471,2016,1,0,1,tim haigh publishing,1
1085573892,i,,,1969,1,0,1,proquest dissertations,1
1013208492,i,1--5348,1--5348,2017,1,0,1,karl a. minner,1
906697223,a,1--85423,1--85423,1988,0,1,0,ifs,1
925537399,i,0--9910147,0--9910147,2014,1,0,1,praetorius publishers llc,1
5677169,i,0--521,0--521,1980,0,0,1,cambridge university press,1
16809145, ,,,1965,0,1,0,j. cape,1
1009677776,i,,,2017,1,0,1,university of central florida,1
950880541,i,1--119,1--119,2016,1,0,1,john wiley and sons inc,1
1076545326,i,1--4182,1--4182,2019,1,0,1,pearson,1
909320922,i,1--137,1--137,2015,1,0,1,palgrave macmillan,1
946531029,i,1--84611,1--84611,2007,1,0,1,mantra lingua,1
2633241,a,0--07,0--07,1977,0,1,0,mcgraw-hill,1
1030490882,i,1--4722,1--4722,2018,1,0,1,headline,1
25446066,i,,,1985,0,1,0,university microfilms,1
911211231,i,1--315 ;; 1--56324,1--56324,2015,0,1,0,routledge,1
909442842,i,,,1977,0,0,1,westview press,1
10061343, ,,,1961,0,1,0,grosset and dunlap,1
244576034,i,1--4263,1--4263,2008,1,0,1,national geographic,1
858959772,i,1--61197,1--61197,2014,1,0,1,society for industrial and applied mathematics,1
944972687,i,0--13,0--13,2014,1,0,1,pearson,1
824700507,a,0--00 ;; 0--06,0--00,1997,0,1,0,collins,1
654916377, ,,,1961,0,1,0,new directions,1
953426808,i,3--7913,3--7913,2014,1,0,1,delmonico books,1
493327237,i,0--8176,0--8176,2006,0,1,0,birkhäuser,1
1008976800,i,1--138,1--138,2018,1,0,1,routledge,1
909899016,i,1--5040,1--5040,2000,1,0,1,peanuts,1
1019463099,a,,,1962,0,1,0,grosset and dunlap,1
1048444003,i,0--316,0--316,2019,1,0,1,"little, brown and company",1
3560791,i,,,1976,0,1,0,lorien house,1
556154320,a,,,1988,0,1,0,penguin books,1
963203066,i,,,2016,0,0,1,oxford university press,1
495208631,i,,,1953,0,1,0,c.c. thomas,1
1033782506,i,1--63557,1--63557,2019,1,0,1,bloomsbury publishing inc,1
443557011,i,,,1959,0,1,0,permabooks,1
1058906169,i,1--4529,1--4529,2017,1,1,1,university of minnesota press,1
1029265891,a,,,1965,0,1,0,bantam books,1
864081948,a,1--906364,1--906364,2013,0,0,1,confraternity of saint james,1
897882236,i,1--119,1--119,2015,1,0,1,john wiley and sons inc,1
757239224,a,,,1969,0,1,0,free press,1
489827822,i,,,1969,0,0,1,routledge and kegan paul,1
934634853,i,,,1962,0,1,0,grune and stratton,1
15083991,a,0--8161,0--8161,1987,0,1,0,g.k. hall,1
1089444510,i,,,2018,1,0,1,simon spotlight,1
874150590,i,1--304,1--304,2013,1,0,1,sheba blake publishing,1
921869581,i,1--5040,1--5040,2016,1,0,1,open road integrated media inc,1
909311063,i,0--19,0--19,2015,1,0,1,oxford university press,1
961117649,i,0--8222,0--8222,2016,1,0,1,dramatists play service inc,1
8084418,a,0--902030,0--902030,1974,0,1,0,new park publications,1
1040695068,i,1--948338,1--948338,2017,1,0,1,encircle publications,1
6216169,i,,,1978,0,1,0,dell,1
959398435,i,0--316,0--316,2016,1,0,1,"little, brown and company",1
1055427522,i,,,1969,1,0,1,penguin press,1
1016956025,i,1--78416,1--78416,2018,0,0,1,black swan,1
490422769,i,0--387,0--387,1999,0,1,0,springer,1
429362454,i,,,1981,0,1,0,doubleday and company,1
758350150,i,0--87584,0--87584,1989,0,1,0,harvard business school,1
881843077,i,0--415,0--415,2014,1,0,1,"routledge, taylor and francis group",1
1029693519,i,0--06,0--06,2016,1,0,1,harper,1
913451582,i,0--9677480,0--9677480,2012,1,0,1,notramour press,1
868953845,i,3--11,3--11,2004,1,0,1,w. de gruyter,1
94246, ,,,1970,0,1,0,harper and row,1
907294053,i,1--107,1--107,2015,0,1,0,cambridge university press,1
2122868,i,,,1974,0,1,0,st. martin's pr.,1
29667695,i,0--679,0--679,1996,0,0,1,knopf,1
44272418,a,0--439,0--439,2000,0,1,0,scholastic inc,1
6433892,i,0--674,0--674,1978,0,1,0,harvard university press,1
6829862,i,,,1963,0,1,0,bantam books,1
551585106, ,,,1963,0,1,0,hafner pub. co,1
1088438296,i,1--946633,1--946633,2018,1,0,1,forbesbooks,1
83330, ,,,1967,0,1,0,routledge and kegan paul,1
1097149222,i,0--19,0--19,2015,1,0,1,oxford university press,1
959801152,i,1--78068,1--78068,2016,1,0,1,intersentia,1
904315368,a,0--87389,0--87389,2014,0,2,0,asq quality press,1
1059477181,i,0--89145,0--89145,1978,0,0,1,collector books,1
942006171,i,1--339,1--339,2015,1,0,1,proquest llc,1
77052740,i,0--88214,0--88214,1967,0,1,0,collins,1
47771060,a,,,1950,0,1,0,w. morrow,1
758840598,i,0--06,0--06,2010,0,1,0,harper-collins,1
51532903,a,,,2000,0,1,0,artery archives press,1
639815618, ,,,1968,0,1,0,university of chicago press,1
25024692,a,0--590,0--590,1991,0,1,0,scholastic,1
48379002,a,1--56027,1--56027,2002,0,1,0,aviation supplies and academics,1
1084324808,i,1--4987,1--4987,2015,0,1,0,"crc press, taylor and francis group",1
64713713,a,0--439,0--439,2006,0,1,0,scholastic,1
951020238,i,1--62286,1--62286,2005,1,0,1,urban books,1
11037917,a,,,1983,0,1,0,university microfilms international,1
492469983,i,0--444,0--444,2002,0,1,0,elsevier,1
893676459,i,1--4649,1--4649,2012,1,0,1,scholarlyeditions,1
908747870,a,1--78374,1--78374,2014,0,2,0,open book publishers,1
22014340,a,0--14,0--14,1985,0,1,0,penguin books,1
1022640312,i,0--19,0--19,2018,1,0,1,oxford university press,1
1022833690,i,90--04,90--04,2018,0,0,1,brill,1
24415203,a,0--440,0--440,1991,0,1,0,dell,1
960953383,i,1--284,1--284,2015,1,0,1,jones and bartlett learning,1
64401141,a,,,1992,0,1,0,heinemann,1
256938684,a,,,1965,0,0,1,culinary arts press,1
794489189,i,0--8047,0--8047,2012,1,0,1,stanford university press,1
1086728160,a,0--7494,0--7494,1996,0,1,0,kogan page,1
957731198,i,0--241,0--241,1982,0,1,0,hamish hamilton,1
703838947, ,,,1962,0,1,0,collier books,1
1058714761,i,1--315 ;; 1--351,1--315,2018,1,0,1,routledge,1
1079831198,i,1--4842,1--4842,2019,1,0,1,apress,1
320866089,i,,,2005,0,1,0,umi dissertation services,1
