F001_a,leader_18,isbn_tag,isbn_tag1,F008_0710,F040_e,F260_is,F264_is,F26x_b_cleaned,class
846717529,a,1--4424,1--4424,2013,0,1,0,simon and schuster children's pub. division,
49049634,a,,,1967,0,1,0,dryad press in cooperation with the american speech-language-hearing foundation,
849787180,a,1--4806 ;; 1--4844 ;; 0--06,0--06,2014,0,0,1,"katherine tegen books, an imprint of harpercollinspublishers",imprint
965708806,i,1--84457,1--84457,2013,1,0,1,bfi book published by palgrave macmillan,
880450476,i,1--84821 ;; 1--118,1--118,2014,1,0,2,"wiley, ;; iste ltd",double
930257389,i,1--4104,1--4104,2016,1,0,1,"wheeler publishing, a part of gale, cengage leaning",
421976395,a,,,1965,0,1,0,published for the joint center for urban studies of the massachusetts institute of technology and harvard university by the m.i.t. press,
1034905582,i,1--4725,1--4725,2016,1,0,1,"bloomsbury academic, an imprint of bloomsbury academic publishing plc",imprint
905090932,i,0--06,0--06,2015,1,0,1,"greenwillow books, an imprint of harpercollins publishers",imprint
867538451,i,0--449,0--449,1997,1,0,1,"fawcett books, an imprint of the random house publishing group",imprint
813913527,i,0--06,0--06,2013,1,0,1,"harper, an imprint of harpercollinspublishers",imprint
1003201161,i,1--350,1--350,2017,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint
1097102345, ,0--203 ;; 1--351,1--351,1996,1,1,1,"taylor and francis, ;; routledge",double
670098499,a,,,1995,0,2,0,"iberian pub. co., ;; antient press",double
1097114941, ,1--351 ;; 1--315,1--351,2018,1,1,1,"crc press, ;; crc press",double
1043514875,i,1--4104,1--4104,2015,1,0,1,"thorndike press, a part of gale, cengage learning",
1077771218,i,1--9753,1--9753,2018,1,0,1,"yen on, an imprint of yen press llc",imprint
931004864,a,1--78242,1--78242,2015,0,1,0,woodhead publishing is an imprint of elsevier,imprint
883418606,i,1--907184,1--907184,2013,1,0,1,"book house, imprint of the salariya book company",imprint
945952569,i,0--85705,0--85705,2015,1,0,1,"maclehose press, an imprint of quercus editons limited",imprint
922913826,i,1--4838,1--4838,2017,1,0,1,"thinking kids, an imprint of carson-dellosa publishing llc",imprint
1043052893,i,1--57965,1--57965,2019,1,0,1,"artisan, a division of workman publishing co. inc",
1053627191,i,1--68330,1--68330,2018,1,0,1,"liberty street, an imprint of time inc. books",imprint
944467435,i,0--7180,0--7180,2016,1,0,1,"w publishing, an imprint of thomas nelson inc",imprint
1029814994,i,1--68217 ;; 1--64265,1--68217,2018,1,0,1,"salem press, a division of ebsco information services inc",
952982533,i,1--4104,1--4104,2016,1,0,1,"thorndike press, a part of gale, cengage learning",
865233328,a,1--4169,1--4169,2006,0,1,0,simon and schuster children's pub. division,
41523631,i,0--8018,0--8018,1997,1,0,1,published for the world bank [by] the johns hopkins university press,
1039596911,i,0--12,0--12,2019,1,0,1,"academic press, an imprint of elsevier",imprint
1085622912,i,1--4328,1--4328,2019,1,0,1,"thorndike press, a part of gale, a cengage company",
928992843,i,1--62892,1--62892,2014,1,0,1,"fairchild books, an imprint of bloomsbury publishing inc",imprint
884299219,i,1--350 ;; 1--4725,1--4725,2015,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint
1080854362,a,0--9630387,0--9630387,1997,0,1,0,"university sports press, in cooperation with the graduate school of health and sports sciences, and the e.w. scripps school of journalism, ohio university",
1019611913,i,1--5387,1--5387,2018,1,0,1,"forever, an imprint of grand central publishing",imprint
944408563,i,0--531,0--531,2017,1,0,1,"children's press, an imprint of scholastic",imprint
965542348, ,0--06,0--06,2016,0,1,0,"greenwillow books, an imprint of harpercollinspublishers",imprint
1000583262,i,1--4197,1--4197,2018,1,0,1,"abrams appleseed, an imprint of abrams",imprint
967246,i,0--7151,0--7151,1965,1,0,1,"published for the church assembly board for social responsibility by the church information office, church house, westminster, sw1",
1097144619,i,1--4552 ;; 0--939934 ;; 1--280,1--4552,1982,1,0,1,"published by the international monetary fund in association with the overseas development institute, london",
937065894,i,0--06,0--06,2015,1,0,1,william morrow an imprint of harpercollins publishers,imprint
1029840430,i,1--929077,1--929077,2000,1,0,1,"books onscreen, a division of pagefree publishing inc",
953925161,i,1--78157,1--78157,2016,1,0,1,"ilex, a division of octopus publishing group ltd",
900888379,i,1--4832,1--4832,1995,1,0,1,published for the international federation of automatic control by pergamon,
1022737912,i,1--5247,1--5247,2018,1,0,1,"random house children's books, a division of penguin random house llc",
909303949,i,1--4729,1--4729,2015,1,0,1,"featherstone education, an imprint of bloomsbury publishing plc",imprint
1049578100,i,1--4621,1--4621,2018,1,0,1,"cfi, an imprint of cedar fort inc",imprint
1058788458,i,1--4129,1--4129,2014,1,0,2,"sage publications, ;; sage",double
928487816,i,1--4742,1--4742,2017,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint
1051113585,a,1--4104,1--4104,2014,0,1,0,"thorndike press, a part of gale, cengage learning",
959872848,i,0--12,0--12,2017,1,0,1,"academic press, an imprint of elsevier",imprint
958004094,i,1--5225,1--5225,2016,0,1,0,"engineering science reference, and imprint of igi global",imprint
890514617,a,1--56549,1--56549,2013,0,0,1,"kumarian press, a division of lynne rienner pub",
1001364152,i,1--4328,1--4328,2018,1,0,1,"thorndike press, a part of gale, a cengage company",
20630929,a,0--671,0--671,1988,0,1,0,simon and schuster published in cooperation with the royal horticultural society,
1097102172,i,1--118,1--118,2012,1,1,1,"john wiley and sons, ;; john wiley and sons inc",double
955313481,i,1--4742,1--4742,2017,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing, plc",imprint
965589313,i,1--4104,1--4104,2016,1,0,1,"thorndike press, a part of gale, cengage learning",
951221566,i,1--55862,1--55862,2016,1,0,1,"st. james press, a part of gale, cengage learning",
921035052,i,1--68078,1--68078,2016,1,0,1,"core library, an imprint of abdo publishing",imprint
900016463,i,1--4408,1--4408,2016,1,0,1,"praeger, an imprint of abc-clio llc",imprint
1097133991,i,1--61075,1--61075,2017,1,1,1,"university of arkansas press, ;; university of arkansas press",double
1031307383,i,1--4582,1--4582,2013,0,0,1,"abbott press, a division of writer's digest",
1069728075,i,1--4822,1--4822,2014,1,0,1,"taylor and francis, an imprint of crc press",imprint
861793500,i,1--4696,1--4696,1996,1,0,1,"published for the omohundro institute of early american history and culture, williamsburg, virginia, by the university of north carolina press",
911067716,i,0--08 ;; 1--4832,0--08,1992,1,0,1,published for the international federation of automatic control by pergamon press,
1017706618,i,1--4998,1--4998,2018,1,0,1,"little bee books, an imprint of bonnier publishing usa",imprint
947127004,i,1--4402,1--4402,2016,1,0,1,"gun digest books, an imprint of f+w media inc",imprint
1032038397,i,1--4736,1--4736,2018,1,1,0,"sceptre, an imprint of hodder and stoughton",imprint
1037281385,i,0--06,0--06,2019,1,0,1,"katherine tegen books, an imprint of harpercollins publishers",imprint
1097157699, ,0--7494,0--7494,2018,1,1,1,kogan page. ;; kogan page,double
908192579,i,1--78093,1--78093,2015,1,0,1,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint
1046068856,i,,,2019,0,0,1,"vintage books, a division of penguin random house llc",
1087461938,i,1--4103,1--4103,2019,1,0,1,"st. james press, a part of gale, a cengage company",
1050121472,i,0--87650,0--87650,1984,0,0,1,"published for the center of educational resources, eastern michigan university by pierian press",
1003818141,i,1--4965,1--4965,2016,1,0,1,"stone arch books, a capstone imprint",imprint
1097096491, ,1--62410 ;; 1--5231,1--62410,2015,1,1,1,"american institute of aeronautics and astronautics, inc., ;; american institute of aeronautics and astronautics (aiaa)",double
868662278,i,0--06,0--06,2014,1,0,1,"william morrow, an imprint of harpercollins publishers",imprint
1033428262,i,0--06,0--06,2017,1,0,1,"harper, an imprint of harpercollins publishers",imprint
1080273604,i,0--345,0--345,2019,1,0,1,"ballantine books, an imprint of random house",imprint
912400324,i,1--4767,1--4767,2015,1,0,1,"gallery books, an imprint of simon and schuster inc",imprint
1044746890, ,0--6483288,0--6483288,2018,1,1,1,"sm, ;; sm chow",double
220716200,a,,,1970,0,1,0,readers book club in association with companion book club,
