"";"x"
"1";2112
"2";583
"3";341
"4";2028
"5";605
"6";605
"7";375
"8";804
"9";4
"10";2166
"11";734
"12";100
"13";27
"14";11
"15";2
"16";619
"17";772
"18";2
"19";2
"20";1897
"21";591
"22";826
"23";372
"24";871
"25";1998
"26";2205
"27";763
"28";376
"29";229
"30";72
"31";316
"32";357
"33";55
"34";707
"35";1970
"36";2127
"37";81
"38";568
"39";81
"40";81
"41";694
"42";45
"43";79
"44";79
"45";1925
"46";79
"47";79
"48";79
"49";36
"50";36
"51";36
"52";595
"53";156
"54";156
"55";156
"56";1323
"57";263
"58";584
"59";101
"60";22
"61";22
"62";42
"63";159
"64";760
"65";2201
"66";569
"67";2198
"68";604
"69";9
"70";150
"71";9
"72";9
"73";2031
"74";111
"75";877
"76";9
"77";582
"78";140
"79";643
"80";1964
"81";315
"82";2207
"83";638
"84";2128
"85";816
"86";2164
"87";2153
"88";3
"89";593
"90";2160
"91";657
"92";636
"93";697
"94";2125
"95";48
"96";600
"97";900
"98";261
"99";261
"100";10
"101";10
"102";10
"103";91
"104";1974
"105";72
"106";570
"107";570
"108";32
"109";659
"110";2190
"111";580
"112";580
"113";2191
"114";7
"115";189
"116";1852
"117";150
"118";1965
"119";1984
"120";39
"121";210
"122";210
"123";761
"124";83
"125";83
"126";83
"127";872
"128";2159
"129";315
"130";2109
"131";2029
"132";70
"133";339
"134";728
"135";2059
"136";901
"137";2034
"138";262
"139";2139
"140";2110
"141";3
"142";18
"143";161
"144";1863
"145";41
"146";261
"147";262
"148";264
"149";2
"150";587
"151";377
"152";708
"153";857
"154";574
"155";587
"156";1840
"157";1864
"158";575
"159";340
"160";2
"161";695
"162";34
"163";660
"164";2212
"165";758
"166";237
"167";702
"168";237
"169";237
"170";768
"171";782
"172";2037
"173";16
"174";902
"175";663
"176";264
"177";93
"178";2044
"179";79
"180";598
"181";784
"182";115
"183";13
"184";143
"185";177
"186";177
"187";374
"188";374
"189";584
"190";603
"191";2206
"192";805
"193";117
"194";117
"195";785
"196";685
"197";2172
"198";2018
"199";1973
"200";378
"201";2019
"202";2035
"203";2041
"204";779
"205";2020
"206";625
"207";259
"208";2057
"209";214
"210";2036
"211";1898
"212";786
"213";245
"214";821
"215";91
"216";862
"217";91
"218";157
"219";157
"220";585
"221";585
"222";864
"223";2167
"224";10
"225";245
"226";788
"227";2145
"228";709
"229";2199
"230";368
"231";2168
"232";360
"233";2120
"234";2200
"235";316
"236";817
"237";215
"238";215
"239";215
"240";26
"241";59
"242";59
"243";369
"244";676
"245";379
"246";42
"247";1969
"248";681
"249";2075
"250";851
"251";829
"252";1
