"";"x"
"1";776
"2";595
"3";260
"4";2175
"5";368
"6";368
"7";373
"8";2129
"9";8
"10";1889
"11";642
"12";106
"13";35
"14";9
"15";2
"16";622
"17";906
"18";2
"19";2
"20";1953
"21";472
"22";720
"23";601
"24";2026
"25";710
"26";907
"27";2199
"28";473
"29";223
"30";72
"31";278
"32";358
"33";4
"34";2167
"35";908
"36";825
"37";84
"38";571
"39";84
"40";84
"41";663
"42";47
"43";80
"44";80
"45";706
"46";80
"47";80
"48";80
"49";37
"50";37
"51";37
"52";598
"53";164
"54";164
"55";164
"56";2211
"57";279
"58";606
"59";75
"60";21
"61";21
"62";42
"63";157
"64";1833
"65";714
"66";572
"67";836
"68";605
"69";62
"70";104
"71";104
"72";62
"73";851
"74";117
"75";2043
"76";7
"77";374
"78";141
"79";819
"80";712
"81";314
"82";2027
"83";641
"84";826
"85";855
"86";777
"87";800
"88";3
"89";590
"90";1835
"91";2213
"92";821
"93";725
"94";1836
"95";50
"96";600
"97";909
"98";340
"99";340
"100";11
"101";11
"102";11
"103";94
"104";726
"105";72
"106";372
"107";372
"108";33
"109";666
"110";804
"111";583
"112";583
"113";2137
"114";6
"115";190
"116";732
"117";7
"118";910
"119";822
"120";39
"121";213
"122";213
"123";1837
"124";86
"125";86
"126";86
"127";856
"128";911
"129";314
"130";713
"131";2058
"132";617
"133";339
"134";1967
"135";740
"136";2116
"137";820
"138";341
"139";2060
"140";2090
"141";3
"142";31
"143";160
"144";741
"145";41
"146";340
"147";341
"148";315
"149";2
"150";587
"151";474
"152";742
"153";2028
"154";375
"155";587
"156";743
"157";2059
"158";376
"159";318
"160";2
"161";636
"162";24
"163";2189
"164";2190
"165";751
"166";211
"167";2044
"168";211
"169";211
"170";860
"171";1333
"172";1334
"173";15
"174";2203
"175";2125
"176";315
"177";97
"178";1971
"179";80
"180";594
"181";823
"182";63
"183";12
"184";144
"185";177
"186";177
"187";602
"188";602
"189";606
"190";369
"191";2146
"192";667
"193";62
"194";62
"195";805
"196";1335
"197";2033
"198";737
"199";912
"200";377
"201";724
"202";913
"203";802
"204";2104
"205";837
"206";627
"207";259
"208";877
"209";212
"210";658
"211";914
"212";915
"213";247
"214";2157
"215";94
"216";838
"217";94
"218";161
"219";161
"220";604
"221";604
"222";2198
"223";1336
"224";11
"225";247
"226";2105
"227";916
"228";2016
"229";671
"230";580
"231";719
"232";361
"233";849
"234";839
