"";"x"
"1";2066
"2";487
"3";316
"4";2067
"5";377
"6";377
"7";601
"8";681
"9";5
"10";2221
"11";836
"12";107
"13";34
"14";7
"15";2
"16";364
"17";727
"18";2
"19";2
"20";828
"21";379
"22";1924
"23";607
"24";2214
"25";767
"26";765
"27";814
"28";383
"29";227
"30";78
"31";261
"32";360
"33";55
"34";2150
"35";796
"36";715
"37";92
"38";650
"39";92
"40";716
"41";92
"42";2161
"43";50
"44";73
"45";73
"46";781
"47";73
"48";73
"49";73
"50";38
"51";38
"52";38
"53";488
"54";189
"55";189
"56";189
"57";829
"58";264
"59";381
"60";79
"61";29
"62";29
"63";44
"64";176
"65";667
"66";1871
"67";616
"68";710
"69";603
"70";66
"71";106
"72";106
"73";66
"74";2018
"75";119
"76";2019
"77";9
"78";372
"79";147
"80";720
"81";850
"82";342
"83";1880
"84";2222
"85";696
"86";668
"87";1357
"88";2089
"89";3
"90";384
"91";697
"92";691
"93";1358
"94";2225
"95";1872
"96";46
"97";489
"98";2062
"99";292
"100";292
"101";11
"102";11
"103";11
"104";99
"105";721
"106";78
"107";608
"108";608
"109";7
"110";35
"111";1990
"112";793
"113";378
"114";378
"115";655
"116";6
"117";153
"118";364
"119";2080
"120";9
"121";2175
"122";702
"123";41
"124";236
"125";236
"126";2068
"127";96
"128";96
"129";96
"130";2151
"131";732
"132";342
"133";1359
"134";1360
"135";75
"136";317
"137";1361
"138";1925
"139";851
"140";760
"141";318
"142";2197
"143";794
"144";3
"145";31
"146";183
"147";1362
"148";43
"149";292
"150";318
"151";263
"152";2
"153";614
"154";374
"155";2223
"156";2020
"157";385
"158";614
"159";2163
"160";2198
"161";490
"162";293
"163";2
"164";2126
"165";24
"166";2168
"167";852
"168";728
"169";205
"170";2086
"171";205
"172";205
"173";2090
"174";792
"175";1881
"176";16
"177";733
"178";2042
"179";263
"180";100
"181";2179
"182";73
"183";386
"184";853
"185";65
"186";10
"187";127
"188";165
"189";165
"190";380
"191";380
"192";381
"193";491
"194";2060
"195";2006
"196";66
"197";66
"198";854
"199";2180
"200";2013
"201";634
"202";1363
"203";375
"204";701
"205";1364
"206";2217
"207";692
"208";798
"209";633
"210";262
"211";2065
"212";214
"213";830
"214";2127
"215";2007
"216";251
"217";2158
"218";99
"219";718
"220";99
"221";181
"222";181
"223";613
"224";613
"225";855
"226";856
"227";11
"228";251
"229";2091
"230";2152
"231";768
"232";2211
"233";605
"234";831
"235";367
"236";703
"237";722
"238";261
"239";797
"240";232
"241";232
"242";232
"243";20
"244";64
"245";64
"246";609
"247";709
"248";615
"249";44
"250";857
"251";2063
"252";645
"253";858
"254";859
"255";1
"256";1
"257";1
"258";1
"259";1
"260";370
"261";2079
"262";723
"263";860
"264";861
"265";646
"266";58
"267";635
"268";832
"269";2128
"270";862
"271";387
"272";365
"273";237
"274";665
"275";863
"276";864
"277";782
"278";2021
"279";802
"280";11
"281";11
"282";228
"283";783
"284";361
"285";128
"286";5
"287";5
"288";5
"289";1971
"290";865
"291";621
"292";621
"293";1926
"294";2069
"295";705
"296";2181
"297";803
"298";815
"299";161
"300";344
"301";379
"302";669
"303";2215
"304";795
"305";265
"306";265
"307";756
"308";2129
"309";2070
"310";193
"311";382
"312";382
"313";2022
"314";2043
"315";833
"316";4
"317";4
"318";791
"319";688
"320";196
"321";319
"322";2084
"323";2044
"324";492
"325";51
"326";51
"327";493
"328";108
"329";5
"330";5
"331";125
"332";2012
"333";1972
"334";77
"335";77
"336";77
"337";1882
"338";36
"339";36
"340";36
"341";36
"342";1873
"343";4
"344";1365
"345";2155
"346";82
"347";11
"348";100
"349";56
"350";10
"351";10
"352";761
"353";181
"354";1874
"355";1973
"356";2224
"357";734
"358";494
"359";606
"360";4
"361";225
"362";225
"363";707
"364";619
"365";108
"366";108
"367";108
"368";2145
"369";376
"370";376
"371";2071
"372";2213
"373";1366
"374";130
"375";141
"376";196
"377";2174
"378";1883
"379";15
"380";495
"381";1884
"382";439
"383";837
"384";496
"385";698
"386";1367
"387";610
"388";63
"389";7
"390";148
"391";2176
"392";80
"393";708
"394";212
"395";749
"396";2008
"397";294
"398";2147
"399";1875
"400";369
"401";71
"402";29
"403";131
"404";228
"405";12
"406";52
"407";71
"408";29
"409";29
"410";71
"411";29
"412";630
"413";1927
"414";632
"415";1974
"416";804
"417";218
"418";735
"419";250
"420";2199
"421";2085
"422";388
"423";9
"424";784
"425";2182
"426";670
"427";23
"428";866
"429";653
"430";736
"431";612
"432";867
"433";2156
"434";671
"435";1368
"436";51
"437";868
"438";1369
"439";869
"440";128
"441";1370
"442";16
"443";699
"444";805
"445";252
"446";157
"447";2226
"448";2
"449";196
"450";3
"451";2227
"452";196
"453";3
"454";3
"455";45
"456";18
"457";18
"458";18
"459";18
"460";2078
"461";18
"462";834
"463";255
"464";119
"465";18
"466";119
"467";255
"468";45
"469";257
"470";18
"471";693
"472";119
"473";119
"474";45
"475";45
"476";18
"477";18
"478";119
"479";806
"480";838
"481";44
"482";714
"483";200
"484";471
"485";26
"486";2228
"487";870
"488";497
"489";603
"490";201
"491";130
"492";2023
"493";43
"494";90
"495";219
"496";871
"497";373
"498";498
"499";872
"500";785
"501";2200
"502";682
"503";2072
"504";1928
"505";873
"506";839
"507";80
"508";80
"509";343
"510";343
"511";1371
"512";34
"513";816
"514";2201
"515";2146
"516";651
"517";2082
"518";169
"519";169
"520";807
"521";2061
"522";1975
"523";737
"524";40
"525";53
"526";266
"527";44
"528";769
"529";602
"530";874
"531";875
"532";449
"533";1885
"534";320
"535";101
"536";101
"537";101
"538";711
"539";389
"540";876
"541";2229
"542";1372
"543";835
"544";181
"545";694
"546";2177
"547";61
"548";177
"549";177
"550";2059
"551";877
"552";2202
"553";65
"554";65
"555";878
"556";2203
"557";102
"558";102
"559";1373
"560";2045
"561";762
"562";2164
"563";2092
"564";1991
"565";1
"566";713
"567";712
"568";1876
"569";695
"570";700
"571";2087
"572";2234
"573";390
"574";1877
"575";2
"576";2216
"577";1878
"578";69
"579";149
"580";87
"581";250
"582";250
"583";657
"584";38
"585";2220
"586";15
"587";391
"588";879
"589";110
"590";110
"591";2
"592";269
"593";43
"594";1374
"595";672
"596";2160
"597";1879
"598";145
"599";145
"600";145
"601";750
"602";755
"603";799
"604";1992
"605";880
"606";499
"607";39
"608";39
"609";39
"610";39
"611";817
"612";1993
"613";611
"614";611
"615";40
"616";647
"617";392
"618";1375
"619";2159
"620";2183
"621";29
"622";194
"623";770
"624";195
"625";47
"626";1976
"627";500
"628";683
"629";652
"630";2046
"631";2
"632";2219
"633";393
"634";2047
"635";2048
"636";1376
"637";295
"638";1886
"639";141
"640";141
"641";141
"642";141
"643";689
"644";320
"645";2
"646";808
"647";44
"648";44
"649";1887
"650";2009
"651";48
"652";296
"653";296
"654";296
"655";617
"656";2
"657";179
"658";2024
"659";648
"660";663
"661";684
"662";237
"663";2073
"664";1929
"665";267
"666";267
"667";2204
"668";422
"669";3
"670";1377
"671";90
"672";107
"673";107
"674";107
"675";72
"676";1378
"677";1379
"678";41
"679";41
"680";72
"681";72
"682";72
"683";72
"684";658
"685";706
"686";664
"687";757
"688";321
"689";800
"690";64
"691";1994
"692";90
"693";673
"694";20
"695";674
"696";1380
"697";786
"698";38
"699";2025
"700";206
"701";206
"702";881
"703";1888
"704";882
"705";110
"706";1381
"707";28
"708";270
"709";30
"710";29
"711";179
"712";179
"713";2157
"714";43
"715";622
"716";818
"717";97
"718";97
"719";97
"720";1930
"721";604
"722";883
"723";189
"724";2153
"725";690
"726";501
"727";884
"728";394
"729";885
"730";4
"731";350
"732";350
"733";395
"734";16
"735";445
"736";352
"737";352
"738";68
"739";1889
"740";675
"741";2049
"742";759
"743";886
"744";887
"745";1382
"746";18
"747";502
"748";2093
"749";503
"750";888
"751";2218
"752";889
"753";890
"754";362
"755";37
"756";2026
"757";2081
"758";57
"759";57
"760";126
"761";126
"762";43
"763";56
"764";809
"765";819
"766";1383
"767";2130
"768";297
"769";297
"770";891
"771";2074
"772";2027
"773";98
"774";3
"775";3
"776";63
"777";2212
"778";810
"779";1384
"780";2028
"781";892
"782";53
"783";216
"784";624
"785";34
"786";34
"787";893
"788";2094
"789";266
"790";298
"791";2095
"792";2096
"793";57
"794";57
"795";2029
"796";504
"797";1977
"798";666
"799";1385
"800";2097
"801";704
"802";659
"803";396
"804";2064
"805";93
"806";198
"807";63
