"";"x"
"1";2004
"2";377
"3";312
"4";1852
"5";376
"6";376
"7";606
"8";766
"9";5
"10";798
"11";710
"12";74
"13";31
"14";7
"15";2
"16";364
"17";762
"18";2
"19";2
"20";661
"21";379
"22";735
"23";482
"24";848
"25";736
"26";655
"27";737
"28";597
"29";240
"30";79
"31";343
"32";360
"33";53
"34";1331
"35";776
"36";2180
"37";93
"38";1332
"39";93
"40";2005
"41";93
"42";868
"43";19
"44";72
"45";72
"46";871
"47";72
"48";72
"49";72
"50";70
"51";62
"52";62
"53";467
"54";174
"55";174
"56";174
"57";1818
"58";261
"59";374
"60";108
"61";52
"62";52
"63";12
"64";181
"65";673
"66";809
"67";601
"68";803
"69";610
"70";65
"71";107
"72";107
"73";65
"74";851
"75";120
"76";1927
"77";9
"78";483
"79";151
"80";847
"81";2038
"82";342
"83";2058
"84";2047
"85";849
"86";2182
"87";800
"88";2198
"89";3
"90";608
"91";700
"92";2192
"93";2227
"94";813
"95";804
"96";46
"97";484
"98";850
"99";289
"100";289
"101";10
"102";10
"103";10
"104";100
"105";883
"106";79
"107";613
"108";613
"109";7
"110";32
"111";2194
"112";2207
"113";612
"114";612
"115";2181
"116";6
"117";157
"118";364
"119";2078
"120";9
"121";2218
"122";2189
"123";42
"124";229
"125";229
"126";1958
"127";97
"128";97
"129";97
"130";852
"131";2020
"132";342
"133";2229
"134";833
"135";76
"136";290
"137";653
"138";639
"139";2165
"140";682
"141";313
"142";667
"143";2076
"144";3
"145";27
"146";186
"147";1966
"148";44
"149";289
"150";313
"151";262
"152";2
"153";378
"154";615
"155";2200
"156";718
"157";381
"158";378
"159";722
"160";2190
"161";372
"162";291
"163";2
"164";674
"165";34
"166";2092
"167";1333
"168";2109
"169";205
"170";753
"171";205
"172";205
"173";670
"174";2199
"175";723
"176";16
"177";772
"178";640
"179";262
"180";101
"181";2110
"182";72
"183";485
"184";778
"185";64
"186";11
"187";129
"188";167
"189";167
"190";375
"191";375
"192";374
"193";447
"194";675
"195";1890
"196";65
"197";65
"198";697
"199";671
"200";1853
"201";2079
"202";1891
"203";486
"204";2021
"205";2186
"206";2023
"207";1963
"208";2022
"209";633
"210";341
"211";2046
"212";214
"213";698
"214";801
"215";709
"216";252
"217";884
"218";100
"219";1812
"220";100
"221";173
"222";173
"223";380
"224";380
"225";1334
"226";885
"227";10
"228";252
"229";886
"230";887
"231";805
"232";869
"233";599
"234";1335
"235";367
"236";888
"237";669
"238";343
"239";2098
"240";227
"241";227
"242";227
"243";349
"244";63
"245";63
"246";604
"247";1922
"248";382
"249";12
"250";652
"251";676
"252";716
