"";"x"
"1";1
"2";2
"3";3
"4";4
"5";5
"6";5
"7";6
"8";7
"9";1688
"10";8
"11";9
"12";1961
"13";832
"14";517
"15";515
"16";1274
"17";10
"18";515
"19";515
"20";11
"21";12
"22";13
"23";14
"24";15
"25";16
"26";17
"27";18
"28";19
"29";20
"30";1355
"31";144
"32";832
"33";832
"34";21
"35";22
"36";23
"37";25
"38";24
"39";25
"40";25
"41";26
"42";1629
"43";1688
"44";1688
"45";27
"46";1688
"47";1688
"48";1688
"49";1629
"50";1629
"51";1629
"52";28
"53";29
"54";29
"55";29
"56";30
"57";31
"58";32
"59";517
"60";1274
"61";1274
"62";1274
"63";1693
"64";33
"65";34
"66";35
"67";36
"68";37
"69";1517
"70";1517
"71";1517
"72";1517
"73";38
"74";268
"75";39
"76";1517
"77";40
"78";1688
"79";41
"80";42
"81";72
"82";43
"83";44
"84";45
"85";46
"86";47
"87";48
"88";955
"89";49
"90";50
"91";51
"92";52
"93";53
"94";54
"95";542
"96";55
"97";56
"98";57
"99";57
"100";1688
"101";1688
"102";1688
"103";875
"104";58
"105";1355
"106";59
"107";59
"108";60
"109";61
"110";62
"111";63
"112";63
"113";64
"114";503
"115";501
"116";65
"117";1517
"118";66
"119";67
"120";1907
"121";1062
"122";1062
"123";68
"124";69
"125";69
"126";69
"127";70
"128";71
"129";72
"130";73
"131";74
"132";501
"133";75
"134";76
"135";77
"136";78
"137";79
"138";80
"139";81
"140";82
"141";955
"142";1274
"143";1392
"144";83
"145";517
"146";57
"147";80
"148";84
"149";515
"150";85
"151";86
"152";87
"153";88
"154";89
"155";85
"156";90
"157";91
"158";92
"159";93
"160";515
"161";94
"162";277
"163";95
"164";96
"165";97
"166";99
"167";98
"168";99
"169";99
"170";100
"171";101
"172";102
"173";103
"174";104
"175";105
"176";84
"177";517
"178";106
"179";1688
"180";107
"181";108
"182";517
"183";517
"184";268
"185";109
"186";109
"187";110
"188";110
"189";32
"190";111
"191";112
"192";113
"193";832
"194";832
"195";114
"196";115
"197";116
"198";117
"199";118
"200";119
"201";120
"202";121
"203";122
"204";123
"205";124
"206";501
"207";1364
"208";125
"209";126
"210";127
"211";128
"212";129
"213";1517
"214";130
"215";875
"216";131
"217";875
"218";132
"219";132
"220";133
"221";133
"222";134
"223";135
"224";1688
"225";1517
"226";136
"227";137
"228";138
"229";139
"230";140
"231";141
"232";1274
"233";142
"234";143
"235";144
"236";145
"237";146
"238";146
"239";146
"240";1823
"241";517
"242";517
"243";147
"244";148
"245";149
"246";1274
"247";150
"248";151
"249";152
"250";153
"251";154
"252";501
"253";501
"254";501
"255";501
"256";501
"257";155
"258";156
"259";157
"260";158
"261";159
"262";517
"263";160
"264";161
"265";162
"266";163
"267";164
"268";517
"269";1600
"270";165
"271";166
"272";167
"273";168
"274";169
"275";170
"276";1688
"277";1688
"278";492
"279";171
"280";517
"281";1688
"282";1688
"283";1688
"284";1688
"285";172
"286";173
"287";1823
"288";1823
"289";174
"290";175
"291";176
"292";177
"293";178
"294";179
"295";180
"296";181
"297";12
"298";182
"299";183
"300";184
"301";185
"302";185
"303";186
"304";187
"305";188
"306";517
"307";189
"308";189
"309";190
"310";191
"311";192
"312";832
"313";1688
"314";193
"315";194
"316";955
"317";195
"318";196
"319";197
"320";198
"321";1274
"322";1274
"323";199
"324";832
"325";1688
"326";1688
"327";1629
"328";200
"329";201
"330";202
"331";202
"332";202
"333";203
"334";517
"335";517
"336";517
"337";517
"338";204
"339";832
"340";205
"341";206
"342";517
"343";1688
"344";517
"345";517
"346";517
"347";517
"348";207
"349";132
"350";208
"351";209
"352";210
"353";211
"354";212
"355";213
"356";832
"357";214
"358";214
"359";215
"360";503
"361";832
"362";832
"363";832
"364";216
"365";217
"366";217
"367";218
"368";219
"369";220
"370";1274
"371";377
"372";221
"373";222
"374";1823
"375";223
"376";224
"377";225
"378";226
"379";227
"380";228
"381";229
"382";230
"383";966
"384";517
"385";828
"386";231
"387";1274
"388";232
"389";233
"390";234
"391";235
"392";236
"393";237
"394";238
"395";501
"396";1274
"397";1274
"398";1274
"399";492
"400";1440
"401";1274
"402";1274
"403";1274
"404";1274
"405";1274
"406";1274
"407";239
"408";501
"409";240
"410";241
"411";242
"412";243
"413";1629
"414";244
"415";245
"416";246
"417";1517
"418";247
"419";248
"420";249
"421";1732
"422";250
"423";251
"424";252
"425";253
"426";254
"427";255
"428";256
"429";257
"430";1274
"431";258
"432";259
"433";260
"434";1688
"435";261
"436";103
