"";"x"
"1";1
"2";2
"3";3
"4";4
"5";5
"6";5
"7";6
"8";7
"9";1702
"10";8
"11";9
"12";1978
"13";2070
"14";524
"15";522
"16";1076
"17";10
"18";522
"19";522
"20";11
"21";12
"22";13
"23";14
"24";15
"25";16
"26";17
"27";18
"28";19
"29";20
"30";1367
"31";145
"32";2070
"33";2070
"34";21
"35";22
"36";23
"37";25
"38";24
"39";25
"40";26
"41";25
"42";27
"43";1642
"44";1702
"45";1702
"46";28
"47";1702
"48";1702
"49";1702
"50";1642
"51";1642
"52";1642
"53";29
"54";30
"55";30
"56";30
"57";31
"58";32
"59";33
"60";524
"61";1076
"62";1076
"63";1076
"64";1707
"65";34
"66";35
"67";36
"68";37
"69";38
"70";2070
"71";1529
"72";1529
"73";2070
"74";39
"75";269
"76";40
"77";1529
"78";41
"79";1702
"80";42
"81";43
"82";73
"83";44
"84";45
"85";46
"86";47
"87";48
"88";49
"89";966
"90";50
"91";51
"92";52
"93";53
"94";54
"95";55
"96";549
"97";56
"98";57
"99";58
"100";58
"101";1702
"102";1702
"103";1702
"104";884
"105";59
"106";1367
"107";60
"108";60
"109";524
"110";61
"111";62
"112";63
"113";64
"114";64
"115";65
"116";511
"117";506
"118";1076
"119";66
"120";1529
"121";67
"122";68
"123";1924
"124";1074
"125";1074
"126";69
"127";70
"128";70
"129";70
"130";71
"131";72
"132";73
"133";74
"134";75
"135";506
"136";76
"137";77
"138";78
"139";79
"140";80
"141";81
"142";82
"143";83
"144";966
"145";1076
"146";1403
"147";84
"148";524
"149";58
"150";81
"151";85
"152";522
"153";86
"154";87
"155";88
"156";89
"157";90
"158";86
"159";91
"160";92
"161";93
"162";94
"163";522
"164";95
"165";1076
"166";96
"167";97
"168";98
"169";100
"170";99
"171";100
"172";100
"173";101
"174";102
"175";103
"176";104
"177";105
"178";106
"179";85
"180";524
"181";107
"182";1702
"183";108
"184";109
"185";524
"186";524
"187";269
"188";110
"189";110
"190";111
"191";111
"192";33
"193";112
"194";113
"195";114
"196";2070
"197";2070
"198";115
"199";116
"200";117
"201";118
"202";119
"203";120
"204";121
"205";122
"206";123
"207";124
"208";125
"209";506
"210";1376
"211";126
"212";127
"213";128
"214";129
"215";130
"216";1529
"217";131
"218";884
"219";132
"220";884
"221";133
"222";133
"223";134
"224";134
"225";135
"226";136
"227";1702
"228";1529
"229";137
"230";138
"231";139
"232";140
"233";141
"234";142
"235";1076
"236";143
"237";144
"238";145
"239";146
"240";147
"241";147
"242";147
"243";1839
"244";524
"245";524
"246";148
"247";149
"248";150
"249";1076
"250";151
"251";152
"252";153
"253";154
"254";155
"255";506
"256";506
"257";506
"258";506
"259";506
"260";506
"261";156
"262";157
"263";158
"264";159
"265";160
"266";524
"267";161
"268";162
"269";163
"270";164
"271";165
"272";524
"273";1613
"274";166
"275";167
"276";168
"277";169
"278";170
"279";171
"280";1702
"281";1702
"282";496
"283";172
"284";524
"285";1702
"286";1702
"287";1702
"288";1702
"289";173
"290";174
"291";1839
"292";1839
"293";175
"294";176
"295";177
"296";178
"297";179
"298";180
"299";181
"300";182
"301";12
"302";183
"303";184
"304";185
"305";186
"306";186
"307";187
"308";188
"309";189
"310";524
"311";190
"312";190
"313";191
"314";192
"315";193
"316";2070
"317";1702
"318";194
"319";195
"320";966
"321";196
"322";197
"323";198
"324";199
"325";1452
"326";1452
"327";200
"328";2070
"329";1702
"330";1702
"331";1642
"332";201
"333";202
"334";203
"335";203
"336";203
"337";204
"338";524
"339";524
"340";524
"341";524
"342";205
"343";2070
"344";206
"345";207
"346";524
"347";1702
"348";524
"349";524
"350";524
"351";524
"352";208
"353";133
"354";209
"355";210
"356";211
"357";212
"358";213
"359";214
"360";2070
"361";215
"362";215
"363";216
"364";511
"365";2070
"366";2070
"367";2070
"368";217
"369";218
"370";218
"371";219
"372";220
"373";221
"374";1076
"375";378
"376";966
"377";222
"378";223
"379";1839
"380";224
"381";225
"382";226
"383";227
"384";228
"385";229
"386";230
"387";231
"388";977
"389";524
"390";837
"391";232
"392";1076
"393";233
"394";234
"395";235
"396";236
"397";237
"398";238
"399";239
"400";506
"401";1076
"402";1076
"403";1076
"404";496
"405";1452
"406";1076
"407";1076
"408";1076
"409";1076
"410";1076
"411";1076
"412";1076
"413";240
"414";506
"415";241
"416";242
"417";243
"418";244
"419";1642
"420";245
"421";246
"422";247
"423";1529
"424";248
"425";249
"426";250
"427";1746
"428";251
"429";252
"430";253
"431";254
"432";255
"433";256
"434";257
