"";"x"
"1";2126
"2";439
"3";286
"4";1168
"5";308
"6";308
"7";441
"8";2127
"9";7
"10";1551
"11";1349
"12";44
"13";7
"14";7
"15";14
"16";223
"17";987
"18";14
"19";14
"20";765
"21";451
"22";603
"23";487
"24";2077
"25";2008
"26";1927
"27";1848
"28";380
"29";141
"30";18
"31";182
"32";157
"33";7
"34";1165
"35";1073
"36";1028
"37";123
"38";453
"39";123
"40";123
"41";683
"42";7
"43";25
"44";25
"45";2123
"46";25
"47";25
"48";25
"49";7
"50";7
"51";7
"52";510
"53";57
"54";57
"55";57
"56";1503
"57";187
"58";322
"59";7
"60";7
"61";7
"62";7
"63";117
"64";1238
"65";1208
"66";449
"67";1148
"68";427
"69";8
"70";8
"71";8
"72";8
"73";962
"74";3
"75";920
"76";8
"77";469
"78";7
"79";831
"80";790
"81";162
"82";745
"83";722
"84";705
"85";680
"86";656
"87";638
"88";4
"89";300
"90";573
"91";551
"92";2121
"93";2100
"94";2087
"95";121
"96";534
"97";2057
"98";267
"99";267
"100";7
"101";7
"102";7
"103";1
"104";1755
"105";18
"106";382
"107";382
"108";229
"109";1646
"110";1623
"111";401
"112";401
"113";1566
"114";13
"115";124
"116";1523
"117";8
"118";1902
"119";1470
"120";64
"121";147
"122";147
"123";1401
"124";21
"125";21
"126";21
"127";1346
"128";1344
"129";162
"130";1297
"131";1293
"132";213
"133";290
"134";1229
"135";1209
"136";1199
"137";1185
"138";287
"139";1166
"140";1157
"141";4
"142";7
"143";58
"144";1022
"145";7
"146";267
"147";287
"148";176
"149";14
"150";458
"151";457
"152";919
"153";902
"154";467
"155";458
"156";871
"157";860
"158";495
"159";260
"160";14
"161";797
"162";23
"163";778
"164";761
"165";752
"166";88
"167";732
"168";88
"169";88
"170";698
"171";679
"172";663
"173";228
"174";646
"175";639
"176";176
"177";7
"178";611
"179";25
"180";310
"181";583
"182";7
"183";7
"184";3
"185";109
"186";109
"187";318
"188";318
"189";322
"190";533
"191";2042
"192";2036
"193";7
"194";7
"195";2017
"196";2009
"197";2007
"198";1989
"199";1978
"200";355
"201";1953
"202";1936
"203";1928
"204";1918
"205";1912
"206";2
"207";177
"208";1849
"209";149
"210";1822
"211";1825
"212";1798
"213";153
"214";1771
"215";1
"216";1756
"217";1
"218";62
"219";62
"220";384
"221";384
"222";1696
"223";1680
"224";7
"225";153
"226";1650
"227";1634
"228";1626
"229";1612
"230";514
"231";1590
"232";195
"233";1547
"234";1541
"235";182
"236";1526
"237";126
"238";126
"239";126
"240";16
"241";212
"242";7
"243";523
"244";1447
"245";331
"246";7
"247";1413
"248";1402
"249";1395
"250";1387
"251";1380
"252";2
"253";2
"254";2
"255";2
"256";2
"257";1285
"258";1283
"259";1276
"260";1266
"261";1254
"262";7
"263";1247
"264";1240
"265";1236
"266";1233
"267";433
"268";194
"269";146
"270";1198
"271";1190
"272";1186
"273";1178
"274";1172
"275";1169
"276";7
"277";7
"278";150
"279";1147
"280";199
"281";7
"282";7
"283";7
"284";7
"285";1102
"286";1099
"287";6
"288";6
"289";1078
"290";1065
"291";1068
"292";1054
"293";1048
"294";1036
"295";234
"296";540
"297";451
"298";991
"299";981
"300";975
"301";170
"302";170
"303";960
"304";955
"305";959
"306";7
"307";459
"308";459
"309";925
"310";921
"311";907
"312";7
"313";7
"314";870
"315";866
"316";152
"317";275
"318";849
"319";848
"320";385
"321";7
"322";7
"323";316
"324";46
"325";7
"326";7
"327";11
"328";805
"329";798
"330";24
"331";24
"332";24
"333";783
"334";7
"335";7
"336";7
"337";7
"338";703
"339";7
"340";695
"341";706
"342";34
"343";7
"344";7
"345";7
"346";7
"347";7
"348";586
