"";"x"
"1";2140
"2";437
"3";251
"4";1174
"5";299
"6";299
"7";440
"8";2133
"9";4
"10";1583
"11";1362
"12";48
"13";4
"14";4
"15";16
"16";202
"17";1889
"18";16
"19";16
"20";1468
"21";438
"22";1277
"23";502
"24";1097
"25";1003
"26";918
"27";829
"28";478
"29";144
"30";21
"31";173
"32";160
"33";4
"34";1524
"35";1466
"36";1415
"37";127
"38";1310
"39";127
"40";1095
"41";127
"42";1002
"43";4
"44";22
"45";22
"46";794
"47";22
"48";22
"49";22
"50";4
"51";4
"52";4
"53";331
"54";55
"55";55
"56";55
"57";1821
"58";187
"59";314
"60";4
"61";4
"62";4
"63";4
"64";122
"65";1445
"66";1414
"67";424
"68";1337
"69";503
"70";11
"71";11
"72";11
"73";11
"74";1149
"75";2
"76";1118
"77";11
"78";458
"79";4
"80";954
"81";935
"82";182
"83";888
"84";871
"85";852
"86";830
"87";822
"88";795
"89";1
"90";475
"91";731
"92";718
"93";694
"94";676
"95";656
"96";113
"97";482
"98";609
"99";287
"100";287
"101";4
"102";4
"103";4
"104";5
"105";1940
"106";21
"107";368
"108";368
"109";4
"110";222
"111";1669
"112";1643
"113";515
"114";515
"115";1582
"116";17
"117";110
"118";202
"119";1506
"120";11
"121";1482
"122";1467
"123";66
"124";150
"125";150
"126";1394
"127";24
"128";24
"129";24
"130";1335
"131";1319
"132";182
"133";1286
"134";1283
"135";4
"136";284
"137";1213
"138";1205
"139";1187
"140";1171
"141";247
"142";1150
"143";1141
"144";1
"145";4
"146";61
"147";1019
"148";4
"149";287
"150";247
"151";170
"152";16
"153";460
"154";461
"155";917
"156";900
"157";473
"158";460
"159";859
"160";849
"161";483
"162";264
"163";16
"164";775
"165";3
"166";751
"167";742
"168";737
"169";91
"170";723
"171";91
"172";91
"173";684
"174";673
"175";665
"176";221
"177";641
"178";631
"179";170
"180";4
"181";598
"182";22
"183";301
"184";579
"185";4
"186";4
"187";2
"188";118
"189";118
"190";317
"191";317
"192";314
"193";533
"194";2055
"195";2038
"196";4
"197";4
"198";2023
"199";2012
"200";2008
"201";1990
"202";1981
"203";530
"204";1966
"205";1952
"206";1941
"207";1931
"208";1916
"209";6
"210";189
"211";1864
"212";138
"213";1834
"214";1831
"215";1818
"216";156
"217";1797
"218";5
"219";1770
"220";5
"221";58
"222";58
"223";373
"224";373
"225";1702
"226";1697
"227";4
"228";156
"229";1668
"230";1658
"231";1642
"232";1628
"233";395
"234";1595
"235";196
"236";1565
"237";1558
"238";173
"239";1530
"240";134
"241";134
"242";134
"243";209
"244";211
"245";4
"246";417
"247";1451
"248";414
"249";4
"250";1426
"251";1412
"252";1405
"253";2085
"254";1388
"255";6
"256";6
"257";6
"258";6
"259";6
"260";6
"261";1282
"262";1278
"263";1275
"264";1276
"265";1264
"266";4
"267";1251
"268";1245
"269";1233
"270";1229
"271";430
"272";195
"273";141
"274";1204
"275";1198
"276";1189
"277";1177
"278";1172
"279";1163
"280";4
"281";4
"282";136
"283";1140
"284";201
"285";4
"286";4
"287";4
"288";4
"289";1108
"290";1102
"291";8
"292";8
"293";1077
"294";1067
"295";1071
"296";1055
"297";1054
"298";1043
"299";230
"300";542
"301";438
"302";1001
"303";995
"304";986
"305";183
"306";183
"307";966
"308";955
"309";949
"310";4
"311";455
"312";455
"313";932
"314";928
"315";936
"316";4
"317";4
"318";872
"319";867
"320";128
"321";248
"322";848
"323";856
"324";523
"325";4
"326";4
"327";313
"328";7
"329";4
"330";4
"331";14
"332";805
"333";792
"334";20
"335";20
"336";20
"337";768
"338";4
"339";4
"340";4
"341";4
"342";707
"343";4
"344";692
"345";688
"346";38
"347";4
"348";4
"349";4
"350";4
"351";4
"352";591
"353";58
"354";580
"355";572
"356";569
"357";568
"358";527
"359";505
"360";4
"361";139
"362";139
"363";2138
"364";17
"365";7
"366";7
"367";7
"368";2076
"369";315
"370";315
"371";2068
"372";2067
"373";2065
"374";218
"375";46
"376";128
"377";2056
"378";2049
"379";8
"380";532
"381";2021
"382";531
"383";2016
"384";339
"385";1999
"386";2005
"387";332
"388";26
"389";4
"390";109
"391";1975
"392";78
"393";1963
"394";243
"395";1936
"396";1934
"397";252
"398";1911
"399";1906
"400";235
"401";4
"402";4
"403";4
"404";136
"405";9
"406";4
"407";4
"408";4
"409";4
"410";4
"411";4
"412";4
"413";1799
"414";6
"415";1788
"416";1778
"417";237
"418";1777
"419";4
"420";1757
"421";1750
"422";371
"423";11
"424";1736
"425";1737
"426";1734
"427";73
"428";1726
"429";1718
"430";1712
"431";307
"432";1703
"433";1698
"434";1696
"435";1695
"436";4
"437";1673
"438";1671
"439";1665
"440";4
"441";1640
"442";221
"443";1621
"444";1620
"445";197
"446";112
"447";1590
"448";16
"449";128
"450";1
"451";1693
"452";128
"453";1
"454";1
"455";2
"456";2
"457";2
"458";2
"459";2
"460";1452
"461";2
"462";1448
"463";2
"464";2
"465";2
"466";2
"467";2
"468";2
"469";2
"470";2
"471";1358
"472";2
"473";2
"474";2
"475";2
"476";2
"477";2
"478";2
"479";1323
"480";1320
"481";4
"482";1317
"483";4
"484";507
"485";9
"486";1303
"487";1298
"488";429
"489";503
"490";11
"491";4
"492";1284
"493";4
"494";34
"495";238
"496";1279
"497";434
"498";432
"499";1271
"500";1268
"501";1257
"502";1258
"503";1254
"504";1252
"505";1248
"506";1242
"507";78
"508";78
"509";172
"510";172
"511";1221
"512";4
"513";1216
"514";1214
"515";1212
"516";1210
"517";1215
"518";119
"519";119
"520";1185
"521";1182
"522";1176
"523";1222
"524";2
"525";4
"526";192
"527";4
"528";1158
"529";498
"530";1153
"531";1151
"532";448
"533";1146
"534";289
"535";75
"536";75
"537";75
"538";1137
"539";447
"540";1138
"541";1134
"542";1133
"543";1128
"544";58
"545";1123
"546";1116
"547";33
"548";56
"549";56
"550";1103
"551";1099
"552";1091
"553";4
"554";4
"555";1084
"556";1076
"557";48
"558";204
"559";1063
"560";1064
"561";1056
"562";1052
"563";1059
"564";1046
"565";6
"566";1042
"567";1037
"568";1035
"569";1030
"570";1028
"571";1034
"572";6
"573";454
"574";1010
"575";16
"576";1004
"577";1047
"578";65
"579";157
"580";4
"581";4
"582";4
"583";985
"584";4
"585";980
"586";8
"587";456
"588";972
"589";67
"590";67
"591";16
"592";194
"593";4
"594";943
"595";941
"596";940
"597";937
"598";95
"599";95
"600";95
"601";950
"602";920
"603";916
"604";913
"605";908
"606";493
"607";44
"608";44
"609";44
"610";44
"611";874
"612";873
"613";469
"614";469
"615";2
"616";847
"617";486
"618";838
"619";834
"620";832
"621";4
"622";4
"623";828
"624";18
"625";155
"626";827
"627";433
"628";820
"629";818
"630";813
"631";16
"632";806
"633";476
"634";793
"635";790
"636";784
"637";295
"638";772
"639";46
"640";46
"641";46
"642";46
"643";765
"644";289
"645";16
"646";759
"647";4
"648";4
"649";754
"650";747
"651";10
"652";255
"653";255
"654";255
"655";6
"656";16
"657";117
"658";728
"659";726
"660";722
"661";719
"662";141
"663";717
"664";712
"665";186
"666";186
"667";702
"668";406
"669";1
"670";730
"671";34
"672";48
"673";48
"674";48
"675";23
"676";669
"677";668
"678";66
"679";66
"680";23
"681";23
"682";23
"683";23
"684";634
"685";632
"686";630
"687";626
"688";257
"689";623
"690";4
"691";610
"692";34
"693";604
"694";31
"695";597
"696";608
"697";595
"698";4
"699";594
"700";89
"701";89
"702";584
"703";582
