"id","length","text","publisher_pro","isbn_new","year_min","year_max","record","./processed_data_1m/walktrap-unweighted","./processed_data_1m/louvain-unweighted","./processed_data_1m/infomap-unweighted"
0,1,"01publishing","01publishing","0--9839230",2015,2015,1,4988,1,3245
1,1,"1 1 1 publishing","1 1 1 publishing","0--9914629",2015,2015,1,4989,2,5034
2,1,"1006 books","1006 books","0--9861943",2015,2015,1,4986,3,3244
3,1,"12 21","12 21","1--5040",2015,2015,1,19,2802,24
4,1,"12 story library","12 story library","1--63235;1--62143",2015,2015,18,93,4,351
5,1,"13 press","13 press","1--5084",2015,2015,1,465,2491,45
6,1,"1st ride publishing","1st ride publishing","1--5152",2015,2015,1,27,2491,29
7,1,"1st world publishing","1st world publishing","1--4218",2015,2015,1,4990,5,3243
8,1,"2 13 61","2 13 61","1--880985",2015,2015,1,4377,6,3242
9,1,"2015","","1--5153",2015,2015,1,7,2491,130
10,1,"21 publishing ltd","21 publishing ltd","1--901785",2015,2015,1,3154,7,5033
11,1,"2617 publishing llc","2617 publishing llc","0--9964599",2015,2015,1,2698,8,5032
12,1,"2waykiss","2waykiss","1--4952",2015,2015,1,2246,9,3241
13,1,"33 loretta kids' books","33 loretta kids' books","0--9863454",2015,2015,1,1947,10,5031
14,1,"360 editions","360 editions","0--578",2015,2015,1,466,11,15
15,1,"37 ink atria","37 ink atria","1--4767",2015,2015,2,76,394,8
16,1,"3dtotal publishing","3dtotal publishing","1--909414",2015,2015,1,4661,12,3240
17,1,"3score publishing","3score publishing","0--9928950",2015,2015,2,4378,13,3239
18,1,"3ws books","3ws books","0--9895744",2015,2015,1,4064,14,5030
19,1,"42 miles press","42 miles press","0--9830747",2015,2015,1,3759,15,3238
20,1,"45th parallel press","45th parallel press","1--63470",2015,2015,1,1067,16,1345
21,1,"47north","47north","1--4778;1--5039",2015,2015,2,270,3881,83
22,1,"4rv children's corner","4rv children's corner","1--940310",2015,2015,1,2699,17,5029
23,1,"4th dimension press","4th dimension press","0--87604",2015,2015,1,900,18,1089
24,1,"5 continents","5 continents","88--7439",2015,2015,1,292,3538,744
25,1,"50 carbs","50 carbs","0--9862720",2015,2015,1,2097,19,3237
26,1,"515comics","515comics","0--9861107",2015,2015,1,1949,20,3236
27,1,"55 club","55 club","0--692",2015,2015,1,3,1177,1
28,1,"5m publishing","5m publishing","1--910455;1--912158;1--78918",2015,2015,4,706,21,734
29,1,"6th street design and publishing","6th street design and publishing","1--5195",2015,2015,1,484,2491,142
30,1,"7th grade poetry foundation","7th grade poetry foundation","0--692",2015,2015,1,3,1177,1
31,1,"9 10 publishing","9 10 publishing","0--9571367",2015,2015,1,4540,22,3235
32,1,"9th cinebook","9th cinebook","1--84918",2015,2015,1,650,23,728
33,1,"a a knopf","a a knopf","0--307",2015,2015,1,7,3389,3
34,1,"a and c black","a and c black","1--4729;1--4914",2015,2015,3,53,617,23
35,1,"a crescini","a crescini","1--5148",2015,2015,1,482,2491,123
36,1,"a d baran","a d baran","1--5035",2015,2015,2,41,2437,66
37,1,"a j tata","a j tata","1--5084",2015,2015,1,465,2491,45
38,1,"a r e press","a r e press","0--87604",2015,2015,1,900,18,1089
39,1,"a r t books 4kids","a r t books 4kids","0--9968775",2015,2015,1,3155,24,3234
40,1,"a smart apple media","a smart apple media","1--62588",2015,2015,18,226,4043,468
41,1,"a14 publications","a14 publications","0--9929417",2015,2015,1,2920,25,5028
42,1,"aa media","aa media","1--101",2015,2015,1,7,3389,3
43,1,"aa publications","aa publications","1--907896",2015,2015,2,295,321,538
44,1,"aa publishing","aa publishing","0--7495",2015,2015,4,2574,26,3233
45,1,"aaa publishing","aaa publishing","1--59508",2015,2015,1,2437,27,5027
46,1,"aacom american association of colleges of osteopathic medicine","aacom american association of colleges of osteopathic medicine","0--692",2015,2015,1,3,1177,1
47,1,"aandc black","aandc black","1--4729",2015,2015,2,53,617,5
48,1,"aandd xtreme","aandd xtreme","1--62403",2015,2015,1,96,428,38
49,1,"aandj publishing","aandj publishing","1--943346",2015,2015,2,2098,28,5026
50,1,"aapc","aapc","1--62688",2015,2015,1,2014,29,5025
51,1,"aapc publishing","aapc publishing","1--942197;1--937473",2015,2015,5,1304,30,1347
52,1,"aardvark bureau","aardvark bureau","1--910709",2015,2015,1,1784,31,5024
53,1,"aardvark vanaheim inc","aardvark vanaheim inc","0--919359",2015,2015,1,1702,32,3232
54,1,"aaron mahnke","aaron mahnke","1--5032;1--4953",2015,2015,2,107,2491,201
55,1,"aba business law section","aba business law section","1--63425;1--62722",2015,2015,3,14,33,34
56,1,"aba health law section","aba health law section","1--63425",2015,2015,1,14,33,34
57,1,"aba publishing","aba publishing","1--63425;1--62722",2015,2015,8,14,33,34
58,1,"aba section of antitrust law","aba section of antitrust law","1--61438",2015,2015,1,14,33,34
59,1,"aba section of public utility communications and transportation law","aba section of public utility communications and transportation law","1--62722",2015,2015,1,14,33,34
60,1,"aba tort trial and insurance practice section","aba tort trial and insurance practice section","1--63425",2015,2015,1,14,33,34
61,1,"abacus","abacus","0--349",2015,2015,6,52,2654,93
62,1,"abaddon books","abaddon books","1--78108",2015,2015,3,191,4072,377
63,1,"abbeville kids","abbeville kids","0--7892",2015,2015,2,661,34,700
64,1,"abbeville press","abbeville press","0--7892",2015,2015,3,661,34,700
65,1,"abbeville press publishers","abbeville press publishers","0--7892",2015,2015,8,661,34,700
66,1,"abbey press publications","abbey press publications","1--5040",2015,2015,2,19,2802,24
67,1,"abbie williams","abbie williams","1--5075;1--5061",2015,2015,4,7,2491,213
68,1,"abbott press","abbott press","1--4582",2015,2015,2,3906,35,3231
69,1,"abc clio","abc clio","1--59884;1--4342;1--61069;1--4408",2015,2015,46,7,617,204
70,1,"abc clio lcc","abc clio lcc","1--61069",2015,2015,1,7,617,204
71,1,"abc clio llc","abc clio llc","1--61069;0--313;1--4914;1--4408;1--4342",2015,2015,64,7,617,204
72,1,"abdo","abdo","1--68080;1--62403",2015,2015,2,96,428,38
73,1,"abdo kids","abdo kids","1--68080;1--62970",2015,2015,32,96,428,38
74,1,"abdo publishing","abdo publishing","1--62970;1--68076;1--62969;1--62403;1--68078;1--62968",2015,2015,74,96,428,38
75,1,"abdo publishing a division of abdo","abdo publishing a division of abdo","1--68078;1--62403;1--4914",2015,2015,8,96,428,38
76,1,"abdo publishing company","abdo publishing company","1--62968;1--62403",2015,2015,12,96,428,38
77,1,"abdo publishng","abdo publishng","1--68078",2015,2015,1,96,428,38
78,1,"abdo spotlight","abdo spotlight","1--61479",2015,2015,11,7,3389,320
79,1,"abela publishing ltd","abela publishing ltd","1--910882",2015,2015,2,2181,36,5023
80,1,"abilene christian university press","abilene christian university press","0--89112",2015,2015,4,1298,37,1334
81,1,"abingdon press","abingdon press","1--5018;1--4267;1--63088",2015,2015,11,287,38,308
82,1,"abison publishers","abison publishers","0--9555435",2015,2015,1,1983,39,5022
83,1,"about face press","about face press","0--9862550",2015,2015,1,1945,40,3230
84,1,"abq press","abq press","0--9966214",2015,2015,2,1908,41,5021
85,1,"abra palabra editores","abra palabra editores","958--59185",2015,2015,1,1869,42,5020
86,1,"abrams","abrams","1--61769;1--68335;0--692;1--4197;1--61312",2015,2015,33,260,1177,67
87,1,"abrams appleseed","abrams appleseed","1--68335;1--4197",2015,2015,6,260,1177,67
88,1,"abrams books for young readers","abrams books for young readers","1--4197",2015,2015,9,260,1177,67
89,1,"abrams comicarts","abrams comicarts","1--4197",2015,2015,1,260,1177,67
90,1,"abrams fine arts press","abrams fine arts press","1--937727",2015,2015,1,1045,43,1316
91,1,"abrams image","abrams image","1--4197;1--61312",2015,2015,7,260,1177,67
92,1,"abstract studio inc","abstract studio inc","1--892597",2015,2015,1,1380,44,3229
93,1,"abundant life llc","abundant life llc","1--5089",2015,2015,1,7,2491,81
94,1,"abz press","abz press","0--9801560",2015,2015,1,4937,45,5019
95,1,"ac books","ac books","1--939901",2015,2015,1,4884,46,3228
96,1,"aca galleries","aca galleries","0--692",2015,2015,2,3,1177,1
97,1,"aca publishing limited","aca publishing limited","0--9927625",2015,2015,1,4816,47,5018
98,1,"aca publishing ltd","aca publishing ltd","1--910760",2015,2015,4,1207,48,1315
99,1,"academic conferences and publishing international limited","academic conferences and publishing international limited","1--910810",2015,2015,1,4759,49,3227
100,1,"academic play llc","academic play llc","0--9962613",2015,2015,1,4714,50,5017
101,1,"academic press","academic press","1--4795;0--08;0--12;1--4914;0--444;0--316",2015,2015,358,57,3787,19
102,1,"academic press ap academic press","academic press ap academic press","0--12",2015,2015,3,57,3787,19
103,1,"academic press elsevier","academic press elsevier","0--12",2015,2015,9,57,3787,19
104,1,"academic press in","academic press in","0--12",2015,2015,1,57,3787,19
105,1,"academic studies","academic studies","1--61811",2015,2015,1,680,51,733
106,1,"academic studies press","academic studies press","1--61811",2015,2015,21,680,51,733
107,1,"academy chicago","academy chicago","0--89733",2015,2015,2,8,976,225
108,1,"academy chicago publishers","academy chicago publishers","0--89733;1--61373",2015,2015,7,8,976,225
109,1,"academy of nutrition and dietetics","academy of nutrition and dietetics","0--88091",2015,2015,2,4153,52,3226
110,1,"academy of the four directions","academy of the four directions","0--692",2015,2015,1,3,1177,1
111,1,"acadia","acadia","0--692",2015,2015,1,3,1177,1
112,1,"acapella publishing","acapella publishing","0--9786493",2015,2015,2,4058,53,3225
113,1,"acbt books","acbt books","1--5005",2015,2015,2,676,54,699
114,1,"acc art books","acc art books","1--85149",2015,2015,3,675,55,698
115,1,"acc art books ltd","acc art books ltd","1--85149",2015,2015,1,675,55,698
116,1,"accent press","accent press","1--78375;1--910939",2015,2015,4,439,56,506
117,1,"accent press ltd","accent press ltd","1--78375;1--910939",2015,2015,3,439,56,506
118,1,"accents publishing","accents publishing","1--936628",2015,2015,1,3758,57,5016
119,1,"accepted inc","accepted inc","1--941743",2015,2015,2,3695,58,3224
120,1,"access consciousness publishing","access consciousness publishing","1--63493",2015,2015,1,3653,59,5015
121,1,"access publishing group llc","access publishing group llc","0--9963079",2015,2015,1,3615,60,3223
122,1,"acclaim press","acclaim press","1--938905;1--942613",2015,2015,2,341,61,535
123,1,"acclain press","acclain press","1--942613",2015,2015,1,341,61,535
124,1,"accountingtools","accountingtools","1--938910",2015,2015,1,1273,62,1338
125,1,"accountingtools inc","accountingtools inc","1--938910",2015,2015,3,1273,62,1338
126,1,"ace","ace","0--425",2015,2015,1,7,3389,75
127,1,"ace books","ace books","0--425;1--101",2015,2015,20,7,3389,75
128,1,"achieve beyond press","achieve beyond press","0--9872704",2015,2015,1,3292,63,5014
129,1,"aciar","aciar","1--925133",2015,2015,1,883,64,1355
130,1,"acm","acm","1--4503",2015,2015,4,207,2954,138
131,1,"acm press","acm press","1--4503",2015,2015,2,207,2954,138
132,1,"acme poem company willow springs editions","acme poem company willow springs editions","0--9832317",2015,2015,1,3152,65,3222
133,1,"acmrs arizona center for medieval and renaissance studies","acmrs arizona center for medieval and renaissance studies","0--86698",2015,2015,1,561,66,447
134,1,"acquavella galleries","acquavella galleries","0--9826886",2015,2015,1,3071,67,3221
135,1,"acr e dition","acr e dition","2--86770",2015,2015,1,3044,68,3220
136,1,"acs books","acs books","1--5051",2015,2015,2,400,3826,343
137,1,"acsa press","acsa press","0--935502",2015,2015,2,2987,69,3219
138,1,"act electoral commission","act electoral commission","0--642",2015,2015,1,1282,70,1088
139,1,"act publishing","act publishing","0--692",2015,2015,1,3,1177,1
140,1,"acta","acta","0--87946",2015,2015,1,605,71,697
141,1,"acta publications","acta publications","0--87946",2015,2015,2,605,71,697
142,1,"acta sports","acta sports","0--87946",2015,2015,2,605,71,697
143,1,"actar publisher and ajuntament de barcelona","actar publisher and ajuntament de barcelona","1--940291",2015,2015,1,586,2238,202
144,1,"actar publishers","actar publishers","1--940291",2015,2015,5,586,2238,202
145,1,"actex publications inc","actex publications inc","1--62542",2015,2015,1,2749,72,5013
146,1,"action lab","action lab","1--63229",2015,2015,1,173,73,281
147,1,"action lab comics","action lab comics","1--63229",2015,2015,7,173,73,281
148,1,"action lab danger zone","action lab danger zone","1--63229",2015,2015,1,173,73,281
149,1,"action lab entertainment","action lab entertainment","1--63229;1--68124",2015,2015,9,173,73,281
150,1,"active learning publishers","active learning publishers","0--9903746",2015,2015,1,2572,74,3218
151,1,"active parenting publishers","active parenting publishers","1--59723",2015,2015,1,2537,75,5012
152,1,"acutebydesign publishing","acutebydesign publishing","1--943515",2015,2015,1,2503,76,3217
