id,length,text,publisher_pro,isbn_new,year_min,year_max,record
0,1,01publishing,01publishing,0--9839230,2015,2015,1.0
1,1,1 1 1 publishing,1 1 1 publishing,0--9914629,2015,2015,1.0
2,1,1006 books,1006 books,0--9861943,2015,2015,1.0
3,1,12 21,12 21,1--5040,2015,2015,1.0
4,1,12 story library,12 story library,1--63235;1--62143,2015,2015,18.0
5,1,13 press,13 press,1--5084,2015,2015,1.0
6,1,1st ride publishing,1st ride publishing,1--5152,2015,2015,1.0
7,1,1st world publishing,1st world publishing,1--4218,2015,2015,1.0
8,1,2 13 61,2 13 61,1--880985,2015,2015,1.0
9,1,2015,,1--5153,2015,2015,1.0
10,1,21 publishing ltd,21 publishing ltd,1--901785,2015,2015,1.0
11,1,2617 publishing llc,2617 publishing llc,0--9964599,2015,2015,1.0
12,1,2waykiss,2waykiss,1--4952,2015,2015,1.0
13,1,33 loretta kids' books,33 loretta kids' books,0--9863454,2015,2015,1.0
14,1,360 editions,360 editions,0--578,2015,2015,1.0
15,1,37 ink atria,37 ink atria,1--4767,2015,2015,2.0
16,1,3dtotal publishing,3dtotal publishing,1--909414,2015,2015,1.0
17,1,3score publishing,3score publishing,0--9928950,2015,2015,2.0
18,1,3ws books,3ws books,0--9895744,2015,2015,1.0
19,1,42 miles press,42 miles press,0--9830747,2015,2015,1.0
20,1,45th parallel press,45th parallel press,1--63470,2015,2015,1.0
21,1,47north,47north,1--4778;1--5039,2015,2015,2.0
22,1,4rv children's corner,4rv children's corner,1--940310,2015,2015,1.0
23,1,4th dimension press,4th dimension press,0--87604,2015,2015,1.0
24,1,5 continents,5 continents,88--7439,2015,2015,1.0
25,1,50 carbs,50 carbs,0--9862720,2015,2015,1.0
26,1,515comics,515comics,0--9861107,2015,2015,1.0
27,1,55 club,55 club,0--692,2015,2015,1.0
28,1,5m publishing,5m publishing,1--910455;1--912158;1--78918,2015,2015,4.0
29,1,6th street design and publishing,6th street design and publishing,1--5195,2015,2015,1.0
30,1,7th grade poetry foundation,7th grade poetry foundation,0--692,2015,2015,1.0
31,1,9 10 publishing,9 10 publishing,0--9571367,2015,2015,1.0
32,1,9th cinebook,9th cinebook,1--84918,2015,2015,1.0
33,1,a a knopf,a a knopf,0--307,2015,2015,1.0
34,1,a and c black,a and c black,1--4729;1--4914,2015,2015,3.0
35,1,a crescini,a crescini,1--5148,2015,2015,1.0
36,1,a d baran,a d baran,1--5035,2015,2015,2.0
37,1,a j tata,a j tata,1--5084,2015,2015,1.0
38,1,a r e press,a r e press,0--87604,2015,2015,1.0
39,1,a r t books 4kids,a r t books 4kids,0--9968775,2015,2015,1.0
40,1,a smart apple media,a smart apple media,1--62588,2015,2015,18.0
41,1,a14 publications,a14 publications,0--9929417,2015,2015,1.0
42,1,aa media,aa media,1--101,2015,2015,1.0
43,1,aa publications,aa publications,1--907896,2015,2015,2.0
44,1,aa publishing,aa publishing,0--7495,2015,2015,4.0
45,1,aaa publishing,aaa publishing,1--59508,2015,2015,1.0
46,1,aacom american association of colleges of osteopathic medicine,aacom american association of colleges of osteopathic medicine,0--692,2015,2015,1.0
47,1,aandc black,aandc black,1--4729,2015,2015,2.0
48,1,aandd xtreme,aandd xtreme,1--62403,2015,2015,1.0
49,1,aandj publishing,aandj publishing,1--943346,2015,2015,2.0
50,1,aapc,aapc,1--62688,2015,2015,1.0
51,1,aapc publishing,aapc publishing,1--942197;1--937473,2015,2015,5.0
