"";"x"
"1";3245
"2";5034
"3";3244
"4";24
"5";351
"6";45
"7";29
"8";3243
"9";3242
"10";130
"11";5033
"12";5032
"13";3241
"14";5031
"15";15
"16";8
"17";3240
"18";3239
"19";5030
"20";3238
"21";1345
"22";83
"23";5029
"24";1089
"25";744
"26";3237
"27";3236
"28";1
"29";734
"30";142
"31";1
"32";3235
"33";728
"34";3
"35";23
"36";123
"37";66
"38";45
"39";1089
"40";3234
"41";468
"42";5028
"43";3
"44";538
"45";3233
"46";5027
"47";1
"48";5
"49";38
"50";5026
"51";5025
"52";1347
"53";5024
"54";3232
"55";201
"56";34
"57";34
"58";34
"59";34
"60";34
"61";34
"62";93
"63";377
"64";700
"65";700
"66";700
"67";24
"68";213
"69";3231
"70";204
"71";204
"72";204
"73";38
"74";38
"75";38
"76";38
"77";38
"78";38
"79";320
"80";5023
"81";1334
"82";308
"83";5022
"84";3230
"85";5021
"86";5020
"87";67
"88";67
"89";67
"90";67
"91";1316
"92";67
"93";3229
"94";81
"95";5019
"96";3228
"97";1
"98";5018
"99";1315
"100";3227
"101";5017
"102";19
"103";19
"104";19
"105";19
"106";733
"107";733
"108";225
"109";225
"110";3226
"111";1
"112";1
"113";3225
"114";699
"115";698
"116";698
"117";506
"118";506
"119";5016
"120";3224
"121";5015
"122";3223
"123";535
"124";535
"125";1338
"126";1338
"127";75
"128";75
"129";5014
"130";1355
"131";138
"132";138
"133";3222
"134";447
"135";3221
"136";3220
"137";343
"138";3219
"139";1088
"140";1
"141";697
"142";697
"143";697
"144";202
"145";202
"146";5013
"147";281
"148";281
"149";281
"150";281
"151";3218
"152";5012
"153";3217
"154";134
"155";3216
"156";5011
"157";168
"158";536
"159";536
"160";11
"161";3215
"162";1321
"163";101
"164";11
"165";11
"166";1352
"167";3214
"168";1352
"169";3213
"170";5010
"171";3212
"172";1325
"173";1325
"174";764
"175";764
"176";5009
"177";3211
"178";3210
"179";5008
"180";269
"181";5035
"182";451
"183";5037
"184";3209
"185";5007
"186";5039
"187";29
"188";5006
"189";753
"190";4
"191";4
"192";732
"193";5005
"194";5004
"195";1344
"196";1351
"197";1351
"198";1
"199";3208
"200";3207
"201";3206
"202";220
"203";696
"204";1
"205";3205
"206";5003
"207";1319
"208";3204
"209";5002
"210";695
"211";306
"212";306
"213";306
"214";40
"215";320
"216";40
"217";40
"218";1315
"219";100
"220";5001
"221";1343
"222";1359
"223";1359
"224";115
"225";3203
"226";5000
"227";4999
"228";1
"229";4998
"230";208
"231";24
"232";121
"233";1
"234";1327
"235";4997
"236";3202
"237";81
"238";1
"239";4996
"240";4995
"241";3201
"242";4994
"243";64
"244";59
"245";174
"246";79
"247";3200
"248";3199
"249";1087
"250";732
"251";3
"252";3
"253";4993
"254";169
"255";1342
"256";467
"257";467
"258";467
"259";3198
"260";3
"261";4992
"262";118
"263";3197
"264";3196
"265";3195
"266";157
"267";4991
"268";694
"269";13
"270";487
"271";156
"272";1
"273";3194
"274";371
"275";2
"276";13
"277";694
"278";694
"279";55
"280";3193
"281";4990
"282";1324
"283";1324
"284";4989
"285";217
"286";217
"287";217
"288";217
"289";217
"290";217
"291";12
"292";217
"293";323
"294";323
"295";323
"296";323
"297";3192
"298";119
"299";3191
"300";4988
"301";693
"302";338
"303";79
"304";4987
"305";98
"306";269
"307";3190
"308";15
"309";4986
"310";480
"311";480
"312";3189
"313";115
"314";1
"315";131
"316";83
"317";83
"318";1350
"319";1350
"320";4985
"321";1333
"322";1333
"323";177
"324";3188
"325";4984
"326";3187
"327";4983
"328";771
"329";3186
"330";4982
"331";4981
"332";1354
"333";1354
"334";3185
"335";3184
"336";4980
"337";3183
"338";3182
"339";446
"340";1086
"341";34
"342";34
"343";34
"344";34
"345";34
"346";34
"347";34
"348";34
"349";34
"350";34
"351";1085
"352";1085
"353";4979
"354";4
"355";3181
"356";343
"357";1346
"358";111
"359";3180
"360";1369
"361";1
"362";18
"363";3179
"364";4978
"365";4
"366";110
"367";171
"368";4977
"369";86
"370";4976
"371";3178
"372";692
"373";691
"374";691
"375";691
"376";3177
"377";1326
"378";1326
"379";4975
"380";3176
"381";306
"382";480
"383";220
"384";287
"385";1177
"386";4974
"387";4973
"388";126
"389";1332
"390";1332
"391";445
"392";116
"393";116
"394";4972
"395";360
"396";360
"397";360
"398";360
"399";690
"400";1331
"401";4971
"402";3175
"403";1323
"404";111
"405";766
"406";4970
"407";4969
"408";1328
"409";3174
"410";3173
"411";689
"412";689
"413";689
"414";280
"415";1
"416";444
"417";444
"418";4968
"419";765
"420";3172
"421";280
"422";1
"423";4967
"424";69
"425";3171
"426";220
"427";4966
"428";3170
"429";305
"430";3169
"431";1337
"432";1337
"433";211
"434";211
"435";211
"436";211
"437";4965
"438";20
"439";10
"440";3168
"441";1
"442";3167
"443";1318
"444";1
"445";4964
"446";4963
"447";287
"448";287
"449";4962
"450";67
"451";3166
"452";1
"453";757
"454";4961
"455";144
"456";4960
"457";4959
"458";1348
"459";688
"460";3165
"461";3164
"462";3
"463";3
"464";443
"465";1311
"466";5
"467";38
"468";29
"469";3163
"470";1341
"471";687
"472";687
"473";4958
"474";687
"475";20
"476";2
"477";4957
"478";3162
"479";3161
"480";1356
"481";1084
"482";94
"483";442
"484";442
"485";442
"486";442
"487";696
"488";3160
"489";4956
"490";79
"491";1322
"492";405
"493";3159
"494";3158
"495";3157
"496";5046
"497";537
"498";714
"499";34
"500";34
"501";3156
"502";1
"503";3155
"504";223
"505";223
"506";15
"507";73
"508";3154
"509";118
"510";491
"511";491
"512";3153
"513";3152
"514";112
"515";4955
"516";4954
"517";3151
"518";5048
"519";3150
"520";3149
"521";754
"522";10
"523";121
"524";79
"525";3148
"526";3147
"527";698
"528";1310
"529";1353
"530";1309
"531";3146
"532";3145
"533";4953
"534";3144
"535";3143
"536";369
"537";19
"538";19
"539";454
"540";454
"541";454
"542";102
"543";441
"544";441
"545";441
"546";3142
"547";1331
"548";237
"549";1
"550";3141
"551";4952
"552";4951
"553";3140
"554";3139
"555";187
"556";686
"557";14
"558";14
"559";686
"560";686
"561";685
"562";612
"563";4950
"564";3138
"565";1083
"566";1083
"567";191
"568";191
"569";191
"570";191
"571";191
"572";4949
"573";1378
"574";445
"575";445
"576";445
"577";4948
"578";5036
"579";5038
"580";1
"581";3137
"582";770
"583";770
"584";3136
"585";763
"586";762
"587";762
"588";1
"589";126
"590";1
"591";4947
"592";3135
"593";3134
"594";127
"595";127
"596";127
"597";127
"598";127
"599";127
"600";127
"601";127
"602";232
"603";232
"604";4946
"605";4945
"606";3133
"607";613
"608";613
"609";3132
"610";4944
"611";538
"612";6
"613";4943
"614";748
"615";748
"616";748
"617";304
"618";1
"619";4942
"620";769
"621";3131
"622";313
"623";524
"624";4941
"625";250
"626";250
"627";447
"628";247
"629";3130
"630";4940
"631";1317
"632";3129
"633";3128
"634";223
"635";223
"636";4939
"637";4938
"638";4937
"639";3127
"640";123
"641";141
"642";4936
"643";3126
"644";137
"645";3125
"646";1
"647";95
"648";284
"649";4935
"650";3124
"651";3123
"652";767
"653";157
"654";1082
"655";1081
"656";114
"657";3122
"658";13
"659";4934
"660";3121
"661";1080
"662";1080
"663";3120
"664";3119
"665";1
"666";3118
"667";1
"668";684
"669";4933
"670";3117
"671";440
"672";92
"673";92
"674";92
"675";92
"676";92
"677";92
"678";5051
"679";4932
"680";444
"681";444
"682";280
"683";1
"684";200
"685";4931
"686";3116
"687";1328
"688";765
"689";683
"690";90
"691";4930
"692";4929
"693";4928
"694";768
"695";4927
"696";3115
"697";4926
"698";138
"699";138
"700";306
"701";3114
"702";4925
"703";1369
"704";503
"705";3113
"706";122
"707";306
"708";4924
"709";4923
"710";1357
"711";1357
"712";1314
"713";3112
"714";4922
"715";4921
"716";3111
"717";94
"718";3110
"719";4920
"720";3109
"721";503
"722";503
"723";3108
"724";118
"725";40
"726";5
"727";3107
"728";682
"729";4919
"730";4918
"731";516
"732";303
"733";303
"734";303
"735";303
"736";303
"737";303
"738";178
"739";178
"740";611
"741";611
"742";3106
"743";3105
"744";150
"745";8
"746";8
"747";8
"748";40
"749";8
"750";8
"751";8
"752";8
"753";337
"754";1
"755";4917
"756";4916
"757";4915
"758";3104
"759";3103
"760";111
"761";4914
"762";267
"763";3102
"764";4913
"765";696
"766";4912
"767";1340
"768";3101
"769";1340
"770";466
"771";466
"772";466
"773";103
"774";1355
"775";3100
"776";3099
"777";4911
"778";4910
"779";1353
"780";1079
"781";4909
"782";174
"783";186
"784";1
"785";186
"786";186
"787";4
"788";4
"789";4
"790";3098
"791";3097
"792";3096
"793";130
"794";4908
"795";208
"796";1
"797";208
"798";208
"799";4907
"800";742
"801";742
"802";4906
"803";1078
"804";1078
"805";4905
"806";1335
"807";2
"808";2
"809";3095
"810";681
"811";681
"812";681
"813";680
"814";32
"815";52
"816";10
"817";10
"818";3094
"819";161
"820";3093
"821";4904
"822";61
"823";3092
"824";1
"825";61
"826";4903
"827";3091
"828";4902
"829";4901
"830";163
"831";163
"832";163
"833";3
"834";15
"835";1358
"836";1339
"837";439
"838";29
"839";1330
"840";4900
"841";4899
"842";1330
"843";3090
"844";465
"845";465
"846";35
"847";35
"848";35
"849";4898
"850";187
"851";141
"852";3089
"853";8
"854";8
"855";8
"856";447
"857";479
"858";479
"859";479
"860";610
"861";610
"862";3088
"863";3087
"864";3
"865";3
"866";51
"867";3086
"868";4897
"869";10
"870";75
"871";389
"872";704
"873";3085
"874";4896
"875";1308
"876";4895
"877";4894
"878";163
"879";163
"880";163
"881";3084
"882";4893
"883";4892
"884";4891
"885";1077
"886";4890
"887";4889
"888";3
"889";3
"890";3
"891";3
"892";117
"893";3083
"894";100
"895";3082
"896";3081
"897";36
"898";198
"899";198
"900";198
"901";4888
"902";1364
"903";1307
"904";679
"905";4887
"906";4886
"907";4885
"908";4884
"909";254
"910";134
"911";134
"912";4883
"913";3080
"914";1076
"915";296
"916";296
"917";296
"918";296
"919";296
"920";4882
"921";4881
"922";193
"923";268
"924";268
"925";268
"926";268
"927";1
"928";3079
"929";4880
"930";3078
"931";4879
"932";84
"933";3077
"934";116
"935";5055
"936";4878
"937";3076
"938";1306
"939";1349
"940";678
"941";678
"942";678
"943";40
"944";3075
"945";3074
"946";1313
"947";1075
"948";3073
"949";4877
"950";3072
"951";1074
"952";1074
"953";4876
"954";4875
"955";1073
"956";1073
"957";4874
"958";1
"959";131
"960";1072
"961";1072
"962";1312
"963";1312
"964";4873
"965";27
"966";27
"967";4872
"968";3071
"969";3070
"970";1
"971";1071
"972";1071
"973";15
"974";154
"975";154
"976";464
"977";1070
"978";1070
"979";33
"980";3069
"981";4871
"982";464
"983";1305
"984";1
"985";26
