cluster_id,isbn,record,type
0,0--9839230,1,1
1,0--9914629,1,1
2,0--9861943,1,1
3,1--5040,1,1
4,1--63235,2,1
4,1--62143,1,1
5,1--5084,1,1
6,1--5152,1,1
7,1--4218,1,1
8,1--880985,1,1
10,1--901785,1,1
11,0--9964599,1,1
12,1--4952,1,1
13,0--9863454,1,1
14,0--578,1,1
15,1--4767,1,1
16,1--909414,1,1
17,0--9928950,2,1
18,0--9895744,1,1
19,0--9830747,1,1
20,1--63470,1,1
21,1--4778,1,1
21,1--5039,1,1
22,1--940310,1,1
23,0--87604,1,1
24,88--7439,1,1
25,0--9862720,1,1
26,0--9861107,1,1
27,0--692,1,1
28,1--910455,1,1
28,1--912158,1,1
28,1--78918,2,1
29,1--5195,1,1
30,0--692,1,1
31,0--9571367,1,1
32,1--84918,1,1
33,0--307,1,1
34,1--4729,1,1
34,1--4914,1,1
35,1--5148,1,1
36,1--5035,1,1
37,1--5084,1,1
38,0--87604,1,1
39,0--9968775,1,1
40,1--62588,1,1
41,0--9929417,1,1
42,1--101,1,1
43,1--907896,2,1
44,0--7495,4,1
45,1--59508,1,1
46,0--692,1,1
47,1--4729,2,1
48,1--62403,1,1
49,1--943346,2,1
50,1--62688,1,1
51,1--942197,4,1
51,1--937473,1,1
52,1--910709,1,1
53,0--919359,1,1
54,1--5032,1,1
54,1--4953,1,1
55,1--63425,2,1
55,1--62722,1,1
56,1--63425,1,1
57,1--63425,6,1
57,1--62722,2,1
58,1--61438,1,1
59,1--62722,1,1
60,1--63425,1,1
61,0--349,6,1
62,1--78108,3,1
63,0--7892,2,1
64,0--7892,11,1
65,0--7892,8,1
66,1--5040,2,1
67,1--5075,7,1
67,1--5061,2,1
68,1--4582,2,1
69,1--59884,1,1
69,1--4342,1,1
69,1--61069,1,1
69,1--4408,1,1
70,1--61069,1,1
71,1--61069,1,1
71,0--313,1,1
71,1--4914,1,1
71,1--4408,1,1
71,1--4342,1,1
72,1--68080,1,1
72,1--62403,26,1
73,1--68080,1,1
73,1--62970,33,1
74,1--62970,2,1
74,1--68076,1,1
74,1--62969,5,1
74,1--62403,25,1
74,1--68078,1,1
74,1--62968,5,1
75,1--68078,1,1
75,1--62403,1,1
75,1--4914,1,1
76,1--62968,3,1
76,1--62403,8,1
77,1--68078,1,1
78,1--61479,12,1
79,1--910882,2,1
80,0--89112,3,1
81,1--5018,10,1
81,1--4267,1,1
81,1--63088,3,1
82,0--9555435,1,1
83,0--9862550,1,1
84,0--9966214,2,1
85,958--59185,1,1
86,1--61769,1,1
86,1--68335,1,1
86,0--692,1,1
86,1--4197,49,1
86,1--61312,3,1
87,1--68335,1,1
87,1--4197,5,1
88,1--4197,10,1
89,1--4197,1,1
90,1--937727,1,1
91,1--4197,5,1
91,1--61312,2,1
92,1--892597,1,1
93,1--5089,1,1
94,0--9801560,1,1
95,1--939901,1,1
96,0--692,2,1
97,0--9927625,1,1
98,1--910760,4,1
99,1--910810,1,1
100,0--9962613,1,1
101,1--4795,1,1
101,0--08,10,1
101,0--12,333,1
101,1--4914,1,1
101,0--444,2,1
101,0--316,1,1
102,0--12,1,1
103,0--12,1,1
104,0--12,1,1
105,1--61811,22,1
106,1--61811,21,1
107,0--89733,5,1
108,0--89733,3,1
108,1--61373,4,1
109,0--88091,2,1
110,0--692,1,1
111,0--692,1,1
112,0--9786493,2,1
113,1--5005,2,1
114,1--85149,4,1
115,1--85149,1,1
116,1--78375,7,1
116,1--910939,3,1
117,1--78375,4,1
117,1--910939,2,1
118,1--936628,1,1
119,1--941743,2,1
120,1--63493,1,1
