"";"x"
"1";1
"2";2
"3";3
"4";2802
"5";4
"6";2491
"7";2491
"8";5
"9";6
"10";2491
"11";7
"12";8
"13";9
"14";10
"15";11
"16";394
"17";12
"18";13
"19";14
"20";15
"21";16
"22";3881
"23";17
"24";18
"25";3538
"26";19
"27";20
"28";1177
"29";21
"30";2491
"31";1177
"32";22
"33";23
"34";3389
"35";617
"36";2491
"37";2437
"38";2491
"39";18
"40";24
"41";4043
"42";25
"43";3389
"44";321
"45";26
"46";27
"47";1177
"48";617
"49";428
"50";28
"51";29
"52";30
"53";31
"54";32
"55";2491
"56";33
"57";33
"58";33
"59";33
"60";33
"61";33
"62";2654
"63";4072
"64";34
"65";34
"66";34
"67";2802
"68";2491
"69";35
"70";617
"71";617
"72";617
"73";428
"74";428
"75";428
"76";428
"77";428
"78";428
"79";3389
"80";36
"81";37
"82";38
"83";39
"84";40
"85";41
"86";42
"87";1177
"88";1177
"89";1177
"90";1177
"91";43
"92";1177
"93";44
"94";2491
"95";45
"96";46
"97";1177
"98";47
"99";48
"100";49
"101";50
"102";3787
"103";3787
"104";3787
"105";3787
"106";51
"107";51
"108";976
"109";976
"110";52
"111";1177
"112";1177
"113";53
"114";54
"115";55
"116";55
"117";56
"118";56
"119";57
"120";58
"121";59
"122";60
"123";61
"124";61
"125";62
"126";62
"127";3389
"128";3389
"129";63
"130";64
"131";2954
"132";2954
"133";65
"134";66
"135";67
"136";68
"137";3826
"138";69
"139";70
"140";1177
"141";71
"142";71
"143";71
"144";2238
"145";2238
"146";72
"147";73
"148";73
"149";73
"150";73
"151";74
"152";75
"153";76
"154";4172
"155";77
"156";78
"157";2491
"158";79
"159";79
"160";3373
"161";80
"162";81
"163";3498
"164";3373
"165";3373
"166";82
"167";83
"168";82
"169";84
"170";85
"171";86
"172";87
"173";87
"174";88
"175";88
"176";89
"177";90
"178";91
"179";92
"180";2491
"181";93
"182";94
"183";95
"184";96
"185";97
"186";98
"187";2491
"188";99
"189";2491
"190";3498
"191";3498
"192";100
"193";101
"194";102
"195";103
"196";104
"197";104
"198";1177
"199";105
"200";106
"201";107
"202";224
"203";108
"204";1177
"205";109
"206";110
"207";111
"208";112
"209";113
"210";114
"211";115
"212";115
"213";115
"214";394
"215";3389
"216";394
"217";394
"218";48
"219";2491
"220";116
"221";117
"222";118
"223";118
"224";2491
"225";119
"226";120
"227";121
"228";1177
"229";122
"230";2802
"231";2802
"232";1560
"233";1177
"234";123
"235";124
"236";125
"237";2491
"238";1177
"239";126
"240";127
"241";128
"242";129
"243";2491
"244";2491
"245";2491
"246";2491
"247";130
"248";131
"249";132
"250";100
"251";3389
"252";3389
"253";133
"254";2491
"255";134
"256";135
"257";135
"258";135
"259";136
"260";3389
"261";137
"262";2491
"263";138
"264";139
"265";140
"266";2491
"267";141
"268";142
"269";617
"270";1786
"271";2491
"272";1177
"273";143
"274";144
"275";3389
"276";617
"277";142
"278";142
"279";4172
"280";145
"281";146
"282";147
"283";147
"284";148
"285";149
"286";149
"287";149
"288";149
"289";149
"290";149
"291";3389
"292";149
"293";3787
"294";3787
"295";3787
"296";3787
"297";150
"298";3790
"299";151
"300";152
"301";153
"302";154
"303";2491
"304";155
"305";2491
"306";2491
"307";156
"308";11
"309";157
"310";194
"311";194
"312";158
"313";2491
"314";1177
"315";2491
"316";3881
"317";3881
"318";159
"319";159
"320";160
"321";161
"322";161
"323";2491
"324";162
"325";163
"326";164
"327";165
"328";166
"329";167
"330";168
"331";169
"332";170
"333";170
"334";171
"335";172
"336";173
"337";174
"338";175
"339";176
"340";177
"341";33
"342";33
"343";33
"344";33
"345";33
"346";33
"347";33
"348";33
"349";33
"350";33
"351";178
"352";178
"353";179
"354";3498
"355";180
"356";3826
"357";181
"358";2802
"359";182
"360";3498
"361";1177
"362";1611
"363";183
"364";184
"365";3498
"366";2491
"367";617
"368";185
"369";2600
"370";186
"371";187
"372";188
"373";189
"374";189
"375";189
"376";190
"377";191
"378";191
"379";192
"380";193
"381";115
"382";194
"383";224
"384";195
"385";196
"386";197
"387";198
"388";199
"389";200
"390";200
"391";201
"392";3787
"393";3787
"394";202
"395";203
"396";203
"397";203
"398";203
"399";204
"400";205
"401";206
"402";207
"403";208
"404";2802
"405";209
"406";210
"407";211
"408";212
"409";213
"410";214
"411";215
"412";215
"413";215
"414";216
"415";1177
"416";217
"417";217
"418";218
"419";219
"420";220
"421";216
"422";1177
"423";221
"424";222
"425";223
"426";224
"427";225
"428";226
"429";227
