"";"x"
"1";4988
"2";4989
"3";4986
"4";19
"5";93
"6";465
"7";27
"8";4990
"9";4377
"10";7
"11";3154
"12";2698
"13";2246
"14";1947
"15";466
"16";76
"17";4661
"18";4378
"19";4064
"20";3759
"21";1067
"22";270
"23";2699
"24";900
"25";292
"26";2097
"27";1949
"28";3
"29";706
"30";484
"31";3
"32";4540
"33";650
"34";7
"35";53
"36";482
"37";41
"38";465
"39";900
"40";3155
"41";226
"42";2920
"43";7
"44";295
"45";2574
"46";2437
"47";3
"48";53
"49";96
"50";2098
"51";2014
"52";1304
"53";1784
"54";1702
"55";107
"56";14
"57";14
"58";14
"59";14
"60";14
"61";14
"62";52
"63";191
"64";661
"65";661
"66";661
"67";19
"68";7
"69";3906
"70";7
"71";7
"72";7
"73";96
"74";96
"75";96
"76";96
"77";96
"78";96
"79";7
"80";2181
"81";1298
"82";287
"83";1983
"84";1945
"85";1908
"86";1869
"87";260
"88";260
"89";260
"90";260
"91";1045
"92";260
"93";1380
"94";7
"95";4937
"96";4884
"97";3
"98";4816
"99";1207
"100";4759
"101";4714
"102";57
"103";57
"104";57
"105";57
"106";680
"107";680
"108";8
"109";8
"110";4153
"111";3
"112";3
"113";4058
"114";676
"115";675
"116";675
"117";439
"118";439
"119";3758
"120";3695
"121";3653
"122";3615
"123";341
"124";341
"125";1273
"126";1273
"127";7
"128";7
"129";3292
"130";883
"131";207
"132";207
"133";3152
"134";561
"135";3071
"136";3044
"137";400
"138";2987
"139";1282
"140";3
"141";605
"142";605
"143";605
"144";586
"145";586
"146";2749
"147";173
"148";173
"149";173
"150";173
"151";2572
"152";2537
"153";2503
"154";55
"155";2436
"156";2378
"157";7
"158";363
"159";363
"160";73
"161";2213
"162";834
"163";85
"164";73
"165";73
"166";737
"167";2101
"168";737
"169";2046
"170";2028
"171";2008
"172";724
"173";724
"174";1303
"175";1303
"176";1924
"177";1907
"178";1884
"179";1868
"180";495
"181";1824
"182";572
"183";1785
"184";1765
"185";1746
"186";1724
"187";27
"188";1682
"189";380
"190";50
"191";50
"192";670
"193";1572
"194";1532
"195";742
"196";935
"197";935
"198";3
"199";1445
"200";1429
"201";1406
"202";56
"203";659
"204";3
"205";1335
"206";4983
"207";1158
"208";4939
"209";4910
"210";701
"211";509
"212";509
"213";509
"214";180
"215";7
"216";180
"217";180
"218";1207
"219";7
"220";4636
"221";1143
"222";1140
"223";1140
"224";7
"225";4542
"226";4523
"227";4513
"228";3
"229";4462
"230";103
"231";19
"232";480
"233";3
"234";1095
"235";4312
"236";4291
"237";7
"238";3
"239";4230
"240";4204
"241";4178
"242";4167
"243";7
"244";18
"245";7
"246";403
"247";4034
"248";4014
"249";1022
"250";670
"251";7
"252";7
"253";3782
"254";99
"255";990
"256";225
"257";225
"258";225
"259";3632
"260";7
"261";3566
"262";99
"263";3531
"264";3518
"265";3491
"266";7
"267";3440
"268";689
"269";114
"270";230
"271";459
"272";3
"273";3330
"274";186
"275";7
"276";114
"277";689
"278";689
"279";86
"280";3095
"281";3082
"282";948
"283";948
"284";3043
"285";494
"286";494
"287";494
"288";494
"289";494
"290";494
"291";183
"292";494
"293";185
"294";185
"295";185
"296";185
"297";2813
"298";501
"299";2792
"300";2779
"301";672
"302";525
"303";403
"304";2739
"305";460
"306";495
"307";2696
"308";466
"309";2661
"310";254
"311";254
"312";2609
"313";7
"314";3
"315";481
"316";270
"317";270
"318";1292
"319";1292
"320";2490
"321";1188
"322";1188
"323";7
"324";2415
"325";2405
"326";2393
"327";2380
"328";773
"329";2345
"330";2336
"331";2326
"332";766
"333";766
"334";2288
"335";2272
"336";2264
"337";2258
"338";2244
"339";573
"340";1300
"341";14
"342";14
"343";14
"344";14
"345";14
"346";14
"347";14
"348";14
"349";14
"350";14
"351";735
"352";735
"353";2075
"354";50
"355";2031
"356";400
"357";775
"358";63
"359";1973
"360";418
"361";3
"362";49
"363";1922
"364";1909
"365";50
"366";5
"367";7
"368";1855
"369";40
"370";1833
"371";1825
"372";630
"373";627
"374";627
"375";627
"376";1775
"377";817
"378";817
"379";1744
"380";1733
"381";509
"382";254
"383";56
"384";36
"385";1181
"386";1651
"387";1635
"388";60
"389";1311
"390";1311
"391";560
"392";429
"393";429
"394";1531
"395";94
"396";94
"397";94
"398";94
"399";619
"400";928
"401";1465
"402";1457
"403";748
"404";63
"405";981
"406";1392
"407";1379
"408";749
"409";1368
"410";1354
"411";640
"412";640
"413";640
"414";170
"415";3
"416";577
"417";577
"418";4936
"419";1178
"420";4903
"421";170
"422";3
"423";4874
"424";209
"425";4853
"426";56
"427";4814
"428";4804
"429";517
"430";4786
"431";1093
"432";1093
"433";17
"434";17
"435";17
"436";17
"437";4700
"438";57
"439";7
"440";4657
"441";3
"442";4641
"443";1201
"444";3
"445";4626
"446";4615
"447";36
"448";36
"449";4595
"450";260
"451";4570
"452";3
"453";7
"454";4543
"455";483
"456";4524
"457";4518
"458";1131
"459";681
"460";4471
"461";4466
"462";7
"463";7
"464";558
"465";1236
"466";53
"467";96
"468";27
"469";4329
"470";1197
"471";663
"472";663
"473";4302
"474";663
"475";57
"476";7
"477";4250
"478";4240
"479";4231
"480";1071
"481";1065
"482";7
"483";574
"484";574
"485";574
"486";574
"487";659
"488";4110
"489";4089
"490";403
"491";1066
"492";137
"493";4035
"494";4026
"495";4011
"496";3
"497";304
"498";710
"499";14
"500";14
"501";3939
"502";3
"503";3924
"504";211
"505";402
"506";466
"507";462
"508";3890
"509";99
"510";258
"511";258
"512";3840
"513";3835
"514";478
"515";3809
"516";3791
"517";3780
"518";7
"519";3760
"520";3745
"521";290
"522";7
"523";480
"524";403
"525";3702
"526";3693
"527";675
"528";971
"529";1264
"530";963
"531";3623
"532";3614
"533";3613
"534";3596
"535";3582
"536";152
"537";57
"538";57
"539";557
"540";557
"541";557
"542";138
"543";575
"544";575
"545";575
"546";3477
"547";928
"548";7
"549";3
"550";3419
"551";3415
"552";3401
"553";3391
"554";3382
"555";102
"556";685
"557";28
"558";28
"559";685
"560";685
"561";669
"562";314
"563";3212
"564";3213
"565";904
"566";904
"567";261
"568";261
"569";261
"570";261
"571";261
"572";3127
"573";3124
"574";560
"575";560
"576";560
"577";3097
"578";3090
"579";3081
"580";3
"581";3072
"582";951
"583";951
"584";3047
"585";868
"586";853
"587";853
"588";3
"589";60
"590";3
"591";2989
"592";2984
"593";2973
"594";404
"595";505
"596";505
"597";505
"598";505
"599";404
"600";505
"601";505
"602";101
"603";101
"604";2851
"605";2840
"606";2828
"607";367
"608";367
"609";2804
"610";2800
"611";295
"612";28
"613";2774
"614";414
"615";414
"616";414
"617";511
"618";3
"619";2740
"620";984
"621";2727
"622";113
"623";266
"624";2701
"625";280
"626";280
"627";561
"628";162
"629";4477
"630";2638
"631";796
"632";2620
"633";2615
"634";211
"635";211
"636";2598
"637";2586
"638";2583
"639";2575
"640";482
"641";485
"642";2549
"643";4717
"644";7
"645";2508
"646";3
"647";122
"648";388
"649";4844
"650";2458
"651";2452
"652";781
"653";7
"654";1171
"655";1153
"656";7
"657";2392
"658";114
"659";2382
"660";2365
"661";770
"662";770
"663";2348
"664";2347
"665";3
"666";2331
"667";3
"668";674
"669";2320
"670";2313
"671";556
"672";28
"673";28
"674";28
"675";28
"676";28
"677";28
"678";7
"679";2210
"680";577
"681";577
"682";170
"683";3
"684";24
"685";2187
"686";2180
"687";749
"688";1178
"689";690
"690";43
"691";2158
"692";2153
"693";2145
"694";1021
"695";2135
"696";2134
"697";2129
"698";207
"699";207
"700";509
"701";2092
"702";2084
"703";418
"704";245
"705";2074
"706";7
"707";509
"708";2041
"709";2036
"710";1027
"711";1027
"712";983
"713";2021
"714";2007
"715";1999
"716";1995
"717";479
