index,F001_a,isbn_tag,isbn_tag1,F008_0710,F26x_b_cleaned,class,publisher1,publisher2
4,874903113,1--62266,1--62266,2013,"entangled flaunt, an imprint of entangled publishing llc",imprint,"entangled flaunt, ", entangled publishing llc
7,933791434,0--00,0--00,2015,"collins crime club, an imprint of harper collins publisher",imprint,"collins crime club, ", harper collins publisher
14,946159171,0--06,0--06,2017,"avon books, an imprint of harpercollinspublishers",imprint,"avon books, ", harpercollinspublishers
24,936533848,1--5107,1--5107,2017,"sky pony press, an imprint of skyhorse publishing inc",imprint,"sky pony press, ", skyhorse publishing inc
26,1003489451,1--350,1--350,2018,"bloomsbury academic, an imprint of bloomsbury publishing plc",imprint,"bloomsbury academic, ", bloomsbury publishing plc
29,1048367237,1--63159,1--63159,2018,"quarry book, an imprint of the quarto group",imprint,"quarry book, ", the quarto group
30,910090981,1--945293 ;; 0--9864484,0--9864484,2016,"adaptive books, an imprint of adaptive studios",imprint,"adaptive books, ", adaptive studios
36,1022267886,,,2017,"disney-hyperion, an imprint of disney book group",imprint,"disney-hyperion, ", disney book group
38,1032282770,1--350,1--350,2018,"methuen drama, an imprint of bloomsbury publishing plc",imprint,"methuen drama, ", bloomsbury publishing plc
41,869809685,1--62836,1--62836,2014,"shiloh run studios, an imprint of barbour publishing",imprint,"shiloh run studios, ", barbour publishing
47,1069679139,1--85028,1--85028,1988,"paper tiger, an imprint of dragon's world",imprint,"paper tiger, ", dragon's world
49,1022267886,,,2017,"disney-hyperion, an imprint of disney book group",imprint,"disney-hyperion, ", disney book group
52,1004769774,1--4128 ;; 0--8153,1--4128,2018,"routledge, an imprint of the taylor and francis group",imprint,"routledge, ", the taylor and francis group
56,1056492370,,,2017,"bloomsbury academic, an imprint of bloomsbury publishing inc",imprint,"bloomsbury academic, ", bloomsbury publishing inc
57,1023616802,0--06,0--06,2018,"balzer + bray, an imprint of harpercollins publishers",imprint,"balzer + bray, ", harpercollins publishers
58,965386073,0--06,0--06,2016,"william morrow, an imprint of harpercollinspublishers",imprint,"william morrow, ", harpercollinspublishers
60,1004353634,1--351 ;; 1--315,1--315,2017,"routledge, an imprint of the taylor and francis group",imprint,"routledge, ", the taylor and francis group
62,1057676475,1--315,1--315,2016,"crc press, an imprint of garland science",imprint,"crc press, ", garland science
67,1043555521,1--5443,1--5443,2018,"cq press, an imprint of sage publications",imprint,"cq press, ", sage publications
69,1082366277,0--13,0--13,2019,"adobe press, an imprint of pearson education inc",imprint,"adobe press, ", pearson education inc
72,46677163,1--57719,1--57719,1998,"inchworm press, an imprint of gt publishing corporation",imprint,"inchworm press, ", gt publishing corporation
75,1043711590,1--4197,1--4197,2018,"abrams appleseed, an imprint of abrams",imprint,"abrams appleseed, ", abrams
81,1052579391,0--545 ;; 1--5490,0--545,2018,"graphix, an imprint of scholastic",imprint,"graphix, ", scholastic
83,903644055,0--12,0--12,2015,"academic press, an imprint of elsevier",imprint,"academic press, ", elsevier
92,1029641758,1--5321,1--5321,2019,"abdo and daughters, an imprint of abdo publishing",imprint,"abdo and daughters, ", abdo publishing
