Country_code,Publisher_code,Publisher
0,0,William Collins; HarperCollins
0,2,Collier Books; Collier Macmillan
0,3,"Holt, Rinehart and Winston"
0,4,George Allen & Unwin; Unwin Hyman
0,5,Oliver & Boyd
0,6,"Harper & Row; Collins; HarperCollins, HarperOne, It Books, Zondervan Publishing House"
0,7,McGraw Hill
0,8,Pergamon; Pergamon Press
0,9,Century Hutchinson; Geographia (Ltd); Random Century; Random House
0,10,HMSO
0,11,HMSO
0,12,Academic Press
0,13,Prentice Hall; John Wiley & Sons
0,14,Penguin Books
0,15,Harcourt Brace Jovanovich
0,16,United States Government Publishing Office
0,17,Thomas Nelson
0,19,Oxford University Press
0,200,Abelard-Schuman Ltd
0,201,Addison-Wesley
0,202,Aldine; Aldine Atherton
0,203,Taylor & Francis
0,204,Allman
0,205,Allyn and Bacon
0,206,Cape Goliard Press
0,207,Angus and Robertson
0,209,Arco Publications
0,210,Asia Publishing House
0,211,Avis
0,212,John Baker
0,213,Arthur Barker
0,214,Barrie & Jenkins; Barrie and Rockliff
0,216,Blackie
0,218,Anthony Blond
0,219,Blond Educational
0,220,Business Books
0,222,Burke Books
0,223,Burns & Oates
0,224,Jonathan Cape
0,225,Geoffrey Chapman
0,226,University of Chicago Press
0,227,James Clarke
0,229,Adlard Coles Nautical
0,230,Palgrave Macmillan
0,231,Columbia University Press
0,232,"Darton, Longman and Todd"
0,233,André Deutsch
0,234,Dennis Dobson
0,236,Elek
0,237,Evans Brothers
0,238,"Evelyn, Adams and Mackay"
0,240,Focal Press
0,241,Hamish Hamilton
0,245,Harrap
0,246,Rupert Hart-Davis
0,247,Hart-Davis Educational
0,248,Cresset Press
0,249,Leonard Hill; Morgan-Grampian
0,250,Ann Arbor Science
0,251,Icon Books
0,252,University of Illinois Press
0,253,Indiana University Press
0,255,Institute of Economic Affairs
0,256,Richard D. Irwin; Dorsey Press; Irwin-Dorsey International
0,257,Herbert Jenkins
0,258,Crosby Lockwood; Crosby Lockwood Staples
0,261,Grafton
0,262,MIT Press
0,263,Mills & Boon
0,264,A. R. Mowbray
0,268,University of Notre Dame Press
0,269,Pall Mall Press
0,271,Pennsylvania State University Press
0,272,Pitman Medical
0,273,Pitman
0,275,Praeger
0,276,Reader's Digest Press
0,278,Reinhold
0,280,Rivingtons
0,281,S.P.C.K.
0,283,Sidgwick & Jackson
0,284,Skilton
0,285,Souvenir Press
0,286,Staples Press
0,289,Studio Vista
0,291,Technical Press
0,292,University of Texas Press
0,295,University of Washington Press
0,296,C. A. Watts
0,297,Weidenfeld & Nicolson
0,298,Weidenfeld & Nicolson Educational
0,299,University of Wisconsin Press
0,300,Yale University Press
0,301,Pemberton Books
0,302,Zwemmer
0,303,Weidenfeld and Nicolson
0,304,Cassell
0,305,Jackdaw
0,306,"Da Capo Press; Consultants Bureau, and Kluwer Academic (NY)"
0,307,Random House
